Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-14,27.61,28.96,27.61,28.62,28.62,5406956
2022-11-15,28.71,29.5,28.4,29.45,29.45,4060104
2022-11-16,29.0,29.24,28.1,28.61,28.61,4075361
2022-11-17,28.73,28.78,27.34,27.88,27.88,4573749
2022-11-18,27.8,28.36,27.4,28.06,28.06,3391546
2022-11-21,28.06,28.2,27.56,27.86,27.86,2943119
2022-11-22,27.73,28.43,27.53,28.15,28.15,1977572
2022-11-23,28.2,28.48,28.02,28.07,28.07,1650098
2022-11-24,28.11,28.96,28.07,28.87,28.87,1833641
2022-11-25,28.78,29.03,28.53,28.86,28.86,1671831
2022-11-28,28.66,29.14,28.5,28.59,28.59,3142064
2022-11-29,28.64,28.79,28.02,28.35,28.35,1979819
2022-11-30,28.5,28.76,28.15,28.35,28.35,4507786
2022-12-01,28.8,29.73,28.7,29.67,29.67,4693215
2022-12-02,29.6,29.74,28.64,28.87,28.87,4625127
2022-12-05,29.07,29.74,28.9,29.35,29.35,1987750
2022-12-06,29.22,29.29,28.65,28.85,28.85,2506974
2022-12-07,28.75,28.99,28.52,28.73,28.73,1885853
2022-12-08,28.63,28.66,28.06,28.14,28.14,1736511
2022-12-09,28.38,28.59,28.14,28.59,28.59,1314654
2022-12-12,28.51,29.05,28.16,29.0,29.0,1898500
2022-12-13,29.0,30.08,28.79,29.44,29.44,3029902
2022-12-14,29.6,29.64,29.22,29.49,29.49,2149414
2022-12-15,29.18,29.4,28.8,29.23,29.23,3094618
2022-12-16,29.0,29.04,28.66,28.91,28.91,6260545
2022-12-19,28.86,29.31,28.8,29.1,29.1,1661354
2022-12-20,28.93,29.51,28.8,29.51,29.51,1104175
2022-12-21,29.51,30.45,29.26,30.42,30.42,2837308
2022-12-22,30.45,30.75,30.08,30.27,30.27,1873663
2022-12-23,30.27,30.28,29.71,29.97,29.97,1142303
2022-12-27,30.1,30.27,29.69,29.7,29.7,740745
2022-12-28,29.69,30.08,29.55,29.94,29.94,1474954
2022-12-29,29.98,30.55,29.85,30.55,30.55,1389849
2022-12-30,30.4,30.54,30.19,30.29,30.29,1420447
2023-01-02,30.5,30.89,30.23,30.27,30.27,566681
2023-01-03,30.3,32.18,30.29,31.76,31.76,3677275
2023-01-04,31.81,32.83,31.72,32.67,32.67,3850196
2023-01-05,32.53,33.41,32.19,33.19,33.19,5045444
