Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-24,950.89,964.99,950.13,961.43,961.43,2850000
2022-10-25,965.16,969.17,957.87,964.19,964.19,3450000
2022-10-26,964.22,978.04,964.22,976.91,976.91,4410000
2022-10-27,980.3,993.29,978.15,992.45,992.45,11550000
2022-10-28,987.39,997.08,987.39,989.4,989.4,11580000
2022-10-31,994.03,1000.58,990.65,1000.58,1000.58,6860000
2022-11-02,1006.1,1024.55,1004.07,1017.92,1017.92,5970000
2022-11-03,1010.64,1023.15,1008.73,1021.89,1021.89,5090000
2022-11-04,1024.99,1052.67,1023.41,1052.67,1052.67,4550000
2022-11-07,1056.57,1061.99,1046.14,1046.14,1046.14,4200000
2022-11-08,1048.09,1055.38,1044.52,1054.55,1054.55,2890000
2022-11-09,1054.85,1061.46,1046.71,1049.77,1049.77,3340000
2022-11-10,1048.58,1060.43,1039.1,1058.51,1058.51,4140000
2022-11-14,1067.6,1076.99,1063.13,1065.84,1065.84,5790000
2022-11-15,1071.01,1074.05,1061.51,1072.44,1072.44,4930000
2022-11-16,1063.03,1070.03,1061.11,1067.4,1067.4,3920000
2022-11-17,1068.29,1070.51,1050.73,1059.39,1059.39,3730000
2022-11-18,1060.45,1070.69,1056.03,1066.78,1066.78,3050000
2022-11-21,1068.06,1070.83,1059.87,1059.87,1059.87,2470000
2022-11-22,1064.12,1078.18,1061.47,1075.1,1075.1,3330000
2022-11-23,1080.15,1084.08,1070.11,1072.48,1072.48,2930000
2022-11-24,1080.95,1081.97,1072.8,1081.97,1081.97,2530000
2022-11-25,1083.19,1092.66,1079.13,1090.13,1090.13,1750000
2022-11-28,1089.71,1096.29,1081.24,1093.71,1093.71,3220000
2022-11-29,1097.74,1099.95,1090.7,1099.94,1099.94,4230000
2022-11-30,1101.65,1112.57,1098.98,1107.92,1107.92,7770000
2022-12-01,1114.6,1120.34,1107.67,1120.34,1120.34,4650000
2022-12-02,1120.38,1125.69,1115.99,1122.91,1122.91,4470000
2022-12-05,1127.22,1132.66,1123.14,1124.6,1124.6,1890000
2022-12-06,1122.57,1122.57,1111.46,1112.29,1112.29,2200000
2022-12-07,1110.0,1115.35,1108.66,1112.03,1112.03,2160000
2022-12-08,1111.35,1111.35,1101.11,1107.72,1107.72,2460000
2022-12-09,1110.66,1112.18,1105.6,1109.82,1109.82,2170000
2022-12-12,1112.43,1122.61,1110.82,1122.44,1122.44,2090000
2022-12-13,1122.85,1128.68,1114.54,1126.36,1126.36,2820000
2022-12-14,1127.15,1130.7,1122.16,1128.11,1128.11,2810000
2022-12-15,1128.69,1128.69,1104.42,1106.98,1106.98,2650000
2022-12-16,1106.59,1108.38,1094.93,1102.59,1102.59,6430000
