Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-14,55023.92,56243.58,55023.92,55812.08,24,33,3,1
2022-11-15,56212.63,56712.7,55374.27,56385.92,24,33,3,1
2022-11-16,55642.15,56121.94,55304.98,55612.11,24,33,3,1
2022-11-17,55750.37,55831.86,54443.52,54791.43,24,33,3,1
2022-11-18,54909.94,55312.44,54337.26,54891.25,24,33,3,1
2022-11-21,54850.98,54893.75,54235.77,54259.77,24,33,3,1
2022-11-22,54362.3,55463.06,54174.37,55166.92,24,33,3,1
2022-11-23,55452.59,55681.12,54912.79,55119.04,24,33,3,1
2022-11-24,55554.5,56107.93,55338.88,56107.93,24,33,3,1
2022-11-25,55945.25,56440.71,55718.92,56280.53,24,33,3,1
2022-11-28,56042.53,56134.79,55655.97,55748.47,24,33,3,1
2022-11-29,56076.89,56123.57,55452.88,55942.67,24,33,3,1
2022-11-30,56161.03,56577.34,55755.14,56058.18,24,33,3,1
2022-12-01,56695.1,56867.54,56265.81,56867.54,24,33,3,1
2022-12-02,56619.99,56622.03,56006.71,56207.29,24,33,3,1
2022-12-05,56494.69,57021.59,56367.57,56478.83,24,33,3,1
2022-12-06,56191.88,56273.37,55768.35,55908.34,24,33,3,1
2022-12-07,55634.23,56079.38,55608.42,55983.89,24,33,3,1
2022-12-08,55916.34,55948.08,55447.35,55717.43,24,33,3,1
2022-12-09,55925.4,55979.47,55518.12,55836.35,24,33,3,1
2022-12-12,55663.78,56571.91,55464.96,56515.01,24,33,3,1
2022-12-13,56559.88,57785.23,56171.97,57362.88,24,33,3,1
2022-12-14,57273.98,57584.17,57264.37,57447.38,24,33,3,1
2022-12-15,57137.13,57200.74,56199.59,56450.56,24,33,3,1
2022-12-16,56092.65,56367.36,55598.8,56032.12,24,33,3,1
2022-12-19,56072.3,56400.23,55977.92,56118.16,24,33,3,1
2022-12-20,55678.17,56656.26,55643.34,56656.26,24,33,3,1
2022-12-21,56705.77,57291.89,56475.29,57291.89,24,33,3,1
2022-12-22,57344.84,57545.79,56976.04,57088.69,24,33,3,1
2022-12-23,57021.53,57112.15,56802.0,57039.91,24,33,3,1
2022-12-27,57342.01,57355.9,56473.03,56574.46,24,33,3,1
2022-12-28,56488.86,56811.6,56398.97,56641.19,24,33,3,1
2022-12-29,56673.76,57637.95,56572.72,57637.95,24,33,3,1
2022-12-30,57421.88,57548.02,57283.79,57462.68,24,33,3,1
2023-01-02,57578.13,58118.99,57512.46,57694.0,24,33,3,1
2023-01-03,57871.29,59044.73,57785.32,58795.62,24,33,3,1
2023-01-04,58944.64,59781.73,58881.22,59754.4,24,33,3,1
2023-01-05,59568.59,60645.24,59524.48,59854.8,24,33,3,1
2023-01-09,60649.5,61364.58,60571.24,61364.58,24,33,3,1
2023-01-10,60984.99,62024.09,60860.0,61967.33,24,33,3,1
2023-01-11,62101.65,62450.32,61252.96,61279.52,24,33,3,1
2023-01-12,61540.96,62233.89,61436.15,61751.5,24,33,3,1
2023-01-13,61844.3,62000.18,61206.3,61565.83,24,33,3,1
2023-01-16,61650.84,62073.15,61028.66,61867.14,24,33,3,1
2023-01-17,61800.72,61862.74,60912.28,61041.14,24,33,3,1
2023-01-18,61189.63,61579.29,60756.32,61176.97,24,33,3,1
2023-01-19,60634.86,60893.33,59952.2,60555.94,24,33,3,1
2023-01-20,60856.94,60878.93,60375.17,60788.05,24,33,3,1
2023-01-23,61217.8,61738.64,61066.44,61619.86,24,33,3,1
2023-01-24,61961.48,62288.93,61370.25,61500.61,24,33,3,1
2023-01-25,61013.76,61053.48,60369.58,60530.45,24,33,3,1
2023-01-26,61188.65,61446.27,60706.81,61235.79,24,33,3,1
2023-01-27,61357.11,61606.21,61202.73,61269.7,24,33,3,1
2023-01-30,60996.02,61018.69,60445.03,60589.15,24,33,3,1
2023-01-31,60427.35,61362.75,60332.71,61286.58,24,33,3,1
2023-02-01,61294.61,61509.93,60488.42,60488.42,24,33,3,1
2023-02-02,61312.43,61685.76,60758.74,61367.64,24,33,3,1
2023-02-03,61297.78,61753.12,61189.29,61465.85,24,33,3,1
