Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-26,15.8,15.8,15.75,15.75,15.75,42
2023-06-27,15.75,15.8,15.55,15.55,15.55,1095
2023-06-28,15.3,15.8,15.3,15.8,15.8,2027
2023-06-29,16.0,16.0,15.4,16.0,16.0,582
2023-06-30,15.95,15.95,15.4,15.55,15.55,356
2023-07-03,15.95,15.95,15.6,15.9,15.9,847
2023-07-04,15.85,16.45,15.8,16.0,16.0,16588
2023-07-05,16.45,16.45,15.95,16.2,16.2,1561
2023-07-06,16.2,16.2,15.4,15.8,15.8,2945
2023-07-07,15.5,15.85,15.5,15.8,15.8,1850
2023-07-10,15.8,15.8,15.65,15.8,15.8,654
2023-07-11,15.95,15.95,15.55,15.55,15.55,628
2023-07-12,15.55,15.55,15.0,15.2,15.2,5884
2023-07-13,15.3,15.3,15.0,15.2,15.2,4097
2023-07-14,15.35,15.5,15.05,15.3,15.3,448
2023-07-17,15.3,15.3,15.0,15.3,15.3,3056
2023-07-18,15.3,15.3,15.2,15.2,15.2,1787
2023-07-19,15.3,15.6,15.05,15.6,15.6,1751
2023-07-20,15.6,15.8,15.45,15.45,15.45,710
2023-07-21,15.8,15.9,15.45,15.45,15.45,1988
2023-07-24,15.45,16.0,15.45,16.0,16.0,1510
2023-07-25,16.2,16.8,16.0,16.8,16.8,10189
2023-07-26,16.8,16.8,16.45,16.55,16.55,803
2023-07-27,16.7,16.7,16.5,16.7,16.7,1892
2023-07-28,16.75,16.9,16.75,16.8,16.8,847
2023-07-31,16.8,16.95,16.8,16.9,16.9,1141
2023-08-01,16.85,16.9,16.7,16.85,16.85,978
2023-08-02,16.85,16.95,16.7,16.7,16.7,832
2023-08-03,16.5,16.7,16.5,16.55,16.55,3162
2023-08-04,16.55,16.6,16.5,16.5,16.5,1391
2023-08-07,16.5,16.7,16.5,16.5,16.5,1004
2023-08-08,16.5,16.75,16.5,16.55,16.55,2672
2023-08-09,16.55,16.65,16.5,16.55,16.55,294
2023-08-10,16.55,16.8,16.5,16.8,16.8,635
2023-08-11,16.8,16.8,16.5,16.65,16.65,3683
2023-08-14,16.65,16.65,16.6,16.6,16.6,129
2023-08-16,16.6,16.6,16.5,16.5,16.5,3749
2023-08-17,16.5,16.55,15.45,16.55,16.55,6815
2023-08-18,15.7,16.8,15.6,16.4,16.4,16874
2023-08-21,16.1,16.5,15.7,16.35,16.35,4073
2023-08-22,16.4,16.6,16.25,16.6,16.6,1394
2023-08-23,16.6,16.6,16.2,16.2,16.2,1851
2023-08-24,16.2,16.55,15.8,16.55,16.55,5649
2023-08-25,16.5,16.6,16.15,16.6,16.6,2932
2023-08-28,16.6,16.6,16.1,16.6,16.6,1456
2023-08-29,16.55,16.65,16.15,16.5,16.5,2286
2023-08-30,16.5,16.5,15.9,16.0,16.0,16177
2023-08-31,15.8,16.55,15.8,16.2,16.2,34607
