Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-21,1826.55,1854.88,1824.53,1848.5,43,58,3,1
2022-09-22,1821.62,1870.63,1821.57,1860.63,43,58,3,1
2022-09-23,1857.18,1857.18,1783.48,1788.21,43,58,3,1
2022-09-26,1757.08,1779.26,1729.86,1757.49,43,58,3,1
2022-09-27,1778.73,1802.88,1771.77,1786.28,43,58,3,1
2022-09-28,1747.63,1762.21,1722.5,1756.83,43,58,3,1
2022-09-29,1765.71,1768.16,1683.24,1689.14,43,58,3,1
2022-09-30,1704.9,1707.45,1674.17,1689.15,43,58,3,1
2022-10-03,1683.58,1704.72,1648.44,1703.47,43,58,3,1
2022-10-04,1736.43,1776.19,1730.36,1776.19,43,58,3,1
2022-10-05,1774.57,1774.57,1737.33,1738.11,43,58,3,1
2022-10-06,1755.73,1773.67,1729.2,1738.78,43,58,3,1
2022-10-07,1726.21,1742.43,1716.42,1724.37,43,58,3,1
2022-10-10,1707.66,1713.92,1690.17,1690.42,43,58,3,1
2022-10-11,1682.13,1722.89,1669.2,1696.09,43,58,3,1
2022-10-12,1704.4,1704.4,1680.84,1689.8,43,58,3,1
2022-10-13,1685.61,1694.72,1643.86,1669.79,43,58,3,1
2022-10-14,1716.97,1729.97,1697.58,1714.66,43,58,3,1
2022-10-17,1712.72,1738.83,1699.57,1733.33,43,58,3,1
2022-10-18,1743.99,1766.77,1737.69,1751.54,43,58,3,1
2022-10-19,1751.78,1751.78,1712.98,1714.87,43,58,3,1
2022-10-20,1712.83,1754.2,1699.11,1750.89,43,58,3,1
2022-10-21,1734.96,1749.84,1712.8,1730.42,43,58,3,1
2022-10-24,1749.67,1772.41,1731.88,1759.26,43,58,3,1
2022-10-25,1769.23,1782.1,1748.05,1772.04,43,58,3,1
2022-10-26,1773.87,1824.85,1773.85,1824.85,43,58,3,1
2022-10-27,1819.85,1845.9,1807.38,1845.44,43,58,3,1
2022-10-28,1821.18,1859.02,1813.88,1849.28,43,58,3,1
2022-10-31,1854.85,1884.95,1848.72,1884.95,43,58,3,1
2022-11-02,1902.51,1927.39,1900.96,1926.67,43,58,3,1
2022-11-03,1887.94,1907.15,1882.04,1905.25,43,58,3,1
2022-11-04,1924.21,1966.91,1924.12,1953.36,43,58,3,1
2022-11-07,1957.63,2000.16,1955.13,1975.24,43,58,3,1
2022-11-08,1971.23,2005.01,1957.02,2005.01,43,58,3,1
2022-11-09,2002.93,2023.94,1998.75,2008.26,43,58,3,1
2022-11-10,1991.54,2064.89,1976.88,2061.78,43,58,3,1
2022-11-14,2087.41,2143.73,2087.41,2123.0,43,58,3,1
2022-11-15,2139.67,2166.91,2103.96,2150.75,43,58,3,1
2022-11-16,2120.74,2140.76,2103.94,2116.86,43,58,3,1
2022-11-17,2123.57,2126.59,2062.24,2077.09,43,58,3,1
2022-11-18,2082.28,2100.08,2054.52,2079.9,43,58,3,1
2022-11-21,2076.26,2077.96,2048.22,2052.42,43,58,3,1
2022-11-22,2055.48,2104.44,2045.97,2090.37,43,58,3,1
2022-11-23,2103.24,2112.73,2078.98,2086.42,43,58,3,1
2022-11-24,2106.58,2135.98,2097.08,2135.98,43,58,3,1
2022-11-25,2125.85,2149.28,2116.68,2139.11,43,58,3,1
2022-11-28,2126.53,2132.61,2109.4,2111.23,43,58,3,1
2022-11-29,2124.06,2126.68,2096.44,2116.83,43,58,3,1
2022-11-30,2126.18,2140.98,2105.54,2118.05,43,58,3,1
2022-12-01,2146.63,2151.19,2126.64,2151.19,43,58,3,1
2022-12-02,2139.14,2139.19,2111.7,2118.05,43,58,3,1
2022-12-05,2131.13,2156.16,2127.73,2132.76,43,58,3,1
2022-12-06,2119.25,2123.74,2103.4,2114.18,43,58,3,1
2022-12-07,2100.82,2121.83,2098.88,2117.76,43,58,3,1
2022-12-08,2114.88,2117.98,2095.65,2107.94,43,58,3,1
2022-12-09,2117.59,2119.81,2099.04,2113.41,43,58,3,1
2022-12-12,2103.3,2146.06,2094.43,2142.02,43,58,3,1
2022-12-13,2143.12,2200.1,2126.13,2177.89,43,58,3,1
2022-12-14,2173.23,2188.09,2172.79,2182.88,43,58,3,1
2022-12-15,2166.76,2170.35,2130.63,2141.24,43,58,3,1
2022-12-16,2124.28,2142.5,2107.99,2125.91,43,58,3,1
2022-12-19,2126.86,2140.58,2121.6,2127.35,43,58,3,1
2022-12-20,2107.29,2151.5,2106.35,2151.5,43,58,3,1
2022-12-21,2152.37,2180.83,2141.9,2180.83,43,58,3,1
2022-12-22,2182.08,2192.79,2166.16,2171.62,43,58,3,1
2022-12-23,2167.61,2173.83,2159.09,2170.56,43,58,3,1
2022-12-27,2184.95,2185.2,2147.46,2151.64,43,58,3,1
2022-12-28,2146.75,2164.25,2142.27,2154.35,43,58,3,1
2022-12-29,2155.19,2196.74,2150.6,2196.74,43,58,3,1
2022-12-30,2185.14,2191.95,2178.28,2187.63,43,58,3,1
2023-01-02,2190.81,2211.95,2183.21,2190.19,43,58,3,1
2023-01-03,2197.34,2248.69,2192.92,2235.29,43,58,3,1
2023-01-04,2240.84,2277.17,2236.89,2275.91,43,58,3,1
2023-01-05,2265.75,2318.0,2264.05,2284.17,43,58,3,1
2023-01-09,2319.64,2352.08,2314.72,2352.08,43,58,3,1
2023-01-10,2332.15,2385.19,2326.54,2383.09,43,58,3,1
2023-01-11,2386.49,2402.03,2349.41,2351.27,43,58,3,1
2023-01-12,2363.29,2395.97,2357.47,2370.81,43,58,3,1
2023-01-13,2374.76,2381.2,2347.93,2363.06,43,58,3,1
2023-01-16,2363.36,2383.61,2336.47,2372.07,43,58,3,1
2023-01-17,2367.43,2370.78,2331.41,2337.62,43,58,3,1
2023-01-18,2343.77,2365.67,2326.77,2346.05,43,58,3,1
2023-01-19,2320.42,2333.43,2293.47,2319.0,43,58,3,1
2023-01-20,2330.9,2331.24,2306.98,2322.48,43,58,3,1
2023-01-23,2340.59,2365.02,2333.1,2358.53,43,58,3,1
2023-01-24,2373.82,2387.8,2346.83,2352.86,43,58,3,1
2023-01-25,2328.42,2332.42,2303.75,2310.85,43,58,3,1
2023-01-26,2340.67,2351.49,2317.02,2341.63,43,58,3,1
2023-01-27,2345.94,2357.33,2336.32,2337.82,43,58,3,1
2023-01-30,2323.77,2325.17,2302.34,2311.24,43,58,3,1
2023-01-31,2302.17,2341.27,2297.59,2337.41,43,58,3,1
2023-02-01,2336.16,2346.84,2299.79,2299.79,43,58,3,1
2023-02-02,2337.33,2357.14,2313.72,2338.15,43,58,3,1
2023-02-03,2335.58,2355.34,2329.58,2341.89,43,58,3,1
2023-02-06,2331.87,2334.99,2290.12,2291.28,43,58,3,1
2023-02-07,2303.9,2305.44,2284.13,2297.89,43,58,3,1
2023-02-08,2320.48,2329.55,2311.39,2316.71,43,58,3,1
2023-02-09,2328.45,2352.23,2324.78,2332.64,43,58,3,1
2023-02-10,2314.77,2317.97,2261.39,2271.21,43,58,3,1
