Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-10,33.4,34.2,33.1,34.2,34.2,2025
2023-05-11,34.3,34.3,33.3,33.5,33.5,1818
2023-05-12,33.4,35.3,33.4,35.3,35.3,4215
2023-05-15,35.5,35.5,34.2,35.2,35.2,1465
2023-05-16,35.0,35.5,35.0,35.5,35.5,1282
2023-05-17,35.5,35.5,35.2,35.5,35.5,292
2023-05-18,35.9,35.9,35.6,35.6,35.6,1330
2023-05-19,35.8,35.8,35.3,35.5,35.5,329
2023-05-22,35.7,35.8,35.3,35.4,35.4,829
2023-05-23,35.4,35.8,35.3,35.3,35.3,335
2023-05-24,35.4,35.4,34.9,35.2,35.2,620
2023-05-25,35.4,35.4,34.4,34.4,34.4,81
2023-05-26,35.4,35.4,35.4,35.4,35.4,3
2023-05-29,35.0,35.0,34.3,34.6,34.6,343
2023-05-30,34.9,35.6,34.5,35.0,35.0,3073
2023-05-31,35.8,37.3,34.5,36.3,36.3,5969
2023-06-01,36.5,36.9,35.4,36.9,36.9,395
2023-06-02,37.2,37.2,36.1,36.9,36.9,679
2023-06-05,36.9,37.6,36.9,37.6,37.6,1740
2023-06-06,37.7,37.8,37.3,37.3,37.3,1313
2023-06-07,37.9,37.9,37.0,37.2,37.2,611
2023-06-09,37.1,37.3,37.0,37.3,37.3,679
2023-06-12,37.4,37.4,36.1,36.8,36.8,2014
2023-06-13,36.9,36.9,36.5,36.8,36.8,670
2023-06-14,36.7,36.7,35.6,36.0,36.0,3028
2023-06-15,36.0,36.5,36.0,36.5,36.5,1554
2023-06-16,36.5,36.7,36.1,36.7,36.7,582
2023-06-19,36.7,36.7,36.3,36.7,36.7,525
2023-06-20,36.9,37.1,36.9,37.1,37.1,417
2023-06-21,37.1,37.9,37.1,37.8,37.8,645
2023-06-22,37.8,38.3,37.3,38.0,38.0,2613
2023-06-23,38.0,38.1,37.6,37.8,37.8,1393
2023-06-26,37.8,38.4,37.8,38.4,38.4,948
2023-06-27,38.4,38.9,38.4,38.9,38.9,1418
2023-06-28,39.1,39.9,39.0,39.9,39.9,3972
2023-06-29,39.5,39.8,39.0,39.3,39.3,3085
2023-06-30,39.3,39.6,38.4,39.6,39.6,8873
2023-07-03,35.9,37.3,35.0,36.7,36.7,4624
2023-07-04,36.7,36.7,35.8,36.7,36.7,3309
2023-07-05,36.1,36.1,35.2,35.7,35.7,2808
2023-07-06,35.7,35.8,35.0,35.5,35.5,2675
2023-07-07,35.5,35.5,34.9,35.0,35.0,816
2023-07-10,34.6,35.5,34.6,35.5,35.5,1270
2023-07-11,35.5,36.0,35.5,35.9,35.9,818
2023-07-12,36.0,36.0,35.6,36.0,36.0,138
2023-07-13,36.0,36.5,35.7,36.5,36.5,1785
2023-07-14,36.5,36.5,36.4,36.4,36.4,2485
2023-07-17,36.3,36.5,36.3,36.3,36.3,1856
2023-07-18,36.3,36.9,36.1,36.9,36.9,1129
2023-07-19,36.9,36.9,36.2,36.5,36.5,1459
2023-07-20,36.1,36.9,36.1,36.7,36.7,1432
2023-07-21,36.7,36.9,36.7,36.8,36.8,1007
2023-07-24,36.1,36.9,36.1,36.5,36.5,845
2023-07-25,36.6,36.7,36.3,36.6,36.6,278
2023-07-26,36.5,36.6,36.3,36.6,36.6,1724
