Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-27,5.75,5.75,5.55,5.7,5.7,11812
2023-03-28,5.67,6.36,5.67,6.36,6.36,86821
2023-03-29,6.48,6.48,6.15,6.3,6.3,28676
2023-03-30,6.28,6.72,6.17,6.7,6.7,51263
2023-03-31,6.65,7.3,6.59,6.88,6.88,90319
2023-04-03,6.94,7.18,6.61,6.94,6.94,36080
2023-04-04,7.04,7.04,6.65,6.71,6.71,21455
2023-04-05,6.71,6.9,6.65,6.68,6.68,11028
2023-04-06,6.74,6.9,6.7,6.9,6.9,18235
2023-04-11,6.9,6.92,6.8,6.85,6.85,13030
2023-04-12,6.84,6.94,6.83,6.93,6.93,20542
2023-04-13,6.9,6.92,6.54,6.91,6.91,40547
2023-04-14,6.91,6.97,6.71,6.94,6.94,29870
2023-04-17,6.89,6.98,6.76,6.98,6.98,26474
2023-04-18,6.98,6.99,6.77,6.99,6.99,35894
2023-04-19,6.99,7.0,6.83,7.0,7.0,27066
2023-04-20,6.9,7.34,6.9,7.2,7.2,125823
2023-04-21,7.18,7.18,7.06,7.16,7.16,23397
2023-04-24,7.16,7.2,6.96,7.2,7.2,20049
2023-04-25,7.2,7.28,7.1,7.2,7.2,19870
2023-04-26,7.2,7.2,6.94,7.2,7.2,18192
2023-04-27,7.18,7.4,7.0,7.4,7.4,34947
2023-04-28,7.32,7.36,7.18,7.34,7.34,20412
2023-05-02,7.32,7.34,7.1,7.3,7.3,10846
2023-05-04,7.3,7.3,7.12,7.28,7.28,13452
2023-05-05,7.14,7.42,7.14,7.42,7.42,17513
2023-05-08,7.38,7.88,7.3,7.8,7.8,44789
2023-05-09,7.82,7.82,7.62,7.68,7.68,10014
2023-05-10,7.62,7.68,7.5,7.66,7.66,59795
2023-05-11,7.56,7.64,7.5,7.5,7.5,9623
2023-05-12,7.5,7.76,7.5,7.76,7.76,15452
2023-05-15,7.76,7.8,7.62,7.8,7.8,17623
2023-05-16,7.7,7.9,7.66,7.9,7.9,13883
2023-05-17,7.9,7.92,7.78,7.92,7.92,10673
2023-05-18,7.92,8.42,7.92,8.26,8.26,138532
2023-05-19,8.26,8.26,8.1,8.1,8.1,30583
2023-05-22,8.08,8.32,8.08,8.28,8.28,6593
2023-05-23,8.28,8.28,8.14,8.14,8.14,7063
2023-05-24,8.2,8.2,7.68,7.82,7.82,14794
2023-05-25,7.82,7.98,7.64,7.98,7.98,13239
2023-05-26,8.0,8.22,7.92,8.06,8.06,24954
2023-05-29,8.2,8.26,8.06,8.2,8.2,10016
2023-05-30,8.2,8.24,8.12,8.12,8.12,15176
2023-05-31,8.1,8.16,7.8,7.84,7.84,16811
2023-06-01,7.98,8.0,7.84,7.98,7.98,17227
2023-06-02,8.0,8.12,7.92,8.1,8.1,13303
2023-06-05,8.1,8.18,7.92,8.18,8.18,10918
2023-06-06,8.16,8.16,8.1,8.1,8.1,9785
2023-06-07,8.06,8.1,8.04,8.08,8.08,7897
2023-06-09,8.02,8.06,7.9,7.96,7.96,15466
2023-06-12,7.98,8.0,7.94,7.96,7.96,1563
2023-06-13,7.96,8.04,7.9,8.02,8.02,4783
2023-06-14,8.0,8.1,8.0,8.1,8.1,16421
2023-06-15,7.98,8.16,7.98,8.1,8.1,15535
2023-06-16,8.12,8.6,8.08,8.48,8.48,75948
2023-06-19,8.5,8.5,8.34,8.5,8.5,12040
2023-06-20,8.4,8.42,8.12,8.14,8.14,65285
2023-06-21,8.12,8.12,7.72,7.96,7.96,81658
2023-06-22,8.0,8.08,7.9,8.08,8.08,14219
2023-06-23,8.08,8.08,7.94,7.96,7.96,2829
2023-06-26,7.9,8.04,7.84,7.92,7.92,3695
2023-06-27,7.92,8.08,7.92,8.04,8.04,12117
2023-06-28,8.0,8.16,8.0,8.1,8.1,6477
2023-06-29,8.06,8.18,7.96,8.18,8.18,6571
2023-06-30,8.18,8.18,8.0,8.0,8.0,12376
2023-07-03,8.1,8.18,8.0,8.18,8.18,10614
2023-07-04,8.2,8.2,8.02,8.1,8.1,6792
2023-07-05,8.1,8.16,8.04,8.12,8.12,12914
2023-07-06,8.02,8.12,8.02,8.08,8.08,8777
2023-07-07,8.1,8.1,8.0,8.04,8.04,26314
2023-07-10,8.1,8.14,8.0,8.08,8.08,8708
2023-07-11,8.1,8.18,8.0,8.1,8.1,16022
2023-07-12,8.04,8.2,8.04,8.2,8.2,10648
2023-07-13,8.12,8.2,8.02,8.2,8.2,17518
2023-07-14,8.16,8.18,8.06,8.06,8.06,5823
2023-07-17,8.12,8.16,7.9,7.96,7.96,18336
2023-07-18,7.96,8.08,7.88,8.02,8.02,29477
2023-07-19,8.02,8.02,7.7,7.9,7.9,39240
2023-07-20,7.82,7.82,7.4,7.66,7.66,35283
2023-07-21,7.6,8.1,7.56,8.1,8.1,18249
2023-07-24,7.88,8.2,7.88,8.14,8.14,45502
2023-07-25,8.04,8.12,7.96,8.12,8.12,19245
2023-07-26,8.0,8.14,7.98,8.14,8.14,12519
2023-07-27,8.08,8.14,8.0,8.14,8.14,12260
2023-07-28,8.14,8.3,8.04,8.3,8.3,31540
2023-07-31,8.3,8.34,8.14,8.32,8.32,10880
2023-08-01,8.3,8.44,8.3,8.3,8.3,22832
2023-08-02,8.38,8.38,8.08,8.3,8.3,16595
2023-08-03,8.3,8.36,8.14,8.28,8.28,11404
2023-08-04,8.38,8.38,8.2,8.28,8.28,2392
2023-08-07,8.28,8.4,8.16,8.28,8.28,11272
2023-08-08,8.36,8.42,8.22,8.26,8.26,36001
2023-08-09,8.32,8.42,8.22,8.36,8.36,8253
2023-08-10,8.34,8.88,8.28,8.84,8.84,50576
2023-08-11,8.88,8.9,8.78,8.78,8.78,56140
2023-08-14,8.76,8.9,8.66,8.7,8.7,21323
2023-08-16,8.7,8.78,8.28,8.48,8.48,34082
2023-08-17,8.4,8.48,8.28,8.42,8.42,22912
2023-08-18,8.44,8.68,8.34,8.68,8.68,218535
2023-08-21,8.68,8.68,8.54,8.64,8.64,6863
2023-08-22,8.64,8.7,8.5,8.5,8.5,7240
2023-08-23,8.48,8.7,8.14,8.2,8.2,14856
2023-08-24,8.2,8.4,8.2,8.36,8.36,6010
2023-08-25,8.2,8.24,8.14,8.18,8.18,5403
2023-08-28,8.3,8.3,7.92,8.18,8.18,29082
2023-08-29,8.06,8.28,8.06,8.2,8.2,7633
