Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-25,1.03,1.03,1.0,1.02,1.02,4497
2023-04-26,0.998,1.02,0.98,1.02,1.02,15856
2023-04-27,0.984,1.01,0.976,0.998,0.998,10140
2023-04-28,0.998,0.998,0.978,0.99,0.99,5287
2023-05-02,0.99,1.045,0.986,1.02,1.02,23454
2023-05-04,1.02,1.02,0.98,0.998,0.998,1719
2023-05-05,0.998,1.02,0.98,1.005,1.005,6383
2023-05-08,0.984,0.992,0.968,0.99,0.99,15431
2023-05-09,0.992,1.0,0.99,1.0,1.0,3135
2023-05-10,0.998,1.03,0.98,1.03,1.03,47064
2023-05-11,1.01,1.03,0.99,1.03,1.03,21441
2023-05-12,1.035,1.1,1.035,1.1,1.1,64839
2023-05-15,1.115,1.115,1.05,1.1,1.1,1756
2023-05-16,1.095,1.095,1.055,1.08,1.08,3128
2023-05-17,1.075,1.08,0.99,1.06,1.06,12377
2023-05-18,1.06,1.07,1.05,1.07,1.07,7220
2023-05-19,1.07,1.095,1.05,1.095,1.095,12892
2023-05-22,1.055,1.1,1.055,1.1,1.1,12137
2023-05-23,1.1,1.1,1.06,1.085,1.085,20745
2023-05-24,1.1,1.27,1.08,1.175,1.175,294353
2023-05-25,1.18,1.215,1.125,1.17,1.17,30398
2023-05-26,1.17,1.17,1.1,1.15,1.15,86643
2023-05-29,1.15,1.185,1.115,1.175,1.175,18688
2023-05-30,1.175,1.19,1.12,1.155,1.155,67316
2023-05-31,1.17,1.18,1.125,1.18,1.18,31646
2023-06-01,1.18,1.235,1.15,1.23,1.23,47764
2023-06-02,1.235,1.235,1.16,1.2,1.2,18388
2023-06-05,1.2,1.215,1.18,1.205,1.205,4186
2023-06-06,1.205,1.21,1.165,1.21,1.21,6189
2023-06-07,1.22,1.235,1.2,1.21,1.21,29360
2023-06-09,1.235,1.25,1.2,1.245,1.245,14809
2023-06-12,1.245,1.25,1.215,1.23,1.23,7926
2023-06-13,1.24,1.24,1.24,1.24,1.24,3
2023-06-14,1.235,1.24,1.2,1.2,1.2,34146
2023-06-15,1.225,1.225,1.14,1.19,1.19,13920
2023-06-16,1.2,1.2,1.14,1.16,1.16,38287
2023-06-19,1.185,1.185,1.14,1.16,1.16,1241
2023-06-20,1.135,1.17,1.115,1.17,1.17,17606
2023-06-21,1.13,1.2,1.13,1.2,1.2,21669
2023-06-22,1.195,1.195,1.185,1.195,1.195,8213
2023-06-23,1.195,1.195,1.16,1.19,1.19,10786
2023-06-26,1.11,1.19,1.11,1.15,1.15,12859
2023-06-27,1.125,1.155,1.105,1.155,1.155,5408
2023-06-28,1.155,1.155,1.105,1.15,1.15,4832
2023-06-29,1.155,1.155,1.07,1.13,1.13,28805
2023-06-30,1.145,1.145,1.075,1.12,1.12,7983
2023-07-03,1.075,1.13,1.06,1.11,1.11,7207
2023-07-04,1.07,1.1,1.065,1.1,1.1,5853
2023-07-05,1.1,1.1,1.095,1.095,1.095,2308
2023-07-06,1.095,1.21,1.08,1.19,1.19,44823
2023-07-07,1.185,1.185,1.15,1.18,1.18,1837
2023-07-10,1.17,1.185,1.135,1.17,1.17,5701
2023-07-11,1.17,1.17,1.17,1.17,1.17,102
2023-07-12,1.17,1.17,1.125,1.13,1.13,5754
2023-07-13,1.13,1.17,1.13,1.165,1.165,2218
2023-07-14,1.155,1.155,1.04,1.13,1.13,68604
2023-07-17,1.13,1.13,1.095,1.13,1.13,8704
2023-07-18,1.13,1.145,1.08,1.14,1.14,10654
