Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-13,783,794,747,761,721.3129,1167
2023-02-14,770,782,767,770,729.8435,146
2023-02-15,771,788,771,786,745.0091,154
2023-02-16,794,795,770,795,753.5398,149
2023-02-17,798,799,787,799,757.3312,490
2023-02-20,790,798,776,798,756.3833,100
2023-02-21,790,796,780,795,753.5398,1019
2023-02-22,786,794,771,794,752.5919,318
2023-02-23,790,794,782,794,752.5919,45
2023-02-24,796,800,791,797,755.4355,187
2023-02-27,799,819,788,810,767.7575,151
2023-02-28,809,819,788,809,766.8096,2578
2023-03-01,811,812,801,810,767.7575,244
2023-03-02,810,813,800,813,770.601,172
2023-03-03,814,816,800,808,765.8618,238
2023-03-06,794,809,794,802,760.1747,137
2023-03-07,802,818,802,810,767.7575,249
2023-03-08,810,815,803,815,772.4967,135
2023-03-09,817,844,810,835,791.4537,4021
2023-03-10,835,840,828,835,791.4537,705
2023-03-13,835,844,782,804,762.0704,1070
2023-03-14,817,831,814,831,787.6623,1071
2023-03-15,828,843,814,830,786.7145,4625
2023-03-16,825,825,806,817,774.3924,1311
2023-03-17,820,825,806,825,781.9752,76
2023-03-20,839,839,805,820,777.236,269
2023-03-21,828,860,810,854,809.4628,3101
2023-03-22,857,879,849,879,833.1591,1065
2023-03-23,870,878,853,869,823.6806,363
2023-03-24,870,870,842,867,821.7849,265
2023-03-27,848,869,837,845,800.9322,508
2023-03-28,845,868,825,839,795.2451,339
2023-03-29,830,835,821,824,781.0274,480
2023-03-30,821,833,812,831,787.6623,395
2023-03-31,826,839,824,826,782.9231,279
2023-04-03,834,870,832,851,806.6193,2671
2023-04-04,852,870,848,869,823.6806,332
2023-04-05,860,871,850,850,805.6714,150
2023-04-06,849,858,842,850,805.6714,187
2023-04-11,850,851,836,850,805.6714,784
2023-04-12,843,848,831,840,796.193,226
2023-04-13,836,852,830,850,805.6714,559
2023-04-14,852,885,842,884,837.8983,602
2023-04-17,880,880,848,864,818.9413,241
2023-04-18,868,880,862,879,833.1591,397
2023-04-19,879,888,840,888,841.6897,545
2023-04-20,900,930,888,898,851.1682,2079
2023-04-21,885,885,848,865,819.8892,2299
2023-04-24,864,864,849,851,806.6193,174
2023-04-25,860,860,820,826,782.9231,665
2023-04-26,828,846,807,818,775.3403,814
2023-04-27,834,834,809,826,782.9231,1271
2023-04-28,836,848,821,833,789.558,739
2023-05-02,825,825,797,806,763.9661,749
2023-05-04,801,801,758,782,741.2177,5519
2023-05-05,782,796,762,782,741.2177,1443
2023-05-08,781,797,762,796,754.4876,898
2023-05-09,799,812,799,804,762.0704,978
2023-05-10,808,808,791,791,749.7484,102
2023-05-11,791,796,780,796,754.4876,413
2023-05-12,806,821,765,793,751.6441,1233
2023-05-15,798,809,790,800,758.279,253
2023-05-16,790,807,788,807,764.914,231
2023-05-17,808,810,802,810,767.7575,136
2023-05-18,803,809,781,801,759.2269,407
2023-05-19,805,810,790,810,767.7575,428
2023-05-22,809,809,800,808,765.8618,66
2023-05-23,808,808,784,800,758.279,193
2023-05-24,797,800,794,799,757.3312,71
2023-05-25,800,822,796,821,778.1838,819
2023-05-26,820,839,805,839,795.2451,370
2023-05-29,838,838,812,834,790.5059,278
2023-05-30,820,824,785,817,774.3924,501
2023-05-31,800,818,790,813,770.601,410
2023-06-01,800,813,800,813,770.601,172
2023-06-02,804,824,784,820,777.236,1265
