Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-23,4373.22,4405.61,4360.29,4390.0,4390.0,11230000
2023-01-24,4397.79,4446.29,4376.39,4380.85,4380.85,13320000
2023-01-25,4387.79,4387.79,4294.15,4305.16,4305.16,11070000
2023-01-26,4315.43,4358.82,4312.98,4339.21,4339.21,7150000
2023-01-27,4346.15,4360.46,4336.93,4342.89,4342.89,8210000
2023-01-30,4346.08,4346.08,4268.53,4270.71,4270.71,6520000
2023-01-31,4281.07,4421.96,4276.53,4412.0,4412.0,13080000
2023-02-01,4414.49,4426.71,4371.36,4374.2,4374.2,16160000
2023-02-02,4405.53,4426.64,4375.76,4421.3,4421.3,9960000
2023-02-03,4415.76,4445.17,4403.77,4434.36,4434.36,8020000
2023-02-06,4431.3,4431.3,4361.53,4366.51,4366.51,6710000
2023-02-07,4369.13,4386.79,4345.11,4376.62,4376.62,5240000
2023-02-08,4382.79,4409.86,4382.79,4403.59,4403.59,5550000
2023-02-09,4417.83,4491.92,4417.83,4472.59,4472.59,5920000
2023-02-10,4474.27,4474.27,4367.81,4390.55,4390.55,9630000
2023-02-13,4398.67,4413.54,4362.75,4381.81,4381.81,7050000
2023-02-14,4386.62,4415.85,4384.61,4393.59,4393.59,6970000
2023-02-15,4394.7,4411.73,4373.99,4409.48,4409.48,4540000
2023-02-16,4426.12,4460.24,4389.72,4451.18,4451.18,13710000
2023-02-17,4447.5,4447.5,4417.84,4441.12,4441.12,3930000
2023-02-20,4452.78,4455.02,4425.59,4438.0,4438.0,3510000
2023-02-21,4443.07,4452.12,4361.88,4373.65,4373.65,4970000
2023-02-22,4370.89,4370.89,4307.93,4329.62,4329.62,8100000
2023-02-23,4337.65,4376.13,4334.14,4373.67,4373.67,6160000
2023-02-24,4383.31,4394.73,4340.46,4365.76,4365.76,5560000
2023-02-27,4362.51,4384.37,4347.05,4367.48,4367.48,4950000
2023-02-28,4373.4,4421.49,4350.43,4421.49,4421.49,6770000
2023-03-01,4423.53,4478.83,4421.45,4462.97,4462.97,7410000
2023-03-02,4462.5,4462.5,4402.97,4405.61,4405.61,10870000
2023-03-03,4417.75,4465.04,4417.75,4454.68,4454.68,8340000
2023-03-06,4468.38,4573.39,4468.38,4562.43,4562.43,9480000
2023-03-07,4568.76,4609.33,4551.45,4586.61,4586.61,10260000
2023-03-08,4581.81,4621.38,4567.7,4601.93,4601.93,11820000
2023-03-09,4608.44,4657.37,4606.39,4636.65,4636.65,10050000
2023-03-10,4609.98,4609.98,4529.47,4573.09,4573.09,12460000
2023-03-13,4550.34,4592.54,4433.14,4490.73,4490.73,11720000
2023-03-14,4479.43,4528.45,4462.59,4519.9,4519.9,7560000
2023-03-15,4522.92,4547.23,4385.08,4388.34,4388.34,11360000
2023-03-16,4392.23,4428.45,4344.7,4424.95,4424.95,11990000
2023-03-17,4442.42,4469.06,4369.66,4416.11,4416.11,19600000
2023-03-20,4411.87,4416.21,4330.49,4402.71,4402.71,8010000
2023-03-21,4414.15,4484.49,4414.15,4428.26,4428.26,8250000
2023-03-22,4436.88,4447.6,4397.61,4403.0,4403.0,6730000
2023-03-23,4412.71,4422.07,4368.71,4412.03,4412.03,5470000
2023-03-24,4414.41,4420.38,4341.18,4365.1,4365.1,7920000
2023-03-27,4364.87,4398.5,4355.13,4378.61,4378.61,5850000
2023-03-28,4385.29,4435.04,4385.29,4407.69,4407.69,10830000
2023-03-29,4423.35,4439.85,4401.49,4408.75,4408.75,11740000
2023-03-30,4420.36,4504.99,4420.36,4501.68,4501.68,13040000
2023-03-31,4511.16,4517.04,4483.06,4504.04,4504.04,8660000
2023-04-03,4507.7,4563.06,4482.62,4498.96,4498.96,10940000
2023-04-04,4497.51,4527.21,4482.53,4505.95,4505.95,8120000
2023-04-05,4509.24,4509.24,4468.56,4471.26,4471.26,8470000
2023-04-06,4464.65,4488.86,4459.74,4474.1,4474.1,4980000
2023-04-11,4473.32,4553.06,4473.32,4553.06,4553.06,9530000
2023-04-12,4539.17,4556.33,4517.3,4547.61,4547.61,10170000
2023-04-13,4547.04,4598.86,4545.57,4581.97,4581.97,11460000
2023-04-14,4597.83,4628.94,4586.06,4588.54,4588.54,14230000
2023-04-17,4594.5,4639.2,4594.5,4638.05,4638.05,9690000
2023-04-18,4638.76,4683.53,4635.61,4660.99,4660.99,8750000
2023-04-19,4655.94,4655.94,4622.03,4632.02,4632.02,7510000
2023-04-20,4633.54,4667.28,4620.99,4624.93,4624.93,10310000
2023-04-21,4616.82,4619.8,4584.24,4584.24,4584.24,7090000
2023-04-24,4583.32,4599.52,4564.61,4590.76,4590.76,7210000
2023-04-25,4592.26,4605.54,4570.92,4579.22,4579.22,7280000
2023-04-26,4559.96,4575.17,4529.41,4543.14,4543.14,7420000
2023-04-27,4536.5,4625.88,4536.5,4618.28,4618.28,9120000
2023-04-28,4631.02,4659.98,4598.54,4600.36,4600.36,6030000
2023-05-02,4622.14,4637.56,4579.82,4580.51,4580.51,6220000
2023-05-04,4589.93,4600.8,4526.13,4528.92,4528.92,10020000
2023-05-05,4512.78,4571.09,4488.56,4562.18,4562.18,6810000
2023-05-08,4568.02,4659.34,4568.02,4635.88,4635.88,10620000
2023-05-09,4645.32,4670.2,4628.63,4660.33,4660.33,7630000
2023-05-10,4680.53,4708.16,4657.77,4692.15,4692.15,15750000
2023-05-11,4691.24,4718.88,4653.24,4654.32,4654.32,9910000
2023-05-12,4662.26,4676.11,4649.88,4671.81,4671.81,15590000
2023-05-15,4668.95,4698.46,4651.05,4669.14,4669.14,9910000
2023-05-16,4657.57,4682.34,4639.61,4672.59,4672.59,7200000
2023-05-17,4674.92,4683.89,4631.2,4652.64,4652.64,12670000
2023-05-18,4663.52,4703.13,4631.47,4644.45,4644.45,9440000
2023-05-19,4658.72,4687.84,4645.23,4674.52,4674.52,6100000
2023-05-22,4691.87,4766.7,4691.87,4758.59,4758.59,12830000
2023-05-23,4765.77,4783.06,4741.82,4760.99,4760.99,8140000
2023-05-24,4740.21,4740.21,4637.75,4652.1,4652.1,9880000
2023-05-25,4664.69,4668.65,4587.64,4643.41,4643.41,8150000
2023-05-26,4631.42,4689.0,4620.86,4685.19,4685.19,4670000
