Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-29,5.8,5.9,5.8,5.88,5.88,1252
2023-05-30,5.8,5.88,5.76,5.76,5.76,2940
2023-05-31,5.76,5.76,5.5,5.68,5.68,7008
2023-06-01,5.58,5.86,5.58,5.78,5.78,3083
2023-06-02,5.72,5.8,5.7,5.78,5.78,1311
2023-06-05,5.64,5.84,5.64,5.84,5.84,8143
2023-06-06,5.84,5.84,5.54,5.78,5.78,20257
2023-06-07,5.78,5.8,5.66,5.8,5.8,2616
2023-06-09,5.78,5.8,5.7,5.8,5.8,4034
2023-06-12,5.76,5.94,5.76,5.94,5.94,16689
2023-06-13,5.98,6.26,5.88,6.26,6.26,21795
2023-06-14,6.36,6.46,6.02,6.26,6.26,27546
2023-06-15,6.28,6.3,6.16,6.24,6.24,4719
2023-06-16,6.3,6.56,6.3,6.44,6.44,6947
2023-06-19,6.44,6.52,6.3,6.3,6.3,14796
2023-06-20,6.24,6.4,6.14,6.4,6.4,12225
2023-06-21,6.4,6.4,6.24,6.38,6.38,2372
2023-06-22,6.24,6.38,6.18,6.38,6.38,5981
2023-06-23,6.38,6.4,6.24,6.36,6.36,6500
2023-06-26,6.24,6.36,6.2,6.36,6.36,4335
2023-06-27,6.46,6.58,6.4,6.4,6.4,20719
2023-06-28,6.36,6.44,6.26,6.36,6.36,6033
2023-06-29,6.32,6.4,6.2,6.4,6.4,5508
2023-06-30,6.58,6.58,6.44,6.44,6.44,184
2023-07-03,6.48,7.2,6.48,7.1,7.1,29311
2023-07-04,7.1,7.14,6.8,6.88,6.88,3311
2023-07-05,6.84,6.94,6.66,6.78,6.78,5047
2023-07-06,6.78,6.94,6.68,6.78,6.78,2877
2023-07-07,6.8,6.88,6.7,6.88,6.88,2914
2023-07-10,6.9,6.9,6.6,6.8,6.8,4542
2023-07-11,6.9,6.9,6.6,6.76,6.76,1885
2023-07-12,6.68,6.96,6.6,6.78,6.78,5618
2023-07-13,6.9,7.16,6.8,6.8,6.8,16007
2023-07-14,7.0,7.14,6.9,7.04,7.04,2759
2023-07-17,7.06,7.76,7.06,7.54,7.54,27728
2023-07-18,7.6,7.8,7.4,7.6,7.6,15612
2023-07-19,7.64,7.9,7.52,7.8,7.8,8630
2023-07-20,7.9,7.96,7.6,7.76,7.76,12772
2023-07-21,7.56,7.8,7.42,7.66,7.66,4692
