Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-26,2194.79,2205.67,2147.68,2160.65,2160.65,5120000
2023-04-27,2166.19,2199.59,2160.61,2189.89,2189.89,3610000
2023-04-28,2199.97,2205.28,2181.43,2193.35,2193.35,3290000
2023-05-02,2192.57,2219.29,2186.56,2197.24,2197.24,3360000
2023-05-04,2204.34,2207.62,2138.28,2144.09,2144.09,8510000
2023-05-05,2166.0,2187.35,2147.95,2176.57,2176.57,3330000
2023-05-08,2177.78,2258.75,2177.78,2253.48,2253.48,10470000
2023-05-09,2243.36,2250.09,2217.4,2227.06,2227.06,5290000
2023-05-10,2277.36,2319.06,2262.57,2315.13,2315.13,14330000
2023-05-11,2302.65,2333.78,2289.87,2289.87,2289.87,7800000
2023-05-12,2300.65,2348.9,2287.55,2345.6,2345.6,13750000
2023-05-15,2380.57,2401.29,2341.1,2358.66,2358.66,10030000
2023-05-16,2366.56,2380.83,2352.11,2368.71,2368.71,4950000
2023-05-17,2369.4,2371.2,2267.09,2267.8,2267.8,12760000
2023-05-18,2293.03,2293.03,2219.26,2221.11,2221.11,8280000
2023-05-19,2232.76,2259.9,2224.5,2254.81,2254.81,5010000
2023-05-22,2264.97,2343.17,2254.7,2318.07,2318.07,12900000
2023-05-23,2322.33,2355.02,2317.4,2333.4,2333.4,5980000
2023-05-24,2324.76,2338.91,2304.77,2311.2,2311.2,8320000
2023-05-25,2312.85,2312.85,2256.58,2295.26,2295.26,7200000
2023-05-26,2290.22,2294.29,2271.07,2289.52,2289.52,4430000
2023-05-29,2297.81,2301.58,2276.99,2284.96,2284.96,2880000
2023-05-30,2264.97,2269.98,2208.44,2208.44,2208.44,7170000
2023-05-31,2212.63,2212.63,2144.2,2144.2,2144.2,12950000
2023-06-01,2164.3,2208.38,2157.09,2205.25,2205.25,5600000
2023-06-02,2223.29,2248.4,2208.91,2248.05,2248.05,7030000
2023-06-05,2262.74,2309.03,2250.67,2275.69,2275.69,5610000
2023-06-06,2271.67,2292.82,2237.1,2292.82,2292.82,9570000
2023-06-07,2273.78,2282.64,2236.24,2253.44,2253.44,4760000
2023-06-09,2263.72,2276.94,2259.34,2260.44,2260.44,5170000
2023-06-12,2270.58,2278.65,2240.09,2247.57,2247.57,4920000
2023-06-13,2258.78,2261.52,2222.98,2229.67,2229.67,5320000
2023-06-14,2233.2,2286.98,2233.2,2271.0,2271.0,6470000
