Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-29,24.8,25.2,22.8,23.8,23.8,4295
2022-09-30,24.3,26.4,23.0,24.9,24.9,4157
2022-10-03,25.4,27.6,23.6,25.0,25.0,7718
2022-10-04,25.5,26.0,23.3,25.2,25.2,9974
2022-10-05,25.0,26.3,23.8,23.8,23.8,8060
2022-10-06,23.9,24.1,22.5,23.6,23.6,4985
2022-10-07,23.5,23.9,23.2,23.2,23.2,1272
2022-10-10,22.8,24.0,22.2,22.5,22.5,1322
2022-10-11,22.4,22.8,21.6,21.9,21.9,5374
2022-10-12,22.3,22.3,21.4,21.5,21.5,1502
2022-10-13,21.7,21.8,20.6,21.2,21.2,8255
2022-10-14,21.3,23.4,20.7,20.8,20.8,3961
2022-10-17,21.0,21.0,20.2,20.6,20.6,1969
2022-10-18,20.6,21.9,20.6,20.8,20.8,4658
2022-10-19,21.3,21.3,20.6,21.0,21.0,1863
2022-10-20,21.4,22.1,20.9,21.3,21.3,2758
2022-10-21,21.3,22.0,20.8,21.0,21.0,2124
2022-10-24,20.8,21.2,20.7,21.0,21.0,8824
2022-10-25,21.2,21.3,20.8,21.0,21.0,2362
2022-10-26,21.2,22.0,21.1,21.1,21.1,4620
2022-10-27,21.0,21.0,18.3,18.4,18.4,39403
2022-10-28,18.8,18.85,17.3,17.8,17.8,23455
2022-10-31,17.95,18.6,17.7,18.6,18.6,7684
2022-11-02,19.0,19.0,18.15,18.2,18.2,10113
2022-11-03,18.35,18.75,18.2,18.35,18.35,1491
2022-11-04,18.75,19.1,18.5,18.7,18.7,6634
2022-11-07,18.95,19.75,18.55,19.75,19.75,16830
2022-11-08,19.7,19.7,19.15,19.2,19.2,5606
2022-11-09,19.6,19.65,18.9,19.1,19.1,4952
2022-11-10,19.45,19.7,19.0,19.6,19.6,2460
2022-11-14,19.75,20.4,19.7,20.4,20.4,11990
2022-11-15,20.7,20.7,19.95,20.0,20.0,3704
2022-11-16,20.0,20.0,19.8,19.8,19.8,3331
2022-11-17,19.75,19.85,19.6,19.6,19.6,2771
2022-11-18,19.85,20.5,19.8,20.2,20.2,1758
2022-11-21,20.3,22.2,20.1,21.3,21.3,13448
2022-11-22,22.6,22.9,21.3,22.9,22.9,4311
2022-11-23,22.8,25.0,22.5,24.0,24.0,14918
2022-11-24,23.9,23.9,22.5,22.9,22.9,8764
2022-11-25,23.1,23.2,22.4,22.4,22.4,4525
2022-11-28,22.4,22.4,22.0,22.0,22.0,4012
2022-11-29,22.0,22.5,21.7,21.9,21.9,4110
2022-11-30,21.9,21.9,21.4,21.8,21.8,1589
2022-12-01,22.5,22.5,21.5,22.1,22.1,15068
2022-12-02,22.1,22.1,21.6,21.9,21.9,3452
2022-12-05,22.0,22.0,21.7,21.7,21.7,1205
2022-12-06,21.9,21.9,21.5,21.9,21.9,539
2022-12-07,21.6,21.6,21.0,21.1,21.1,2665
2022-12-08,21.2,21.5,20.6,21.2,21.2,7518
2022-12-09,21.0,21.3,20.6,20.8,20.8,4975
2022-12-12,21.0,21.5,20.9,21.0,21.0,2845
2022-12-13,20.9,21.0,20.8,20.9,20.9,1635
2022-12-14,21.0,21.0,20.0,20.2,20.2,8610
2022-12-15,20.3,20.3,19.7,19.7,19.7,3212
2022-12-16,20.0,20.1,19.7,19.8,19.8,3972
2022-12-19,19.95,20.0,19.6,19.65,19.65,1775
2022-12-20,19.6,19.85,19.5,19.8,19.8,903
2022-12-21,19.85,20.0,19.8,19.95,19.95,3001
2022-12-22,19.95,20.0,19.6,19.6,19.6,4009
2022-12-23,19.6,19.6,19.05,19.3,19.3,5372
2022-12-27,19.3,19.6,19.0,19.0,19.0,7151
2022-12-28,18.95,19.8,18.3,19.8,19.8,8628
2022-12-29,19.8,20.0,19.5,19.9,19.9,2818
2022-12-30,19.95,20.2,19.5,20.2,20.2,2476
2023-01-02,20.4,21.0,20.4,21.0,21.0,6394
2023-01-03,20.7,21.5,20.7,21.5,21.5,19282
2023-01-04,21.5,21.5,20.8,20.8,20.8,11722
2023-01-05,21.2,21.3,20.8,21.3,21.3,8259
2023-01-09,21.3,22.5,20.9,22.0,22.0,12658
2023-01-10,22.3,22.7,22.0,22.5,22.5,8086
2023-01-11,22.5,24.7,22.5,22.7,22.7,37245
2023-01-12,22.7,22.9,22.2,22.8,22.8,10943
2023-01-13,22.8,22.9,22.7,22.8,22.8,6155
2023-01-16,22.8,22.8,22.5,22.5,22.5,7374
2023-01-17,22.7,22.7,22.3,22.4,22.4,1622
2023-01-18,22.7,22.7,21.2,22.0,22.0,5798
2023-01-19,22.6,22.7,21.8,22.7,22.7,3120
2023-01-20,22.7,23.8,22.4,23.8,23.8,4763
2023-01-23,23.9,24.8,23.6,24.5,24.5,6518
2023-01-24,24.1,24.8,23.8,24.4,24.4,10686
2023-01-25,24.5,24.8,22.7,22.9,22.9,12136
2023-01-26,23.0,23.5,23.0,23.4,23.4,2775
2023-01-27,23.9,23.9,22.7,23.3,23.3,6772
2023-01-30,23.4,23.4,22.9,23.1,23.1,9864
2023-01-31,23.5,23.9,23.0,23.9,23.9,1186
2023-02-01,23.9,24.4,22.5,23.4,23.4,4796
2023-02-02,23.3,24.3,23.3,23.9,23.9,2905
2023-02-03,24.2,24.5,23.1,23.9,23.9,4680
2023-02-06,24.1,24.2,22.6,23.1,23.1,11030
2023-02-07,23.1,23.3,22.6,23.0,23.0,1495
2023-02-08,23.1,23.1,22.9,23.1,23.1,1316
2023-02-09,22.8,23.0,22.1,22.8,22.8,8968
2023-02-10,22.7,22.8,22.1,22.4,22.4,4376
2023-02-13,22.4,22.4,22.2,22.4,22.4,1251
2023-02-14,22.4,22.9,22.2,22.4,22.4,2010
2023-02-15,22.6,22.8,22.4,22.8,22.8,1569
2023-02-16,22.9,24.3,22.9,23.2,23.2,1893
2023-02-17,23.2,23.7,23.1,23.2,23.2,3798
2023-02-20,23.4,24.2,23.0,23.3,23.3,5144
2023-02-21,23.3,23.5,23.0,23.5,23.5,3210
2023-02-22,23.5,23.5,22.9,23.3,23.3,1229
2023-02-23,23.3,23.3,22.9,23.3,23.3,654
2023-02-24,23.2,23.2,22.6,22.7,22.7,2208
2023-02-27,22.9,22.9,22.3,22.4,22.4,2615
2023-02-28,22.4,23.1,22.4,23.0,23.0,1803
2023-03-01,23.0,23.0,22.7,23.0,23.0,390
2023-03-02,23.0,23.0,22.7,22.9,22.9,1211
2023-03-03,22.9,23.3,22.8,23.0,23.0,766
2023-03-06,23.2,23.5,22.9,23.5,23.5,1792
2023-03-07,23.5,24.8,23.5,24.4,24.4,3917
