Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-26,3.13,3.172,3.092,3.102,3.102,95341
2022-08-29,3.15,3.26,3.11,3.15,3.15,327439
2022-08-30,3.2,3.2,3.08,3.08,3.08,113427
2022-08-31,3.05,3.098,3.02,3.036,3.036,131833
2022-09-01,3.02,3.046,2.872,2.88,2.88,280478
2022-09-02,2.9,2.94,2.86,2.94,2.94,89649
2022-09-05,2.896,2.936,2.78,2.91,2.91,111694
2022-09-06,2.938,2.99,2.86,2.87,2.87,68338
2022-09-07,2.928,2.928,2.832,2.888,2.888,36825
2022-09-08,2.888,2.968,2.888,2.91,2.91,50666
2022-09-09,2.922,2.956,2.85,2.908,2.908,83636
2022-09-12,2.92,2.984,2.906,2.93,2.93,117022
2022-09-13,2.984,2.984,2.902,2.91,2.91,63981
2022-09-14,2.9,2.946,2.876,2.946,2.946,61119
2022-09-15,2.908,2.944,2.814,2.86,2.86,97657
2022-09-16,2.896,2.906,2.76,2.76,2.76,139954
2022-09-19,2.798,2.966,2.776,2.948,2.948,111754
2022-09-20,2.97,3.098,2.88,2.88,2.88,157283
2022-09-21,2.882,2.988,2.882,2.92,2.92,56163
2022-09-22,2.946,2.946,2.85,2.854,2.854,90822
2022-09-23,2.854,2.892,2.816,2.816,2.816,63693
2022-09-26,2.848,2.858,2.6,2.802,2.802,338227
2022-09-27,2.902,3.138,2.902,3.044,3.044,391672
2022-09-28,3.032,3.14,2.95,3.024,3.024,122314
2022-09-29,3.09,3.09,2.862,2.89,2.89,133224
2022-09-30,2.9,2.938,2.87,2.89,2.89,55673
2022-10-03,2.922,3.02,2.85,3.02,3.02,105736
2022-10-04,3.03,3.16,3.014,3.148,3.148,283204
2022-10-05,3.146,3.146,3.07,3.128,3.128,61906
2022-10-06,3.104,3.18,3.104,3.122,3.122,103066
2022-10-07,3.082,3.114,3.056,3.056,3.056,101901
2022-10-10,3.048,3.056,2.988,2.988,2.988,48458
2022-10-11,2.98,3.126,2.974,3.124,3.124,226682
2022-10-12,3.13,3.2,3.076,3.2,3.2,196362
2022-10-13,3.164,3.208,3.1,3.168,3.168,132995
2022-10-14,3.202,3.21,3.1,3.12,3.12,69471
2022-10-17,3.144,3.144,3.06,3.07,3.07,45211
2022-10-18,3.092,3.092,3.01,3.058,3.058,106912
2022-10-19,3.04,3.05,2.994,3.042,3.042,63175
2022-10-20,3.038,3.08,3.0,3.05,3.05,84694
2022-10-21,3.066,3.066,2.97,2.976,2.976,102863
2022-10-24,3.01,3.032,2.972,2.98,2.98,50767
2022-10-25,3.002,3.04,2.99,3.04,3.04,75319
2022-10-26,2.95,3.038,2.936,3.024,3.024,256891
2022-10-27,3.002,3.032,2.96,3.018,3.018,78582
2022-10-28,3.002,3.18,2.984,3.156,3.156,344072
2022-10-31,3.26,3.7,3.26,3.41,3.41,1650502
2022-11-02,3.46,3.636,3.44,3.51,3.51,469420
2022-11-03,3.51,3.57,3.35,3.47,3.47,529541
2022-11-04,3.48,3.57,3.45,3.524,3.524,332943
2022-11-07,3.538,3.56,3.48,3.516,3.516,378504
2022-11-08,3.5,3.776,3.452,3.738,3.738,835248
2022-11-09,3.728,3.738,3.642,3.7,3.7,644330
2022-11-10,3.68,3.698,3.582,3.68,3.68,464310
2022-11-14,3.704,3.95,3.684,3.85,3.85,619443
2022-11-15,3.84,4.18,3.766,4.104,4.104,849717
2022-11-16,4.012,4.126,3.882,4.11,4.11,1146840
2022-11-17,4.108,4.11,3.934,3.95,3.95,795184
2022-11-18,3.926,4.0,3.844,3.85,3.85,288940
2022-11-21,3.9,4.0,3.86,3.978,3.978,324310
2022-11-22,3.996,4.09,3.86,3.872,3.872,383687
2022-11-23,3.908,3.948,3.822,3.834,3.834,251825
2022-11-24,3.886,3.94,3.8,3.82,3.82,223541
2022-11-25,3.88,3.88,3.806,3.85,3.85,209743
2022-11-28,3.874,3.988,3.864,3.92,3.92,437399
2022-11-29,3.94,3.94,3.872,3.9,3.9,193272
2022-11-30,3.882,3.94,3.862,3.89,3.89,174496
2022-12-01,3.936,4.268,3.872,4.25,4.25,1146605
2022-12-02,4.25,4.39,4.23,4.38,4.38,661196
2022-12-05,4.42,4.69,4.42,4.64,4.64,1037642
2022-12-06,4.6,4.63,4.468,4.53,4.53,474977
2022-12-07,4.526,4.55,4.47,4.512,4.512,243928
2022-12-08,4.51,4.51,4.214,4.446,4.446,697243
2022-12-09,4.46,4.532,4.408,4.41,4.41,127922
2022-12-12,4.398,4.624,4.302,4.6,4.6,315479
2022-12-13,4.638,4.938,4.6,4.9,4.9,1015071
2022-12-14,4.9,4.946,4.75,4.76,4.76,481762
2022-12-15,4.75,4.75,4.486,4.5,4.5,567858
2022-12-16,4.496,4.546,4.364,4.464,4.464,425945
2022-12-19,4.498,4.68,4.466,4.548,4.548,162331
2022-12-20,4.53,4.55,4.42,4.45,4.45,229468
2022-12-21,4.448,4.55,4.422,4.44,4.44,128644
2022-12-22,4.444,4.5,4.332,4.336,4.336,155420
2022-12-23,4.348,4.348,4.25,4.302,4.302,277148
2022-12-27,4.302,4.5,4.28,4.42,4.42,335840
2022-12-28,4.42,4.448,4.346,4.41,4.41,392572
2022-12-29,4.41,4.418,4.316,4.362,4.362,135591
2022-12-30,4.4,4.56,4.36,4.518,4.518,210826
2023-01-02,4.52,4.664,4.5,4.506,4.506,142881
2023-01-03,4.548,4.62,4.47,4.524,4.524,128950
2023-01-04,4.554,4.87,4.508,4.822,4.822,584197
2023-01-05,4.82,4.896,4.67,4.732,4.732,316855
2023-01-09,4.764,4.84,4.652,4.67,4.67,174040
2023-01-10,4.65,4.79,4.6,4.69,4.69,183829
2023-01-11,4.68,4.758,4.62,4.622,4.622,192265
2023-01-12,4.88,5.6,4.83,5.35,5.35,4350614
2023-01-13,5.36,5.48,5.22,5.37,5.37,1290631
2023-01-16,5.46,5.95,5.4,5.85,5.85,2110816
2023-01-17,5.835,5.95,5.635,5.875,5.875,805195
2023-01-18,5.86,5.9,5.57,5.6,5.6,812453
2023-01-19,5.51,5.57,5.15,5.25,5.25,1276180
2023-01-20,5.3,5.38,5.215,5.335,5.335,326092
2023-01-23,5.39,5.54,5.34,5.38,5.38,386917
2023-01-24,5.36,5.46,5.24,5.28,5.28,409558
2023-01-25,5.3,5.46,5.205,5.33,5.33,272161
2023-01-26,5.395,5.42,5.24,5.27,5.27,143729
2023-01-27,5.25,5.39,5.17,5.35,5.35,267006
2023-01-30,5.345,5.35,5.22,5.23,5.23,173327
2023-01-31,5.24,5.39,5.23,5.27,5.27,235718
2023-02-01,5.29,5.335,5.04,5.04,5.04,449831
2023-02-02,5.12,5.22,4.998,5.1,5.1,274962
2023-02-03,5.135,5.135,5.02,5.03,5.03,120591
2023-02-06,4.998,5.025,4.84,4.924,4.924,359139
2023-02-07,4.914,4.964,4.85,4.88,4.88,153953
2023-02-08,4.902,5.14,4.902,4.926,4.926,329431
2023-02-09,4.984,5.485,4.98,5.485,5.485,1721521
2023-02-10,5.485,5.49,5.12,5.12,5.12,911398
2023-02-13,5.15,5.24,5.06,5.16,5.16,281639
2023-02-14,5.15,5.175,5.11,5.12,5.12,188339
2023-02-15,5.145,5.26,5.12,5.24,5.24,167409
2023-02-16,5.3,5.3,5.13,5.19,5.19,136144
2023-02-17,5.16,5.26,5.14,5.2,5.2,149260
2023-02-20,5.2,5.225,5.095,5.105,5.105,169546
2023-02-21,5.095,5.16,4.99,5.0,5.0,169342
2023-02-22,4.99,5.085,4.922,5.0,5.0,160689
2023-02-23,5.05,5.19,5.05,5.13,5.13,103520
2023-02-24,5.16,5.19,5.06,5.095,5.095,68176
2023-02-27,5.1,5.15,5.05,5.075,5.075,56635
2023-02-28,5.1,5.12,5.0,5.02,5.02,111691
2023-03-01,5.075,5.29,5.05,5.215,5.215,284735
2023-03-02,5.195,5.195,5.035,5.07,5.07,168942
2023-03-03,5.08,5.17,5.06,5.09,5.09,185461
2023-03-06,5.165,5.245,5.09,5.22,5.22,159350
2023-03-07,5.2,5.65,5.2,5.5,5.5,1040404
2023-03-08,5.5,5.545,5.36,5.485,5.485,283984
2023-03-09,5.48,5.65,5.4,5.65,5.65,481257
2023-03-10,5.5,5.55,5.36,5.52,5.52,550089
