Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-31,4.72,4.72,4.72,4.72,4.72,10
2022-09-01,4.7,4.7,4.7,4.7,4.7,10
2022-09-02,4.7,4.7,4.7,4.7,4.7,3
2022-09-05,4.69,4.72,4.69,4.72,4.72,45
2022-09-06,4.6,4.6,4.6,4.6,4.6,230
2022-09-07,4.6,4.66,4.56,4.62,4.62,161
2022-09-08,4.62,4.62,4.62,4.62,4.62,161
2022-09-09,4.66,4.66,4.66,4.66,4.66,10
2022-09-12,4.59,4.66,4.59,4.64,4.64,620
2022-09-13,4.58,4.58,4.48,4.56,4.56,1980
2022-09-14,4.56,4.56,4.56,4.56,4.56,1980
2022-09-15,4.56,4.56,4.56,4.56,4.56,1980
2022-09-16,4.56,4.56,4.56,4.56,4.56,1980
2022-09-19,4.37,4.37,4.28,4.33,4.33,1370
2022-09-20,4.38,4.39,4.37,4.39,4.39,321
2022-09-21,4.44,4.45,4.44,4.45,4.45,25
2022-09-22,4.45,4.45,4.45,4.45,4.45,25
2022-09-23,4.45,4.45,4.45,4.45,4.45,25
2022-09-26,4.26,4.26,4.26,4.26,4.26,36
2022-09-27,4.26,4.26,4.26,4.26,4.26,36
2022-09-28,4.26,4.26,4.26,4.26,4.26,36
2022-09-29,4.05,4.33,4.02,4.02,4.02,6445
2022-09-30,4.13,4.13,4.1,4.13,4.13,181
2022-10-03,4.01,4.1,4.01,4.01,4.01,135
2022-10-04,4.1,4.1,4.01,4.1,4.1,1324
2022-10-05,4.13,4.15,4.01,4.14,4.14,120
2022-10-06,4.01,4.1,4.0,4.1,4.1,4781
2022-10-07,3.98,4.1,3.98,4.1,4.1,50
2022-10-10,4.02,4.26,4.02,4.26,4.26,2330
2022-10-11,4.05,4.06,3.86,3.86,3.86,5315
2022-10-12,3.92,4.12,3.92,4.12,4.12,3065
2022-10-13,4.04,4.11,3.98,4.11,4.11,395
2022-10-14,3.97,3.97,3.97,3.97,3.97,20
2022-10-17,4.11,4.15,4.11,4.15,4.15,1020
2022-10-18,4.08,4.13,4.08,4.13,4.13,180
2022-10-19,4.06,4.11,4.02,4.11,4.11,250
2022-10-20,4.11,4.11,4.11,4.11,4.11,250
2022-10-21,4.11,4.11,4.11,4.11,4.11,250
2022-10-24,4.08,4.46,4.04,4.46,4.46,3392
2022-10-25,4.51,4.87,4.51,4.74,4.74,6594
2022-10-26,4.74,5.46,4.73,4.92,4.92,33082
2022-10-27,4.96,4.96,4.86,4.95,4.95,711
2022-10-28,4.95,4.95,4.81,4.92,4.92,1485
2022-10-31,4.92,5.3,4.92,5.3,5.3,9719
2022-11-02,5.28,5.42,5.28,5.4,5.4,5570
2022-11-03,5.22,5.36,5.22,5.36,5.36,231
2022-11-04,5.36,5.36,5.24,5.24,5.24,270
