Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-25,18.0,18.47,17.5,18.0,18.0,52906
2022-11-28,18.1,18.19,17.76,18.0,18.0,26004
2022-11-29,17.84,18.4,17.57,18.19,18.19,76212
2022-11-30,18.14,18.48,17.93,18.28,18.28,41681
2022-12-01,18.46,18.46,17.87,17.95,17.95,129168
2022-12-02,18.0,18.3,17.95,18.0,18.0,139328
2022-12-05,18.29,18.39,18.06,18.39,18.39,69034
2022-12-06,18.4,18.5,18.1,18.33,18.33,31320
2022-12-07,18.32,18.4,17.9,18.01,18.01,131823
2022-12-08,18.25,18.25,17.96,18.0,18.0,39734
2022-12-09,18.0,18.09,17.7,17.78,17.78,66332
2022-12-12,18.5,18.5,18.0,18.21,18.21,98411
2022-12-13,18.28,18.28,18.0,18.0,18.0,75583
2022-12-14,18.0,18.17,17.92,17.97,17.97,54738
2022-12-15,17.99,18.04,17.55,17.57,17.57,51284
2022-12-16,17.59,17.61,16.93,17.5,17.5,284743
2022-12-19,17.15,17.49,17.0,17.4,17.4,38104
2022-12-20,17.41,17.44,17.02,17.28,17.28,49497
2022-12-21,17.25,17.39,16.8,17.3,17.3,49482
2022-12-22,17.28,17.37,17.1,17.35,17.35,24887
2022-12-23,17.18,17.35,17.03,17.06,17.06,40945
2022-12-27,17.1,17.4,17.01,17.05,17.05,47824
2022-12-28,17.04,17.15,17.0,17.05,17.05,70793
2022-12-29,17.01,17.31,17.01,17.15,17.15,44558
2022-12-30,17.3,17.58,17.15,17.54,17.54,63126
2023-01-02,17.7,18.5,17.65,18.28,18.28,93983
2023-01-03,18.28,18.38,18.12,18.25,18.25,74174
2023-01-04,18.3,18.8,18.26,18.4,18.4,148484
2023-01-05,18.4,18.7,18.1,18.49,18.49,185483
2023-01-09,18.78,18.78,18.3,18.5,18.5,171954
2023-01-10,18.49,18.5,18.3,18.3,18.3,65854
2023-01-11,18.39,18.75,18.35,18.6,18.6,122064
2023-01-12,18.64,18.75,18.51,18.7,18.7,96829
2023-01-13,18.7,18.75,18.32,18.58,18.58,58494
2023-01-16,18.68,18.72,18.23,18.69,18.69,77376
2023-01-17,18.7,18.7,18.3,18.3,18.3,53570
2023-01-18,18.4,18.48,18.3,18.35,18.35,57253
2023-01-19,18.43,18.46,18.0,18.0,18.0,88856
2023-01-20,18.4,18.4,18.05,18.29,18.29,21471
2023-01-23,18.37,18.5,18.12,18.2,18.2,34805
2023-01-24,18.2,18.36,18.14,18.3,18.3,23906
2023-01-25,18.3,18.3,18.13,18.25,18.25,29597
2023-01-26,18.2,19.89,18.2,19.2,19.2,262809
2023-01-27,19.75,19.75,19.1,19.3,19.3,107718
2023-01-30,19.2,19.2,18.44,18.67,18.67,40701
2023-01-31,18.88,18.88,18.46,18.5,18.5,37916
2023-02-01,18.58,18.84,18.03,18.13,18.13,36858
2023-02-02,18.3,18.69,18.12,18.44,18.44,76743
2023-02-03,18.4,18.66,18.15,18.3,18.3,32852
2023-02-06,18.4,18.55,18.08,18.17,18.17,39129
2023-02-07,18.2,18.4,18.08,18.16,18.16,24490
2023-02-08,18.35,18.35,18.04,18.15,18.15,26827
2023-02-09,18.3,18.42,18.18,18.35,18.35,32896
2023-02-10,18.44,18.48,18.19,18.46,18.46,37540
2023-02-13,18.4,20.6,18.37,19.1,19.1,319105
2023-02-14,19.45,19.8,18.75,19.2,19.2,80848
2023-02-15,19.28,19.4,19.1,19.29,19.29,20357
2023-02-16,19.29,19.38,19.13,19.3,19.3,29827
2023-02-17,19.11,19.37,18.9,18.9,18.9,36499
2023-02-20,18.9,19.68,18.8,19.5,19.5,174418
2023-02-21,19.63,20.0,19.26,19.55,19.55,129780
2023-02-22,19.55,19.69,19.3,19.5,19.5,91361
2023-02-23,19.7,20.2,19.6,19.72,19.72,64537
2023-02-24,19.8,20.4,19.31,19.96,19.96,272982
2023-02-27,20.06,20.68,19.7,20.1,20.1,368584
2023-02-28,20.2,20.46,20.16,20.2,20.2,212050
2023-03-01,20.24,20.3,20.06,20.16,20.16,26944
2023-03-02,20.1,20.2,19.82,19.87,19.87,127952
2023-03-03,20.0,20.2,19.6,19.87,19.87,111619
2023-03-06,20.38,21.46,19.6,20.28,20.28,671692
2023-03-07,19.82,19.9,18.9,18.9,18.9,728890
2023-03-08,18.63,18.86,18.55,18.68,18.68,392193
2023-03-09,18.89,19.0,18.55,18.56,18.56,685628
2023-03-10,18.59,18.73,18.53,18.55,18.55,599119
2023-03-13,18.58,18.62,18.46,18.5,18.5,255814
2023-03-14,18.55,18.96,18.5,18.75,18.75,158348
2023-03-15,18.7,18.73,18.46,18.6,18.6,431206
2023-03-16,18.5,18.59,18.35,18.48,18.48,94447
2023-03-17,18.48,18.67,18.41,18.67,18.67,148108
2023-03-20,18.65,18.65,18.43,18.57,18.57,82960
2023-03-21,18.57,18.57,18.43,18.43,18.43,67093
2023-03-22,18.48,18.5,18.42,18.48,18.48,31779
2023-03-23,18.48,18.5,18.42,18.5,18.5,25006
