Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-04,15.0,15.8,14.95,15.6,14.992,208683
2022-08-05,15.6,15.8,15.11,15.33,14.7325,89200
2022-08-08,15.33,16.4,15.33,16.35,15.7127,222516
2022-08-09,16.35,16.7,15.61,15.73,15.1169,210857
2022-08-10,15.72,16.18,15.0,16.0,15.3764,180633
2022-08-11,16.7,16.75,15.85,16.05,15.4244,156893
2022-08-12,16.05,16.36,16.0,16.0,15.3764,66089
2022-08-16,16.0,16.39,15.84,15.84,15.2226,114296
2022-08-17,15.99,15.99,15.17,15.45,14.8478,112133
2022-08-18,15.5,15.83,15.26,15.31,14.7133,74010
2022-08-19,15.5,15.85,15.12,15.24,14.646,76085
2022-08-22,15.5,15.89,15.28,15.36,14.7613,131823
2022-08-23,15.56,15.7,15.33,15.46,14.8574,89933
2022-08-24,15.6,15.88,15.5,15.8,15.1842,71619
2022-08-25,15.89,16.25,15.72,16.16,15.5302,144109
2022-08-26,16.2,16.38,15.7,15.77,15.1554,99794
2022-08-29,15.68,15.7,15.01,15.27,14.6748,142714
2022-08-30,15.3,15.72,14.8,14.9,14.3193,82641
2022-08-31,14.81,15.3,14.58,14.75,14.1751,118506
2022-09-01,14.55,14.9,14.05,14.13,13.5793,261968
2022-09-02,14.27,14.68,14.24,14.53,13.9637,88365
2022-09-05,14.69,14.69,14.18,14.38,13.8195,87074
2022-09-06,14.57,14.7,14.2,14.39,13.8291,66689
2022-09-07,14.4,14.59,14.06,14.54,13.9733,78464
2022-09-08,14.8,15.1,14.59,14.88,14.3,83086
2022-09-09,14.9,15.48,14.9,15.45,14.8478,71056
2022-09-12,15.84,16.26,15.6,15.61,15.0016,125907
2022-09-13,15.89,16.14,15.0,15.01,14.425,134330
2022-09-14,15.0,15.53,14.7,15.53,14.9247,78479
2022-09-15,15.68,15.7,15.13,15.64,15.0304,95552
2022-09-16,15.5,15.6,15.05,15.2,14.6076,99133
2022-09-19,15.0,15.2,14.8,15.2,14.6076,144159
2022-09-20,15.3,15.34,14.58,14.8,14.2232,130161
2022-09-21,14.82,14.95,14.36,14.69,14.1174,106085
2022-09-22,14.6,15.15,14.36,14.85,14.2712,62573
2022-09-23,15.13,15.13,14.21,14.41,13.8484,101056
2022-09-26,14.22,14.7,13.9,14.4,13.8387,154159
2022-09-27,14.41,15.18,14.33,14.76,14.1847,95087
2022-09-28,14.4,14.79,14.3,14.7,14.1271,88468
2022-09-29,14.7,14.7,14.01,14.01,13.4639,103255
2022-09-30,14.1,14.4,14.06,14.38,13.8195,71435
2022-10-03,14.36,14.7,14.14,14.7,14.1271,65278
2022-10-04,14.78,15.3,14.78,15.3,14.7037,109034
2022-10-05,15.4,15.4,15.0,15.18,14.5883,44685
2022-10-06,15.28,15.28,14.93,15.1,14.5115,64424
2022-10-07,14.94,15.35,14.94,15.2,14.6076,35294
2022-10-10,15.2,15.64,15.01,15.55,14.9439,92760
2022-10-11,15.55,16.06,15.4,15.85,15.2322,93626
