Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-15,2.88,2.95,2.88,2.945,2.945,5729
2023-02-16,2.89,2.99,2.865,2.98,2.98,26462
2023-02-17,2.97,2.97,2.85,2.935,2.935,11555
2023-02-20,2.935,2.96,2.85,2.96,2.96,15051
2023-02-21,2.89,2.98,2.8,2.92,2.92,21231
2023-02-22,2.87,2.87,2.76,2.78,2.78,11520
2023-02-23,2.84,2.84,2.77,2.81,2.81,5350
2023-02-24,2.81,2.83,2.77,2.82,2.82,4335
2023-02-27,2.82,2.85,2.75,2.84,2.84,8760
2023-02-28,2.84,2.84,2.78,2.84,2.84,3441
2023-03-01,2.84,2.895,2.79,2.825,2.825,8609
2023-03-02,2.83,2.83,2.785,2.82,2.82,5813
2023-03-03,2.82,2.82,2.78,2.8,2.8,1441
2023-03-06,3.0,3.1,2.87,2.9,2.9,86451
2023-03-07,2.9,2.92,2.8,2.855,2.855,25476
2023-03-08,2.8,2.87,2.79,2.87,2.87,16909
2023-03-09,2.87,2.9,2.81,2.82,2.82,13582
2023-03-10,2.81,2.9,2.79,2.845,2.845,14228
2023-03-13,2.83,2.83,2.655,2.78,2.78,23489
2023-03-14,2.705,2.77,2.695,2.76,2.76,12554
2023-03-15,2.755,2.78,2.68,2.745,2.745,4448
2023-03-16,2.87,2.87,2.6,2.62,2.62,30770
2023-03-17,2.65,2.69,2.58,2.66,2.66,14151
2023-03-20,2.595,2.645,2.55,2.63,2.63,3118
2023-03-21,2.645,2.66,2.55,2.62,2.62,17421
2023-03-22,2.62,2.645,2.575,2.64,2.64,3030
2023-03-23,2.65,2.825,2.585,2.64,2.64,81594
2023-03-24,2.68,2.695,2.59,2.67,2.67,4359
2023-03-27,2.67,2.68,2.58,2.67,2.67,12283
2023-03-28,2.67,2.705,2.56,2.705,2.705,19096
2023-03-29,2.705,2.705,2.605,2.695,2.695,41064
2023-03-30,2.675,2.7,2.6,2.695,2.695,48990
2023-03-31,2.695,2.72,2.66,2.695,2.695,12371
2023-04-03,2.68,2.805,2.68,2.8,2.8,39938
2023-04-04,2.8,2.96,2.8,2.84,2.84,43732
2023-04-05,2.86,2.865,2.8,2.865,2.865,7770
2023-04-06,2.855,2.95,2.81,2.95,2.95,48857
2023-04-11,2.95,3.06,2.95,3.0,3.0,85698
2023-04-12,3.0,3.025,2.9,2.92,2.92,127868
2023-04-13,2.96,2.975,2.885,2.91,2.91,12929
2023-04-14,2.95,2.965,2.86,2.87,2.87,15349
2023-04-17,2.905,2.905,2.85,2.9,2.9,10569
2023-04-18,2.9,2.905,2.86,2.86,2.86,8429
2023-04-19,2.88,2.935,2.85,2.935,2.935,15721
2023-04-20,2.99,2.99,2.86,2.88,2.88,10913
2023-04-21,2.86,2.93,2.85,2.87,2.87,15114
2023-04-24,2.79,2.9,2.77,2.84,2.84,12807
2023-04-25,2.91,2.91,2.78,2.86,2.86,5917
2023-04-26,2.86,2.86,2.8,2.82,2.82,24216
2023-04-27,2.82,3.1,2.77,2.89,2.89,82515
2023-04-28,2.94,2.94,2.71,2.72,2.72,65355
2023-05-02,2.82,2.82,2.72,2.76,2.76,26701
2023-05-04,2.8,2.8,2.75,2.79,2.79,10301
2023-05-05,2.8,2.87,2.77,2.82,2.82,36932
2023-05-08,3.05,3.2,2.96,3.0,3.0,377085
2023-05-09,3.07,3.17,3.01,3.15,3.15,51598
2023-05-10,3.17,3.18,3.06,3.18,3.18,30014
2023-05-11,3.18,3.4,3.15,3.2,3.2,82541
2023-05-12,3.2,3.21,3.03,3.05,3.05,37890
2023-05-15,3.05,3.18,3.02,3.12,3.12,58852
2023-05-16,3.12,3.18,3.08,3.16,3.16,6133
2023-05-17,3.3,3.6,3.27,3.55,3.55,209678
2023-05-18,3.55,3.62,3.4,3.55,3.55,51859
2023-05-19,3.6,3.63,3.51,3.6,3.6,55466
2023-05-22,3.6,3.69,3.53,3.67,3.67,50709
2023-05-23,3.66,3.7,3.5,3.56,3.56,48250
2023-05-24,3.58,3.58,3.4,3.45,3.45,21659
2023-05-25,3.4,3.47,3.38,3.42,3.42,17884
2023-05-26,3.44,3.44,3.34,3.42,3.42,17497
2023-05-29,3.49,3.59,3.43,3.48,3.48,30803
2023-05-30,3.59,3.59,3.52,3.56,3.56,17007
2023-05-31,3.5,3.5,3.33,3.33,3.33,36218
