Date,Open,High,Low,Close,Adjusted_close,Volume
2022-02-07,23.15,23.5,22.3,22.7,21.0551,1736
2022-02-08,23.2,23.2,22.0,23.0,21.3333,1134
2022-02-09,23.1,23.1,22.1,22.6,20.9623,1198
2022-02-10,23.05,23.05,22.3,22.4,20.7768,1479
2022-02-11,22.8,23.05,22.2,22.2,20.5913,1911
2022-02-14,22.1,22.1,20.7,21.9,20.313,4681
2022-02-15,21.9,22.6,21.8,22.5,20.8696,1407
2022-02-16,22.95,22.95,22.5,22.7,21.0551,268
2022-02-17,22.8,22.8,20.7,20.85,19.3391,3562
2022-02-18,20.9,22.0,20.75,20.8,19.2928,3275
2022-02-21,21.8,21.8,19.64,20.85,19.3391,7497
2022-02-22,19.7,21.65,19.7,21.65,20.0812,3949
2022-02-23,21.8,22.7,20.7,22.0,20.4058,1493
2022-02-24,20.0,21.45,18.5,19.98,18.5322,16280
2022-02-25,20.0,21.1,19.64,20.25,18.7826,8362
2022-02-28,20.25,21.4,20.25,20.5,19.0145,4550
2022-03-01,21.3,21.3,19.6,20.2,18.7362,4508
2022-03-02,20.25,20.25,19.22,19.78,18.3467,6250
2022-03-03,19.48,19.82,19.1,19.56,18.1426,3884
2022-03-04,19.78,19.78,18.9,19.48,18.0684,3194
2022-03-07,19.36,19.4,18.6,18.96,17.5861,6656
2022-03-08,19.3,19.62,18.98,19.38,17.9757,2969
2022-03-09,19.4,19.8,19.4,19.66,18.2354,1893
2022-03-10,19.66,20.6,19.66,20.1,18.6435,4007
2022-03-11,20.05,20.35,19.92,20.25,18.7826,1778
2022-03-14,20.3,20.3,19.68,19.8,18.3652,2282
2022-03-15,19.56,19.78,19.3,19.46,18.0499,1192
2022-03-16,19.56,20.1,19.56,20.0,18.5507,1541
2022-03-17,20.0,20.0,19.6,19.8,18.3652,1567
2022-03-18,20.0,20.3,19.98,20.3,18.829,2791
2022-03-21,20.2,21.2,20.1,20.5,19.0145,1991
2022-03-22,20.8,21.2,20.1,20.7,19.2,2222
2022-03-23,21.15,21.2,20.2,20.7,19.2,1690
2022-03-24,20.3,21.0,20.3,20.85,19.3391,741
2022-03-25,21.0,21.0,20.65,20.95,19.4319,1178
2022-03-28,20.85,21.25,20.85,21.05,19.5246,951
2022-03-29,21.25,22.45,21.0,22.35,20.7304,3022
2022-03-30,22.45,22.45,21.5,22.0,20.4058,3315
2022-03-31,23.0,23.0,22.15,22.7,21.0551,3107
2022-04-01,22.95,23.0,22.0,22.6,20.9623,2563
2022-04-04,22.6,22.6,22.1,22.6,20.9623,1308
2022-04-05,22.8,22.8,22.1,22.5,20.8696,1446
2022-04-06,22.7,22.7,21.5,22.0,20.4058,3149
2022-04-07,22.05,22.15,21.9,22.05,20.4522,1825
2022-04-08,21.6,21.75,21.15,21.7,20.1275,1970
2022-04-11,21.7,21.75,20.65,20.9,19.3855,3421
2022-04-12,20.6,21.0,20.4,21.0,19.4783,1997
2022-04-13,21.0,21.0,20.25,20.7,19.2,797
2022-04-14,20.95,20.95,20.45,20.7,19.2,959
2022-04-19,20.95,21.0,20.55,20.8,19.2928,1926
