Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-22,427.5,428.5,420.0,420.0,400.4236,1256
2023-03-23,420.0,427.5,412.0,414.0,394.7032,1248
2023-03-24,421.0,422.0,400.5,412.0,392.7964,1234
2023-03-27,413.0,418.5,398.0,418.5,398.9935,2616
2023-03-28,416.0,427.0,411.0,423.5,403.7604,2580
2023-03-29,423.0,426.0,416.5,424.0,404.2371,1473
2023-03-30,424.0,424.0,413.0,420.0,400.4236,908
2023-03-31,418.0,425.0,409.0,420.0,400.4236,2492
2023-04-03,424.0,430.0,418.0,421.0,401.3769,1489
2023-04-04,421.0,443.0,421.0,436.5,416.1545,4703
2023-04-05,437.5,437.5,426.0,432.0,411.8642,900
2023-04-06,432.0,440.0,432.0,437.5,417.1079,475
2023-04-11,440.0,449.0,438.0,443.0,422.3515,3130
2023-04-12,444.0,445.0,440.0,443.0,422.3515,1511
2023-04-13,443.0,443.0,434.0,440.0,419.4913,3104
2023-04-14,443.0,447.5,434.5,437.0,416.6312,1072
2023-04-17,440.0,440.0,426.5,432.0,411.8642,2724
2023-04-18,427.0,433.0,426.5,427.0,407.0973,1891
2023-04-19,431.5,431.5,427.0,427.0,407.0973,1583
2023-04-20,428.5,433.5,426.0,433.0,412.8176,2782
2023-04-21,432.0,432.0,424.0,427.0,407.0973,10874
2023-04-24,427.0,428.5,414.0,420.5,400.9003,2137
2023-04-25,420.0,422.0,415.0,415.0,395.6566,3643
2023-04-26,423.0,423.0,410.5,421.0,401.3769,1329
2023-04-27,421.0,421.0,417.0,418.5,398.9935,1336
2023-04-28,419.0,428.0,416.5,420.0,400.4236,637
2023-05-02,413.0,413.0,394.0,396.5,378.0189,5374
2023-05-04,397.0,409.0,397.0,403.5,384.6926,3598
2023-05-05,408.0,408.0,400.0,405.5,386.5994,1815
2023-05-08,405.0,410.5,400.5,402.5,383.7392,2051
2023-05-09,401.0,402.0,391.0,392.5,374.2053,3803
2023-05-10,392.0,392.0,384.0,384.0,366.1015,3199
2023-05-11,380.0,380.0,360.0,379.0,361.3346,15546
2023-05-12,382.5,393.5,382.5,386.0,368.0083,6917
2023-05-15,386.0,397.5,385.5,396.0,377.5422,13962
2023-05-16,397.5,420.0,393.0,420.0,400.4236,4676
2023-05-17,420.0,428.0,411.5,412.5,393.2731,3559
2023-05-18,410.0,419.0,407.0,416.0,396.61,836
2023-05-19,415.0,420.0,412.0,417.0,397.5634,1408
2023-05-22,416.0,423.0,411.5,419.0,399.4702,1904
2023-05-23,423.0,423.0,402.0,402.0,383.2625,2864
2023-05-24,403.0,408.0,398.5,403.5,384.6926,1591
