Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-09,30.6,30.6,29.0,30.0,30.0,1005
2023-01-10,30.6,30.6,29.6,30.0,30.0,552
2023-01-11,30.5,30.5,29.6,30.2,30.2,491
2023-01-12,30.5,30.5,29.7,29.8,29.8,344
2023-01-13,29.9,30.0,29.5,30.0,30.0,342
2023-01-16,30.0,31.5,29.5,31.5,31.5,2158
2023-01-17,31.5,31.5,30.4,31.0,31.0,539
2023-01-18,31.0,31.0,29.6,30.5,30.5,873
2023-01-19,30.5,30.6,29.1,30.0,30.0,958
2023-01-20,30.0,30.0,29.5,30.0,30.0,367
2023-01-23,30.0,30.0,29.3,29.4,29.4,1137
2023-01-24,29.9,29.9,29.1,29.7,29.7,1599
2023-01-25,29.8,29.9,29.4,29.7,29.7,1212
2023-01-26,29.5,29.8,29.1,29.6,29.6,570
2023-01-27,29.6,29.6,27.6,28.0,28.0,12586
2023-01-30,28.3,28.6,28.0,28.2,28.2,1658
2023-01-31,28.4,28.4,28.0,28.0,28.0,975
2023-02-01,28.2,28.4,27.4,27.9,27.9,1396
2023-02-02,28.0,28.4,27.9,28.1,28.1,1067
2023-02-03,28.1,28.5,28.1,28.5,28.5,882
2023-02-06,28.5,29.2,28.5,28.7,28.7,1473
2023-02-07,29.2,29.2,28.4,29.2,29.2,2635
2023-02-08,29.3,29.5,28.8,29.5,29.5,1409
2023-02-09,29.7,32.5,29.7,31.7,31.7,20149
2023-02-10,32.0,32.0,29.7,30.7,30.7,4199
2023-02-13,30.8,30.9,29.6,30.8,30.8,771
2023-02-14,30.9,31.0,30.3,31.0,31.0,747
2023-02-15,31.6,31.6,30.7,30.9,30.9,2395
2023-02-16,31.2,31.5,30.8,31.4,31.4,1615
2023-02-17,31.4,31.5,31.1,31.5,31.5,794
2023-02-20,31.5,31.5,31.1,31.5,31.5,1169
2023-02-21,31.5,32.2,31.1,31.3,31.3,1255
2023-02-22,31.9,31.9,30.7,31.4,31.4,1005
2023-02-23,31.8,32.5,31.6,31.7,31.7,2399
2023-02-24,32.3,32.3,31.0,31.2,31.2,1324
2023-02-27,31.9,31.9,31.0,31.4,31.4,449
2023-02-28,31.6,31.9,31.4,31.4,31.4,599
2023-03-01,31.6,31.6,31.3,31.5,31.5,255
2023-03-02,31.5,31.5,31.0,31.1,31.1,54
2023-03-03,31.2,31.4,30.1,30.9,30.9,1344
2023-03-06,31.7,31.7,31.2,31.2,31.2,234
2023-03-07,31.7,31.9,30.8,31.7,31.7,1234
2023-03-08,31.6,31.6,31.0,31.1,31.1,613
2023-03-09,31.1,31.8,31.1,31.6,31.6,526
2023-03-10,31.6,31.6,31.0,31.3,31.3,2082
2023-03-13,31.5,31.5,30.2,30.6,30.6,722
2023-03-14,30.6,30.9,30.3,30.9,30.9,394
2023-03-15,31.0,31.3,30.2,30.5,30.5,716
2023-03-16,31.0,31.0,29.5,30.0,30.0,2939
2023-03-17,30.5,31.0,30.2,30.6,30.6,1180
2023-03-20,30.6,30.9,30.0,30.9,30.9,1587
2023-03-21,30.9,30.9,30.2,30.6,30.6,246
2023-03-22,30.6,30.9,30.6,30.8,30.8,817
2023-03-23,30.9,30.9,30.3,30.8,30.8,101
2023-03-24,30.8,30.8,30.2,30.8,30.8,462
2023-03-27,30.3,30.9,30.2,30.7,30.7,303
2023-03-28,30.7,30.7,30.1,30.5,30.5,34
2023-03-29,30.7,30.7,30.0,30.3,30.3,550
2023-03-30,30.5,30.5,30.3,30.3,30.3,174
2023-03-31,30.5,30.6,30.0,30.0,30.0,1541
2023-04-03,30.0,30.4,30.0,30.3,30.3,320
2023-04-04,30.4,30.8,30.2,30.3,30.3,765
2023-04-05,30.8,30.8,30.2,30.6,30.6,126
2023-04-06,30.6,30.6,30.2,30.2,30.2,150
2023-04-11,30.2,30.6,30.2,30.6,30.6,328
2023-04-12,30.9,30.9,30.4,30.5,30.5,98
2023-04-13,30.4,30.9,30.4,30.9,30.9,350
2023-04-14,30.8,33.9,30.8,33.0,33.0,8027
2023-04-17,33.0,33.5,32.6,33.0,33.0,1113
2023-04-18,33.3,33.5,32.6,33.5,33.5,1018
2023-04-19,33.4,33.4,32.6,33.2,33.2,474
2023-04-20,33.3,33.3,32.6,33.1,33.1,791
2023-04-21,33.0,33.0,32.2,32.2,32.2,266
2023-04-24,32.2,32.8,31.7,32.8,32.8,624
2023-04-25,32.8,32.8,31.7,31.7,31.7,437
2023-04-26,32.0,32.1,32.0,32.1,32.1,120
2023-04-27,32.1,34.1,31.7,33.4,33.4,4610
2023-04-28,34.1,34.1,33.5,34.0,34.0,199
2023-05-02,34.0,34.0,33.1,33.8,33.8,726
2023-05-04,34.1,34.2,33.3,34.2,34.2,1871
2023-05-05,34.3,34.3,33.0,33.5,33.5,870
