Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-17,56.9,59.0,55.0,55.0,55.0,40615
2023-01-18,55.2,57.8,55.0,57.0,57.0,32216
2023-01-19,57.4,57.4,55.1,55.3,55.3,20248
2023-01-20,55.4,56.9,55.4,56.0,56.0,17796
2023-01-23,56.9,56.9,54.6,55.3,55.3,25878
2023-01-24,55.5,56.8,55.5,55.5,55.5,10393
2023-01-25,55.5,56.4,54.5,54.8,54.8,12151
2023-01-26,55.4,55.9,53.0,53.2,53.2,16818
2023-01-27,54.2,55.5,53.2,54.0,54.0,19032
2023-01-30,54.0,55.0,53.1,54.3,54.3,11378
2023-01-31,54.3,55.8,53.5,54.7,54.7,10982
2023-02-01,55.0,57.0,55.0,55.7,55.7,23771
2023-02-02,56.4,56.4,55.0,55.4,55.4,8495
2023-02-03,55.5,57.5,55.0,56.6,56.6,14667
2023-02-06,57.3,58.5,56.0,56.8,56.8,32656
2023-02-07,56.4,57.3,55.1,55.1,55.1,24424
2023-02-08,55.1,55.7,54.0,54.0,54.0,30235
2023-02-09,53.8,55.6,53.8,54.3,54.3,22428
2023-02-10,54.7,55.0,51.1,52.0,52.0,42737
2023-02-13,52.6,53.8,51.5,51.7,51.7,11957
2023-02-14,51.7,52.9,51.7,52.1,52.1,8276
2023-02-15,51.0,51.5,47.75,51.0,51.0,65684
2023-02-16,52.0,56.0,46.8,53.5,53.5,146123
2023-02-17,54.5,55.0,52.2,52.9,52.9,25841
2023-02-20,52.9,52.9,50.2,51.3,51.3,28892
2023-02-21,51.3,51.5,49.0,49.2,49.2,38024
2023-02-22,49.1,50.5,47.5,49.65,49.65,34980
2023-02-23,50.0,51.6,50.0,50.4,50.4,10539
2023-02-24,50.4,50.6,48.9,49.15,49.15,22751
2023-02-27,49.0,49.1,46.9,47.45,47.45,30665
2023-02-28,47.3,49.1,46.6,48.35,48.35,26578
2023-03-01,47.8,48.85,46.8,47.35,47.35,19011
2023-03-02,47.0,49.1,46.45,48.75,48.75,21076
2023-03-03,49.05,50.4,47.0,47.7,47.7,46137
2023-03-06,47.85,50.0,47.85,49.4,49.4,16765
2023-03-07,49.4,50.3,47.65,47.85,47.85,20904
2023-03-08,48.4,48.45,47.3,47.4,47.4,15585
2023-03-09,47.5,48.9,47.5,48.75,48.75,12197
2023-03-10,48.5,49.55,47.95,48.8,48.8,19737
2023-03-13,48.45,48.8,44.45,47.8,47.8,75904
2023-03-14,47.55,50.3,47.15,50.3,50.3,22432
2023-03-15,50.3,50.8,47.2,47.4,47.4,51706
2023-03-16,47.15,47.4,45.5,46.9,46.9,51491
2023-03-17,46.95,47.8,45.25,45.5,45.5,38435
2023-03-20,45.2,45.2,42.35,43.8,43.8,83349
2023-03-21,43.5,44.6,40.75,43.0,43.0,60512
2023-03-22,43.3,45.4,43.3,44.0,44.0,28338
2023-03-23,44.15,44.15,42.6,43.1,43.1,18976
2023-03-24,43.7,43.7,41.8,42.35,42.35,21167
2023-03-27,42.4,44.5,42.4,43.65,43.65,15430
2023-03-28,43.7,44.6,43.2,44.0,44.0,11634
2023-03-29,44.0,45.9,44.0,45.1,45.1,15531
2023-03-30,45.9,46.7,45.25,46.5,46.5,15669
2023-03-31,46.1,46.75,45.2,45.6,45.6,19221
2023-04-03,45.8,49.15,45.8,49.0,49.0,30127
2023-04-04,49.0,49.6,48.75,49.05,49.05,14770
2023-04-05,49.7,52.3,49.35,51.5,51.5,31176
2023-04-06,52.2,53.4,50.3,52.7,52.7,33293
2023-04-11,52.5,52.9,51.0,52.6,52.6,18258
2023-04-12,52.1,52.1,50.7,51.4,51.4,20938
2023-04-13,51.2,52.8,50.2,52.3,52.3,23848
2023-04-14,52.9,53.0,51.6,52.6,52.6,11576
2023-04-17,52.6,54.2,52.6,53.2,53.2,29695
2023-04-18,53.2,53.2,51.7,52.8,52.8,13758
2023-04-19,53.4,53.6,51.7,51.7,51.7,12898
2023-04-20,52.3,52.3,47.6,51.3,51.3,53456
2023-04-21,51.3,51.9,50.4,51.0,51.0,12808
2023-04-24,52.0,52.9,49.85,49.9,49.9,22698
2023-04-25,50.0,52.4,49.85,51.5,51.5,20780
