Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-04,1.445,1.535,1.445,1.535,1.535,8846
2022-11-07,1.53,1.755,1.53,1.755,1.755,175597
2022-11-08,1.715,1.8,1.62,1.795,1.795,103942
2022-11-09,1.72,1.755,1.655,1.74,1.74,5439
2022-11-10,1.745,1.75,1.635,1.695,1.695,10938
2022-11-14,1.75,1.765,1.635,1.73,1.73,22218
2022-11-15,1.685,1.95,1.655,1.905,1.905,403702
2022-11-16,1.89,1.94,1.77,1.805,1.805,141871
2022-11-17,1.805,1.915,1.78,1.915,1.915,68705
2022-11-18,1.915,1.93,1.85,1.89,1.89,86959
2022-11-21,1.935,1.935,1.835,1.86,1.86,35677
2022-11-22,1.89,1.89,1.81,1.86,1.86,7399
2022-11-23,1.83,1.99,1.83,1.98,1.98,112941
2022-11-24,2.01,2.03,1.85,1.945,1.945,100265
2022-11-25,1.9,1.9,1.82,1.84,1.84,73338
2022-11-28,1.815,1.89,1.815,1.825,1.825,9256
2022-11-29,1.825,1.845,1.645,1.845,1.845,86256
2022-11-30,1.855,2.2,1.855,2.11,2.11,1126676
2022-12-01,2.07,2.12,1.9,1.96,1.96,199895
2022-12-02,1.96,1.96,1.77,1.875,1.875,188352
2022-12-05,1.83,1.94,1.83,1.89,1.89,47372
2022-12-06,1.86,1.89,1.8,1.85,1.85,43445
2022-12-07,1.84,1.86,1.75,1.795,1.795,45905
2022-12-08,1.855,1.94,1.77,1.835,1.835,36650
2022-12-09,1.8,1.835,1.73,1.79,1.79,34982
2022-12-12,1.78,1.785,1.72,1.765,1.765,43742
2022-12-13,1.73,1.805,1.705,1.805,1.805,41122
2022-12-14,1.78,1.805,1.74,1.8,1.8,26910
2022-12-15,1.765,1.8,1.7,1.77,1.77,24813
2022-12-16,1.745,1.775,1.7,1.755,1.755,3816
2022-12-19,1.755,1.8,1.72,1.785,1.785,15816
2022-12-20,1.785,1.85,1.785,1.845,1.845,27502
2022-12-21,1.85,1.85,1.72,1.82,1.82,19283
2022-12-22,1.82,1.845,1.74,1.8,1.8,10529
2022-12-23,1.8,1.85,1.75,1.8,1.8,23002
2022-12-27,1.76,1.8,1.69,1.735,1.735,46576
2022-12-28,1.7,1.82,1.7,1.79,1.79,98921
2022-12-29,1.85,1.85,1.755,1.755,1.755,9613
2022-12-30,1.84,1.84,1.795,1.84,1.84,10422
2023-01-02,1.84,2.1,1.795,2.06,2.06,241867
2023-01-03,2.08,2.12,2.0,2.12,2.12,198780
2023-01-04,2.14,2.15,2.06,2.15,2.15,137565
2023-01-05,2.14,2.14,2.03,2.09,2.09,46663
2023-01-09,2.09,2.34,2.06,2.28,2.28,720792
2023-01-10,2.26,2.32,2.17,2.29,2.29,269832
2023-01-11,2.3,2.34,2.25,2.33,2.33,273511
2023-01-12,2.35,2.45,2.34,2.43,2.43,447177
2023-01-13,2.44,2.71,2.42,2.62,2.62,579142
