Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-05,71.3,71.5,71.3,71.4,71.4,1138
2022-08-08,71.1,71.5,70.8,71.3,71.3,1523
2022-08-09,71.3,71.4,69.1,69.2,69.2,3125
2022-08-10,69.0,69.2,68.2,68.5,68.5,1958
2022-08-11,69.0,69.5,68.5,69.0,69.0,4469
2022-08-12,69.5,71.0,69.3,71.0,71.0,3916
2022-08-16,71.0,71.0,70.0,70.1,70.1,15207
2022-08-17,70.1,71.0,70.0,70.6,70.6,5874
2022-08-18,70.6,70.8,70.1,70.6,70.6,11241
2022-08-19,70.3,70.5,69.0,70.0,70.0,2114
2022-08-22,69.9,70.0,67.5,67.5,67.5,3125
2022-08-23,67.5,69.5,67.5,69.2,69.2,1088
2022-08-24,69.2,70.5,69.0,70.5,70.5,6595
2022-08-25,70.5,70.5,69.0,70.0,70.0,811
2022-08-26,69.3,69.9,68.1,68.5,68.5,911
2022-08-29,68.0,68.5,67.1,68.0,68.0,1069
2022-08-30,68.2,70.0,67.1,67.3,67.3,3152
2022-08-31,67.0,67.9,65.0,66.2,66.2,3443
2022-09-01,66.4,67.3,66.2,66.2,66.2,1810
2022-09-02,66.5,67.8,66.5,66.8,66.8,863
2022-09-05,66.8,66.8,66.0,66.8,66.8,1194
2022-09-06,66.5,67.5,66.3,67.2,67.2,823
2022-09-07,67.0,67.6,66.7,67.6,67.6,1333
2022-09-08,68.1,69.5,67.2,69.4,69.4,514
2022-09-09,68.9,71.3,68.9,71.3,71.3,2277
2022-09-12,71.4,71.5,70.0,70.8,70.8,1824
2022-09-13,71.5,71.5,67.8,68.6,68.6,1962
2022-09-14,67.9,69.9,67.9,69.5,69.5,588
2022-09-15,70.0,70.7,69.0,70.4,70.4,663
2022-09-16,69.6,70.7,67.5,70.7,70.7,2764
2022-09-19,69.9,69.9,67.4,69.0,69.0,1091
2022-09-20,69.0,69.0,66.7,68.0,68.0,775
2022-09-21,68.0,68.0,66.7,67.0,67.0,1763
2022-09-22,67.0,68.4,66.5,66.8,66.8,612
2022-09-23,66.8,67.2,66.2,66.8,66.8,2689
2022-09-26,66.0,67.0,65.9,67.0,67.0,1366
2022-09-27,67.0,67.9,66.0,66.2,66.2,938
2022-09-28,66.2,66.3,66.0,66.3,66.3,1594
2022-09-29,66.4,66.8,66.0,66.0,66.0,1643
2022-09-30,66.1,66.9,65.1,65.1,65.1,1625
2022-10-03,66.4,66.4,65.0,66.3,66.3,888
2022-10-04,66.4,69.2,65.9,67.8,67.8,1371
2022-10-05,67.4,67.4,66.0,67.3,67.3,1422
2022-10-06,67.2,67.2,66.5,66.9,66.9,977
2022-10-07,66.9,67.2,66.6,67.1,67.1,729
2022-10-10,67.1,67.1,66.6,66.7,66.7,488
2022-10-11,67.1,68.0,67.0,68.0,68.0,666
2022-10-12,67.9,69.0,67.9,69.0,69.0,625
2022-10-13,68.9,69.3,66.7,68.1,68.1,913
2022-10-14,68.8,68.9,67.2,68.4,68.4,979
2022-10-17,68.4,68.7,67.6,68.7,68.7,461
2022-10-18,68.0,69.8,68.0,69.7,69.7,1257
2022-10-19,69.7,70.2,67.7,68.9,68.9,726
2022-10-20,69.3,69.3,68.1,69.1,69.1,432
2022-10-21,68.4,68.5,67.5,68.2,68.2,319
2022-10-24,68.2,68.2,66.9,67.9,67.9,1468
2022-10-25,67.9,68.0,66.9,67.0,67.0,810
2022-10-26,67.7,68.0,67.0,67.7,67.7,484
2022-10-27,68.2,69.0,67.4,68.4,68.4,556
2022-10-28,68.2,69.0,67.8,69.0,69.0,670
2022-10-31,69.5,72.0,69.1,71.0,71.0,2603
2022-11-02,72.2,74.0,71.0,73.9,73.9,4631
2022-11-03,73.9,74.0,71.1,72.6,72.6,4069
2022-11-04,73.0,74.9,72.0,74.9,74.9,3495
2022-11-07,74.9,76.0,70.0,71.0,71.0,11771
2022-11-08,71.5,74.0,71.5,74.0,74.0,1184
2022-11-09,74.0,74.0,72.9,73.7,73.7,1548
2022-11-10,73.4,73.9,72.6,73.3,73.3,935
2022-11-14,74.7,75.8,73.8,73.8,73.8,4441
2022-11-15,74.9,77.0,73.6,75.9,75.9,3215
2022-11-16,75.0,77.0,73.6,76.8,76.8,3477
2022-11-17,78.4,78.5,75.9,75.9,75.9,4574
2022-11-18,76.0,76.0,74.8,74.9,74.9,4385
