Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-08,31.14,31.7,31.1,31.27,64,86,2,1
2023-05-09,31.18,31.23,30.82,31.12,64,86,2,1
2023-05-10,31.26,31.75,30.88,31.18,64,86,2,1
2023-05-11,31.33,31.56,30.9,31.0,64,86,2,1
2023-05-12,31.29,31.96,31.1,31.35,64,86,2,1
2023-05-15,31.63,31.67,31.06,31.37,64,86,2,1
2023-05-16,31.29,31.78,31.12,31.63,64,86,2,1
2023-05-17,31.33,31.84,31.14,31.67,64,86,2,1
2023-05-18,32.0,32.62,31.84,32.23,64,86,2,1
2023-05-19,32.4,33.25,32.35,33.25,64,86,2,1
2023-05-22,33.0,33.71,32.94,33.52,64,86,2,1
2023-05-23,33.44,33.95,33.38,33.74,64,86,2,1
2023-05-24,33.55,33.63,32.55,32.63,64,86,2,1
2023-05-25,32.54,33.33,32.4,32.97,64,86,2,1
2023-05-26,33.15,34.09,33.01,34.07,64,86,2,1
2023-05-29,34.07,34.22,33.75,34.08,64,86,2,1
2023-05-30,34.02,34.02,33.13,33.13,64,86,2,1
2023-05-31,32.76,32.92,31.91,32.08,64,86,2,1
2023-06-01,32.2,32.91,32.02,32.8,64,86,2,1
2023-06-02,33.09,34.49,33.0,34.47,64,86,2,1
2023-06-05,34.47,35.18,34.12,34.3,64,86,2,1
2023-06-06,34.22,35.8,34.22,35.78,64,86,2,1
2023-06-07,35.7,35.8,34.95,35.32,64,86,2,1
2023-06-09,35.53,36.23,35.39,35.79,64,86,2,1
2023-06-12,35.79,36.01,35.28,35.34,64,86,2,1
2023-06-13,35.4,35.65,34.73,34.95,64,86,2,1
2023-06-14,34.92,35.98,34.92,35.6,64,86,2,1
2023-06-15,35.2,35.67,34.21,35.67,64,86,2,1
2023-06-16,35.67,36.3,35.43,36.17,64,86,2,1
2023-06-19,36.0,36.6,35.72,35.92,64,86,2,1
2023-06-20,35.85,36.15,35.42,35.53,64,86,2,1
2023-06-21,35.5,36.44,35.34,35.97,64,86,2,1
2023-06-22,36.2,36.52,35.61,36.23,64,86,2,1
2023-06-23,36.0,36.36,35.1,35.26,64,86,2,1
2023-06-26,35.25,36.25,35.06,36.0,64,86,2,1
2023-06-27,36.15,36.2,35.11,35.35,64,86,2,1
2023-06-28,35.77,36.24,35.24,35.62,64,86,2,1
2023-06-29,35.77,36.28,35.52,36.08,64,86,2,1
2023-06-30,36.37,36.4,35.9,36.15,64,86,2,1
2023-07-03,36.15,37.06,36.0,37.02,64,86,2,1
2023-07-04,37.0,37.16,36.49,36.51,64,86,2,1
2023-07-05,36.3,36.47,35.98,36.0,64,86,2,1
2023-07-06,35.89,36.12,35.33,35.76,64,86,2,1
2023-07-07,35.76,36.83,35.72,36.65,64,86,2,1
2023-07-10,36.5,36.82,36.2,36.73,64,86,2,1
2023-07-11,36.91,37.04,36.55,36.87,64,86,2,1
2023-07-12,37.08,38.66,37.06,38.58,64,86,2,1
2023-07-13,38.58,39.15,38.22,39.0,64,86,2,1
2023-07-14,38.65,39.44,38.64,38.94,64,86,2,1
2023-07-17,38.86,39.3,38.72,39.1,64,86,2,1
2023-07-18,38.95,40.0,38.42,39.94,64,86,2,1
2023-07-19,39.94,40.14,39.7,39.89,64,86,2,1
2023-07-20,39.7,39.9,39.37,39.64,64,86,2,1
2023-07-21,39.45,39.8,39.18,39.43,64,86,2,1
2023-07-24,39.01,39.8,39.01,39.8,64,86,2,1
2023-07-25,39.8,39.8,39.11,39.65,64,86,2,1
2023-07-26,39.64,39.78,39.28,39.59,64,86,2,1
2023-07-27,39.52,40.6,39.52,40.48,64,86,2,1
2023-07-28,40.14,40.64,40.03,40.52,64,86,2,1
2023-07-31,40.48,40.89,40.4,40.66,64,86,2,1
2023-08-01,40.65,40.65,39.85,40.33,64,86,2,1
2023-08-02,40.0,40.0,39.51,39.54,64,86,2,1
2023-08-03,39.32,39.9,39.2,39.78,64,86,2,1
2023-08-04,39.99,40.44,39.85,40.34,64,86,2,1
2023-08-07,39.95,40.25,39.65,39.89,64,86,2,1
2023-08-08,39.82,39.82,38.87,39.21,64,86,2,1
2023-08-09,39.36,39.72,39.02,39.2,64,86,2,1
2023-08-10,39.12,39.9,39.12,39.55,64,86,2,1
2023-08-11,39.31,39.46,38.72,39.0,64,86,2,1
2023-08-14,38.72,39.21,38.42,38.6,64,86,2,1
2023-08-16,38.08,38.5,36.95,37.13,64,86,2,1
2023-08-17,37.0,37.15,36.34,36.6,64,86,2,1
2023-08-18,36.3,36.92,36.25,36.77,64,86,2,1
2023-08-21,36.78,37.27,36.6,37.06,64,86,2,1
2023-08-22,37.22,37.33,36.61,36.71,64,86,2,1
2023-08-23,36.75,37.29,36.53,37.02,64,86,2,1
2023-08-24,37.42,37.79,37.36,37.4,64,86,2,1
2023-08-25,37.13,37.81,36.9,37.13,64,86,2,1
2023-08-28,37.46,38.0,37.13,37.93,64,86,2,1
2023-08-29,38.04,38.38,37.7,37.88,64,86,2,1
2023-08-30,37.9,38.25,37.76,38.06,64,86,2,1
2023-08-31,38.03,38.32,37.25,37.35,64,86,2,1
2023-09-01,37.28,38.04,37.18,37.86,64,86,2,1
2023-09-04,37.7,38.06,37.4,37.51,64,86,2,1
2023-09-05,37.51,37.84,37.03,37.17,64,86,2,1
2023-09-06,37.09,37.1,34.0,35.34,64,86,2,1
2023-09-07,35.3,35.58,34.66,35.26,64,86,2,1
2023-09-08,35.45,35.6,34.77,35.17,64,86,2,1
2023-09-11,35.38,35.6,35.04,35.14,64,86,2,1
