Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-19,17.24,17.52,16.98,17.16,17.16,301331
2023-06-20,17.15,17.29,16.95,17.015,17.015,329922
2023-06-21,17.02,17.2,16.55,16.55,16.55,443320
2023-06-22,16.695,16.89,16.445,16.715,16.715,309728
2023-06-23,16.715,16.945,16.355,16.355,16.355,307618
2023-06-26,16.33,16.69,16.33,16.69,16.69,289222
2023-06-27,16.81,16.83,16.35,16.54,16.54,337039
2023-06-28,16.6,16.83,16.585,16.755,16.755,308665
2023-06-29,16.8,16.875,16.58,16.67,16.67,318811
2023-06-30,16.795,16.86,16.45,16.51,16.51,596503
2023-07-03,16.81,16.875,16.515,16.58,16.58,355654
2023-07-04,16.52,16.58,16.24,16.265,16.265,387737
2023-07-05,16.26,16.3,15.875,15.875,15.875,451078
2023-07-06,15.875,16.1,15.75,15.9,15.9,389157
2023-07-07,16.045,16.18,15.9,16.065,16.065,254052
2023-07-10,16.13,16.235,16.05,16.13,16.13,266382
2023-07-11,16.245,16.365,16.0,16.0,16.0,452103
2023-07-12,16.12,16.42,16.09,16.325,16.325,418754
2023-07-13,16.34,16.67,16.32,16.405,16.405,332769
2023-07-14,16.53,16.78,16.41,16.615,16.615,417590
2023-07-17,16.495,16.79,16.495,16.7,16.7,407681
2023-07-18,16.7,16.77,16.61,16.71,16.71,359794
2023-07-19,16.78,16.83,16.63,16.665,16.665,222985
2023-07-20,16.75,16.79,16.405,16.405,16.405,403472
2023-07-21,16.44,16.5,16.185,16.22,16.22,278463
2023-07-24,16.155,16.695,16.15,16.5,16.5,236417
2023-07-25,16.5,16.56,16.165,16.24,16.24,242999
2023-07-26,16.48,16.48,16.175,16.2,16.2,237171
2023-07-27,16.2,16.4,16.105,16.21,16.21,400667
2023-07-28,16.21,16.395,16.18,16.21,16.21,363779
2023-07-31,16.345,16.345,16.005,16.15,16.15,669850
2023-08-01,16.135,16.49,16.04,16.47,16.47,587152
2023-08-02,16.4,16.4,16.01,16.01,16.01,474863
2023-08-03,16.1,16.145,15.905,16.06,16.06,499965
2023-08-04,16.16,16.185,15.95,16.185,16.185,281230
2023-08-07,16.1,16.2,15.98,16.1,16.1,280830
2023-08-08,16.085,16.09,15.72,15.72,15.72,705830
2023-08-09,15.875,16.01,15.765,15.925,15.925,461361
2023-08-10,15.94,15.94,15.64,15.65,15.65,481790
2023-08-11,15.65,15.77,15.47,15.49,15.49,452068
2023-08-14,15.5,15.5,14.89,14.9,14.9,764096
2023-08-16,14.9,14.93,14.08,14.33,14.33,1528274
2023-08-17,14.37,14.495,13.99,14.05,14.05,1211803
2023-08-18,14.11,14.28,14.045,14.195,14.195,691068
2023-08-21,14.295,14.745,14.25,14.675,14.675,716718
2023-08-22,14.78,14.78,14.34,14.385,14.385,664149
2023-08-23,14.38,14.445,14.02,14.18,14.18,839454
2023-08-24,14.245,14.38,14.015,14.045,14.045,418505
2023-08-25,14.01,14.295,13.95,14.255,14.255,706885
2023-08-28,14.295,14.295,13.17,13.26,13.26,2737345
2023-08-29,13.325,13.5,13.265,13.35,13.35,1067567
2023-08-30,13.405,13.7,13.405,13.445,13.445,564099
2023-08-31,13.49,13.68,13.425,13.56,13.56,1315424
