Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-17,4.1,4.35,4.0,4.35,4.35,258798
2023-04-18,4.38,4.47,4.22,4.32,4.32,269316
2023-04-19,4.3,4.69,4.2,4.55,4.55,397743
2023-04-20,4.67,4.95,4.63,4.95,4.95,375991
2023-04-21,5.01,5.37,4.99,5.24,5.24,325910
2023-04-24,5.23,5.24,4.855,4.885,4.885,276837
2023-04-25,4.865,5.18,4.865,5.09,5.09,155788
2023-04-26,5.01,5.1,4.92,5.0,5.0,59285
2023-04-27,4.98,5.17,4.88,4.99,4.99,100267
2023-04-28,5.0,5.15,4.9,5.08,5.08,144745
2023-05-02,5.08,5.1,4.96,5.08,5.08,21852
2023-05-04,5.08,5.08,4.625,4.785,4.785,122813
2023-05-05,4.87,4.87,4.6,4.72,4.72,46309
2023-05-08,4.68,4.86,4.65,4.7,4.7,82510
2023-05-09,4.54,4.65,4.49,4.52,4.52,138813
2023-05-10,4.5,4.82,4.37,4.63,4.63,181545
2023-05-11,4.595,4.6,4.455,4.56,4.56,33466
2023-05-12,4.57,4.57,4.17,4.41,4.41,139471
2023-05-15,4.41,5.33,4.2,5.2,5.2,777216
2023-05-16,5.18,5.37,5.0,5.19,5.19,241527
2023-05-17,5.19,5.2,4.95,5.0,5.0,136301
2023-05-18,4.92,5.05,4.65,4.69,4.69,354053
2023-05-19,4.55,4.755,4.55,4.685,4.685,99066
2023-05-22,4.7,4.725,4.57,4.595,4.595,50432
2023-05-23,4.595,4.765,4.545,4.75,4.75,54074
2023-05-24,4.735,4.75,4.605,4.74,4.74,25780
2023-05-25,4.67,5.1,4.63,4.81,4.81,269588
2023-05-26,4.8,4.89,4.66,4.7,4.7,46501
2023-05-29,4.74,4.95,4.51,4.79,4.79,244235
2023-05-30,4.755,4.755,4.68,4.68,4.68,32530
2023-05-31,4.7,4.75,4.6,4.65,4.65,41615
2023-06-01,4.65,4.75,4.61,4.73,4.73,13171
2023-06-02,4.655,4.775,4.65,4.72,4.72,41942
2023-06-05,4.655,4.72,4.62,4.65,4.65,40099
2023-06-06,4.66,4.775,4.65,4.72,4.72,30994
2023-06-07,4.67,4.725,4.63,4.69,4.69,31366
2023-06-09,4.7,4.72,4.655,4.705,4.705,16943
2023-06-12,4.65,4.74,4.525,4.595,4.595,51614
2023-06-13,4.515,4.58,4.46,4.46,4.46,31118
2023-06-14,4.31,4.48,4.31,4.4,4.4,55730
2023-06-15,4.42,4.44,4.22,4.26,4.26,52649
2023-06-16,4.3,4.38,4.225,4.28,4.28,33442
2023-06-19,4.28,4.385,4.115,4.2,4.2,74070
2023-06-20,4.135,4.2,4.09,4.175,4.175,41736
2023-06-21,4.17,4.17,4.04,4.055,4.055,45402
2023-06-22,4.05,4.3,3.995,4.08,4.08,109544
2023-06-23,4.14,4.14,3.97,3.98,3.98,76942
2023-06-26,3.965,4.0,3.82,3.9,3.9,97720
2023-06-27,3.85,3.945,3.785,3.88,3.88,74258
2023-06-28,3.885,3.9,3.7,3.87,3.87,86536
2023-06-29,3.87,4.595,3.765,4.39,4.39,396776
2023-06-30,4.36,4.36,4.11,4.155,4.155,161695
2023-07-03,4.155,4.175,4.01,4.09,4.09,64339
2023-07-04,4.09,4.09,3.97,3.97,3.97,26900
2023-07-05,4.0,4.245,3.9,4.09,4.09,226088
2023-07-06,4.1,4.2,3.93,4.02,4.02,63403
2023-07-07,4.025,4.095,3.9,3.975,3.975,16234
2023-07-10,3.97,4.05,3.9,4.025,4.025,17818
2023-07-11,4.02,4.05,3.94,4.02,4.02,5360
2023-07-12,3.96,4.085,3.925,4.0,4.0,30750
2023-07-13,4.015,4.015,3.92,4.0,4.0,20788
2023-07-14,3.93,4.17,3.915,4.145,4.145,79779
2023-07-17,4.115,4.16,4.0,4.01,4.01,62241
2023-07-18,3.96,4.18,3.95,4.1,4.1,68690
2023-07-19,4.1,4.26,4.005,4.02,4.02,105786
2023-07-20,4.085,4.42,4.065,4.28,4.28,101454
2023-07-21,4.42,4.7,4.32,4.6,4.6,209069
2023-07-24,4.75,4.75,4.5,4.62,4.62,54351
2023-07-25,4.67,4.74,4.575,4.59,4.59,61662
2023-07-26,4.59,4.59,4.36,4.375,4.375,42508
2023-07-27,4.375,4.375,4.26,4.3,4.3,18789
2023-07-28,4.27,4.4,4.27,4.33,4.33,5697
2023-07-31,4.34,4.4,4.24,4.28,4.28,10115
2023-08-01,4.365,4.45,4.29,4.3,4.3,20895
2023-08-02,4.39,4.49,4.3,4.49,4.49,47709
2023-08-03,4.52,4.55,4.39,4.44,4.44,13784
2023-08-04,4.55,4.55,4.34,4.39,4.39,14497
2023-08-07,4.4,4.4,4.285,4.345,4.345,8746
2023-08-08,4.28,4.4,4.22,4.4,4.4,15781
2023-08-09,4.455,4.62,4.255,4.255,4.255,67416
2023-08-10,4.325,4.325,4.135,4.19,4.19,38206
2023-08-11,4.285,4.285,4.125,4.235,4.235,8792
2023-08-14,4.2,4.34,4.115,4.225,4.225,14070
2023-08-16,4.135,4.19,4.01,4.03,4.03,25273
2023-08-17,3.96,4.0,3.915,4.0,4.0,26548
2023-08-18,3.9,3.945,3.895,3.94,3.94,17510
2023-08-21,3.93,4.16,3.88,3.91,3.91,54071
2023-08-22,3.98,4.04,3.915,4.04,4.04,8204
2023-08-23,3.99,4.04,3.915,4.04,4.04,18472
2023-08-24,4.035,4.17,3.95,4.05,4.05,15518
2023-08-25,4.12,4.12,3.97,4.0,4.0,5792
