Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-27,2.48,2.48,2.48,2.48,2.48,2
2023-03-28,2.48,2.48,2.48,2.48,2.48,250
2023-03-29,2.54,2.64,2.54,2.64,2.64,9933
2023-03-30,2.64,2.64,2.64,2.64,2.64,1000
2023-03-31,2.68,2.7,2.66,2.7,2.7,3863
2023-04-03,2.68,2.68,2.68,2.68,2.68,1000
2023-04-04,2.68,2.68,2.64,2.64,2.64,15
2023-04-05,2.64,2.64,2.64,2.64,2.64,2000
2023-04-06,2.64,2.64,2.64,2.64,2.64,0
2023-04-11,2.64,2.64,2.64,2.64,2.64,492
2023-04-12,2.62,2.64,2.62,2.64,2.64,1335
2023-04-13,2.68,2.68,2.58,2.58,2.58,502
2023-04-14,2.58,2.58,2.58,2.58,2.58,502
2023-04-17,2.58,2.58,2.58,2.58,2.58,0
2023-04-18,2.58,2.58,2.58,2.58,2.58,1
2023-04-19,2.58,2.58,2.58,2.58,2.58,1
2023-04-20,2.54,2.54,2.54,2.54,2.54,2000
2023-04-21,2.56,2.56,2.56,2.56,2.56,605
2023-04-24,2.56,2.56,2.56,2.56,2.56,605
2023-04-25,2.56,2.56,2.56,2.56,2.56,605
2023-04-26,2.56,2.56,2.56,2.56,2.56,605
2023-04-27,2.6,2.6,2.52,2.58,2.58,1726
2023-04-28,2.58,2.64,2.58,2.64,2.64,1003
2023-05-02,2.62,2.64,2.54,2.62,2.62,3210
2023-05-04,2.6,2.64,2.52,2.64,2.64,1090
2023-05-05,2.64,2.64,2.64,2.64,2.64,0
2023-05-08,2.64,2.64,2.64,2.64,2.64,0
2023-05-09,2.64,2.64,2.64,2.64,2.64,604
2023-05-10,2.64,2.64,2.64,2.64,2.64,604
2023-05-11,2.64,2.64,2.64,2.64,2.64,604
2023-05-12,2.64,2.64,2.64,2.64,2.64,604
2023-05-15,2.54,2.54,2.54,2.54,2.54,120
2023-05-16,2.58,2.58,2.58,2.58,2.58,100
2023-05-17,2.6,2.6,2.6,2.6,2.6,190
2023-05-18,2.6,2.6,2.6,2.6,2.6,190
2023-05-19,2.6,2.6,2.54,2.54,2.54,1801
2023-05-22,2.58,2.58,2.58,2.58,2.58,333
2023-05-23,2.54,2.64,2.46,2.46,2.46,5844
2023-05-24,2.56,2.56,2.56,2.56,2.56,428
2023-05-25,2.5,2.62,2.5,2.62,2.62,3910
2023-05-26,2.54,2.54,2.54,2.54,2.54,546
2023-05-29,2.58,2.6,2.5,2.52,2.52,6177
2023-05-30,2.52,2.56,2.52,2.56,2.56,2000
2023-05-31,2.56,2.6,2.44,2.48,2.48,10154
2023-06-01,2.54,2.62,2.5,2.62,2.62,7366
2023-06-02,2.56,2.66,2.48,2.6,2.6,7678
2023-06-05,2.6,2.6,2.6,2.6,2.6,1099
2023-06-06,2.62,2.8,2.62,2.72,2.72,11440
2023-06-07,2.78,2.9,2.76,2.88,2.88,9542
2023-06-09,2.88,2.88,2.84,2.84,2.84,3124
2023-06-12,2.84,2.98,2.72,2.98,2.98,11383
2023-06-13,2.96,2.98,2.96,2.98,2.98,4034
2023-06-14,2.96,3.14,2.82,2.94,2.94,15719
2023-06-15,3.0,3.0,3.0,3.0,3.0,2284
2023-06-16,2.88,3.0,2.88,3.0,3.0,8042
2023-06-19,2.98,2.98,2.98,2.98,2.98,1411
2023-06-20,2.98,3.0,2.98,3.0,3.0,1906
2023-06-21,3.0,3.0,3.0,3.0,3.0,2405
2023-06-22,3.0,3.0,3.0,3.0,3.0,1382
2023-06-23,3.0,3.0,3.0,3.0,3.0,1394
2023-06-26,3.0,3.0,2.9,2.9,2.9,3946
2023-06-27,2.9,2.9,2.9,2.9,2.9,3946
2023-06-28,2.9,2.9,2.9,2.9,2.9,3946
2023-06-29,2.94,2.94,2.94,2.94,2.94,1403
2023-06-30,2.98,3.0,2.98,3.0,3.0,1294
2023-07-03,3.0,3.0,2.94,2.94,2.94,3678
2023-07-04,2.94,3.16,2.9,3.08,3.08,6648
2023-07-05,3.08,3.08,2.98,2.98,2.98,1637
2023-07-06,2.98,2.98,2.98,2.98,2.98,1637
2023-07-07,3.0,3.0,3.0,3.0,3.0,925
2023-07-10,3.0,3.0,3.0,3.0,3.0,868
2023-07-11,3.0,3.0,3.0,3.0,3.0,736
2023-07-12,3.0,3.0,2.92,2.92,2.92,3697
2023-07-13,2.92,2.92,2.92,2.92,2.92,545
2023-07-14,2.92,2.92,2.92,2.92,2.92,523
2023-07-17,2.92,2.92,2.92,2.92,2.92,523
2023-07-18,2.9,2.9,2.9,2.9,2.9,412
2023-07-19,2.94,2.94,2.9,2.94,2.94,994
2023-07-20,2.94,2.94,2.94,2.94,2.94,376
2023-07-21,2.94,2.94,2.94,2.94,2.94,378
2023-07-24,2.94,2.94,2.94,2.94,2.94,350
2023-07-25,2.94,2.94,2.94,2.94,2.94,305
2023-07-26,2.94,2.94,2.94,2.94,2.94,309
2023-07-27,2.94,2.94,2.94,2.94,2.94,313
2023-07-28,2.94,2.94,2.94,2.94,2.94,299
2023-07-31,2.94,2.94,2.94,2.94,2.94,287
2023-08-01,2.94,2.94,2.82,2.82,2.82,3365
2023-08-02,2.82,2.82,2.82,2.82,2.82,203
2023-08-03,2.82,2.82,2.82,2.82,2.82,186
2023-08-04,2.82,2.98,2.8,2.94,2.94,26434
2023-08-07,3.0,3.16,2.92,2.92,2.92,10791
2023-08-08,2.9,2.9,2.86,2.86,2.86,1211
2023-08-09,2.86,2.94,2.8,2.94,2.94,8101
2023-08-10,2.94,2.94,2.94,2.94,2.94,1137
2023-08-11,2.96,3.54,2.96,3.54,3.54,20692
2023-08-14,4.46,4.46,3.8,3.8,3.8,30616
2023-08-16,3.68,4.44,3.32,4.0,4.0,13928
2023-08-17,3.9,4.08,3.6,4.0,4.0,7973
2023-08-18,4.06,4.36,4.0,4.36,4.36,16541
2023-08-21,4.12,4.12,3.66,3.98,3.98,15293
2023-08-22,3.98,3.98,3.68,3.9,3.9,6944
2023-08-23,3.78,3.78,3.44,3.48,3.48,3740
2023-08-24,3.48,3.48,3.48,3.48,3.48,903
2023-08-25,3.48,3.48,3.48,3.48,3.48,903
2023-08-28,3.46,3.48,3.46,3.48,3.48,275
2023-08-29,3.48,3.48,3.48,3.48,3.48,275
2023-08-30,3.58,3.58,3.58,3.58,3.58,4
2023-08-31,3.46,3.46,3.44,3.44,3.44,2491
