Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-04,0.78,0.835,0.765,0.83,0.83,480236
2022-05-05,0.845,0.88,0.785,0.805,0.805,940916
2022-05-06,0.8,0.82,0.76,0.79,0.79,469560
2022-05-09,0.79,0.79,0.79,0.79,0.79,469560
2022-05-10,0.79,0.79,0.79,0.79,0.79,469560
2022-05-11,0.79,0.79,0.79,0.79,0.79,469560
2022-05-12,0.79,0.79,0.79,0.79,0.79,469560
2022-05-13,0.79,0.79,0.79,0.79,0.79,469560
2022-05-16,0.79,0.79,0.79,0.79,0.79,0
2022-05-17,0.79,0.79,0.79,0.79,0.79,0
2022-05-18,0.79,0.79,0.79,0.79,0.79,0
2022-05-20,7.2,7.95,7.15,7.5,7.5,93612
2022-05-23,7.4,7.4,6.85,6.9,6.9,53881
2022-05-24,6.75,7.0,6.3,6.4,6.4,82407
2022-05-25,6.5,6.6,6.1,6.35,6.35,34077
2022-05-26,6.45,7.0,6.4,6.8,6.8,59633
2022-05-27,6.85,7.1,6.8,6.9,6.9,36279
2022-05-30,7.05,7.3,6.9,7.1,7.1,34518
2022-05-31,7.1,7.2,6.85,7.0,7.0,22328
2022-06-01,6.85,7.0,6.7,6.95,6.95,13116
2022-06-02,6.9,7.0,6.8,7.0,7.0,6331
2022-06-03,6.95,6.95,6.75,6.85,6.85,10948
2022-06-06,7.0,7.0,6.65,6.7,6.7,15163
2022-06-07,6.7,6.7,6.6,6.7,6.7,4942
2022-06-08,6.7,7.0,6.7,6.75,6.75,20730
2022-06-09,6.85,6.85,6.6,6.65,6.65,4605
2022-06-10,6.8,6.85,6.6,6.7,6.7,7120
2022-06-13,6.7,6.7,6.2,6.4,6.4,22792
2022-06-14,6.5,6.8,6.5,6.6,6.6,18280
2022-06-15,6.6,6.8,6.6,6.65,6.65,2780
2022-06-17,6.65,6.65,6.5,6.6,6.6,3091
2022-06-20,6.7,7.0,6.6,6.9,6.9,30500
2022-06-21,7.0,7.0,6.8,6.8,6.8,7366
2022-06-22,6.8,6.85,6.75,6.75,6.75,4339
2022-06-23,6.8,6.8,6.6,6.65,6.65,6758
2022-06-24,6.65,6.75,6.6,6.65,6.65,4436
2022-06-27,6.65,6.75,6.35,6.7,6.7,30525
2022-06-28,6.7,6.7,6.55,6.55,6.55,9486
2022-06-29,6.6,6.6,6.4,6.6,6.6,13893
2022-06-30,6.5,6.65,6.1,6.3,6.3,27098
2022-07-01,6.35,6.6,6.25,6.25,6.25,19928
2022-07-04,6.4,6.4,6.0,6.15,6.15,18163
2022-07-05,6.15,6.15,5.8,6.0,6.0,14392
2022-07-06,6.0,6.0,5.7,5.85,5.85,34303
2022-07-07,5.75,6.2,5.75,6.1,6.1,14154
2022-07-08,6.1,6.2,5.9,6.1,6.1,11162
2022-07-11,6.1,6.5,5.9,6.25,6.25,32711
2022-07-12,6.45,6.5,6.25,6.3,6.3,9276
2022-07-13,6.4,6.4,6.1,6.15,6.15,19747
2022-07-14,6.2,6.4,6.1,6.15,6.15,5618
2022-07-15,6.3,6.3,6.05,6.2,6.2,14068
2022-07-18,6.1,6.25,5.95,6.15,6.15,24559
2022-07-19,6.2,6.2,6.05,6.05,6.05,5958
2022-07-20,6.1,6.45,6.05,6.45,6.45,25933
2022-07-21,6.45,6.65,6.25,6.35,6.35,23132
2022-07-22,6.45,6.45,6.2,6.3,6.3,8990
2022-07-25,6.3,6.4,6.15,6.2,6.2,10495
2022-07-26,6.35,6.35,6.05,6.2,6.2,24331
2022-07-27,6.25,6.3,6.15,6.15,6.15,6864
2022-07-28,6.3,7.25,6.25,6.9,6.9,137669
2022-07-29,6.9,7.2,6.7,6.7,6.7,60645
2022-08-01,6.8,7.7,6.8,7.3,7.3,111230
2022-08-02,7.4,8.45,7.3,8.0,8.0,111719
2022-08-03,8.2,8.35,7.9,8.15,8.15,43377
2022-08-04,8.3,8.6,7.55,7.75,7.75,82419
2022-08-05,7.7,7.75,7.25,7.35,7.35,26679
2022-08-08,7.5,7.55,7.25,7.4,7.4,13959
2022-08-09,7.4,7.8,7.2,7.6,7.6,32296
2022-08-10,7.7,7.85,7.65,7.7,7.7,17585
2022-08-11,7.7,7.8,7.55,7.6,7.6,14262
2022-08-12,7.75,7.85,7.6,7.75,7.75,23118
2022-08-16,8.0,8.2,7.55,7.7,7.7,50372
2022-08-17,7.75,7.9,7.6,7.7,7.7,16564
2022-08-18,7.7,7.7,7.4,7.5,7.5,13793
2022-08-19,7.5,7.7,7.4,7.7,7.7,12844
2022-08-22,7.6,7.95,7.45,7.55,7.55,25798
2022-08-23,7.5,7.5,6.85,7.0,7.0,93926
2022-08-24,7.0,7.05,6.45,6.7,6.7,62953
2022-08-25,6.7,6.8,6.5,6.7,6.7,21854
2022-08-26,6.6,6.9,6.55,6.8,6.8,17207
2022-08-29,6.45,6.7,6.45,6.45,6.45,12877
2022-08-30,6.6,6.75,6.15,6.5,6.5,46565
2022-08-31,6.4,6.75,6.2,6.75,6.75,34808
2022-09-01,6.75,6.75,6.5,6.7,6.7,14347
2022-09-02,6.35,6.4,5.75,5.95,5.95,178769
2022-09-05,5.95,6.05,5.4,5.55,5.55,130507
2022-09-06,5.3,5.45,4.88,4.96,4.96,161228
2022-09-07,4.8,4.86,4.42,4.5,4.5,181806
2022-09-08,4.28,4.94,4.16,4.86,4.86,214511
2022-09-09,4.88,4.96,4.56,4.64,4.64,106870
2022-09-12,4.64,4.8,4.44,4.5,4.5,95889
2022-09-13,4.54,4.9,4.46,4.76,4.76,63991
2022-09-14,4.68,4.74,4.56,4.7,4.7,32051
2022-09-15,4.64,4.74,4.62,4.62,4.62,18860
2022-09-16,4.6,4.68,4.16,4.46,4.46,65891
