Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-14,653,674,646,658,51,68,7,1
2022-11-15,660,662,642,655,51,68,7,1
2022-11-16,655,656,632,639,51,68,7,1
2022-11-17,628,645,620,636,51,68,7,1
2022-11-18,636,652,636,652,51,68,7,1
2022-11-21,649,660,633,660,51,68,7,1
2022-11-22,650,662,647,650,51,68,7,1
2022-11-23,648,664,647,660,51,68,7,1
2022-11-24,660,664,615,649,51,68,7,1
2022-11-25,650,655,644,650,51,68,7,1
2022-11-28,656,659,644,655,51,68,7,1
2022-11-29,658,658,643,655,51,68,7,1
2022-11-30,655,678,650,678,51,68,7,1
2022-12-01,690,710,683,708,51,68,7,1
2022-12-02,708,710,695,705,51,68,7,1
2022-12-05,708,734,705,715,51,68,7,1
2022-12-06,716,720,692,700,51,68,7,1
2022-12-07,699,700,690,699,51,68,7,1
2022-12-08,699,700,693,698,51,68,7,1
2022-12-09,700,707,691,702,51,68,7,1
2022-12-12,704,705,690,702,51,68,7,1
2022-12-13,700,729,694,722,51,68,7,1
2022-12-14,729,730,720,722,51,68,7,1
2022-12-15,715,726,700,700,51,68,7,1
2022-12-16,700,700,692,699,51,68,7,1
2022-12-19,698,698,680,696,51,68,7,1
2022-12-20,696,719,686,719,51,68,7,1
2022-12-21,705,719,701,704,51,68,7,1
2022-12-22,701,706,681,685,51,68,7,1
2022-12-23,686,697,685,690,51,68,7,1
2022-12-27,683,690,679,686,51,68,7,1
2022-12-28,685,690,679,686,51,68,7,1
2022-12-29,690,694,666,690,51,68,7,1
2022-12-30,681,700,681,700,51,68,7,1
2023-01-02,694,710,672,686,51,68,7,1
2023-01-03,686,698,686,698,51,68,7,1
2023-01-04,699,723,685,723,51,68,7,1
2023-01-05,713,718,704,715,51,68,7,1
2023-01-09,719,744,717,744,51,68,7,1
2023-01-10,744,791,725,790,51,68,7,1
2023-01-11,795,799,762,785,51,68,7,1
2023-01-12,785,800,776,780,51,68,7,1
2023-01-13,789,798,785,798,51,68,7,1
2023-01-16,799,802,790,795,51,68,7,1
2023-01-17,790,790,760,762,51,68,7,1
2023-01-18,765,774,744,774,51,68,7,1
2023-01-19,769,779,760,776,51,68,7,1
2023-01-20,778,810,771,804,51,68,7,1
2023-01-23,807,834,791,817,51,68,7,1
2023-01-24,803,810,776,785,51,68,7,1
2023-01-25,776,818,770,814,51,68,7,1
2023-01-26,816,816,793,800,51,68,7,1
2023-01-27,798,819,798,819,51,68,7,1
2023-01-30,824,839,822,835,51,68,7,1
2023-01-31,835,848,800,848,51,68,7,1
2023-02-01,845,845,811,814,51,68,7,1
2023-02-02,820,828,801,825,51,68,7,1
2023-02-03,824,834,820,827,51,68,7,1
2023-02-06,823,830,810,815,51,68,7,1
2023-02-07,811,814,792,798,51,68,7,1
2023-02-08,800,805,793,793,51,68,7,1
2023-02-09,800,806,791,800,51,68,7,1
2023-02-10,795,795,780,785,51,68,7,1
2023-02-13,783,794,747,761,51,68,7,1
2023-02-14,770,782,767,770,51,68,7,1
2023-02-15,771,788,771,786,51,68,7,1
2023-02-16,794,795,770,795,51,68,7,1
2023-02-17,798,799,787,799,51,68,7,1
2023-02-20,790,798,776,798,51,68,7,1
2023-02-21,790,796,780,795,51,68,7,1
2023-02-22,786,794,771,794,51,68,7,1
2023-02-23,790,794,782,794,51,68,7,1
2023-02-24,796,800,791,797,51,68,7,1
2023-02-27,799,819,788,810,51,68,7,1
2023-02-28,809,819,788,809,51,68,7,1
2023-03-01,811,812,801,810,51,68,7,1
2023-03-02,810,813,800,813,51,68,7,1
2023-03-03,814,816,800,808,51,68,7,1
2023-03-06,794,809,794,802,51,68,7,1
2023-03-07,802,818,802,810,51,68,7,1
2023-03-08,810,815,803,815,51,68,7,1
2023-03-09,817,844,810,835,51,68,7,1
2023-03-10,835,840,828,835,51,68,7,1
2023-03-13,835,844,782,804,51,68,7,1
2023-03-14,817,831,814,831,51,68,7,1
2023-03-15,828,843,814,830,51,68,7,1
2023-03-16,825,825,806,817,51,68,7,1
2023-03-17,820,825,806,825,51,68,7,1
2023-03-20,839,839,805,820,51,68,7,1
2023-03-21,828,860,810,854,51,68,7,1
2023-03-22,857,879,849,879,51,68,7,1
2023-03-23,870,878,853,869,51,68,7,1
2023-03-24,870,870,842,867,51,68,7,1
2023-03-27,848,869,837,845,51,68,7,1
2023-03-28,845,868,825,839,51,68,7,1
2023-03-29,830,835,821,824,51,68,7,1
2023-03-30,821,833,812,831,51,68,7,1
2023-03-31,826,839,824,826,51,68,7,1
2023-04-03,834,870,832,851,51,68,7,1
2023-04-04,852,870,848,869,51,68,7,1
2023-04-05,860,871,850,850,51,68,7,1
2023-04-06,849,858,842,850,51,68,7,1
2023-04-11,850,851,836,850,51,68,7,1
2023-04-12,843,848,831,840,51,68,7,1
2023-04-13,836,852,830,850,51,68,7,1
2023-04-14,852,885,842,884,51,68,7,1
2023-04-17,880,880,848,864,51,68,7,1
2023-04-18,868,880,862,879,51,68,7,1
2023-04-19,879,888,840,888,51,68,7,1
2023-04-20,900,930,888,898,51,68,7,1
2023-04-21,885,885,848,865,51,68,7,1
2023-04-24,864,864,849,851,51,68,7,1
2023-04-25,860,860,820,826,51,68,7,1
2023-04-26,828,846,807,818,51,68,7,1
2023-04-27,834,834,809,826,51,68,7,1
2023-04-28,836,848,821,833,51,68,7,1
2023-05-02,825,825,797,806,51,68,7,1
2023-05-04,801,801,758,782,51,68,7,1
2023-05-05,782,796,762,782,51,68,7,1
