Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-13,35.52,36.14,35.34,35.76,35.76,39781
2022-12-14,35.78,35.78,35.42,35.58,35.58,26488
2022-12-15,35.7,35.76,34.9,35.0,35.0,54089
2022-12-16,34.9,35.12,34.24,34.24,34.24,127421
2022-12-19,34.5,35.4,34.44,35.4,35.4,44256
2022-12-20,35.44,35.74,35.3,35.5,35.5,38898
2022-12-21,35.5,35.8,35.5,35.52,35.52,42418
2022-12-22,35.52,36.0,35.4,35.62,35.62,52315
2022-12-23,35.6,35.72,35.06,35.14,35.14,34728
2022-12-27,35.22,35.34,34.4,34.4,34.4,54119
2022-12-28,34.4,34.76,34.22,34.5,34.5,82482
2022-12-29,34.5,35.48,34.5,35.1,35.1,56000
2022-12-30,34.98,35.68,34.9,35.52,35.52,120391
2023-01-02,35.68,36.14,35.42,35.8,35.8,46371
2023-01-03,35.8,36.5,35.62,36.28,36.28,66675
2023-01-04,36.34,36.62,36.2,36.26,36.26,61925
2023-01-05,36.3,37.0,36.06,36.8,36.8,65451
2023-01-09,36.86,37.2,36.64,37.0,37.0,46600
2023-01-10,37.0,37.78,36.9,37.7,37.7,86346
2023-01-11,37.68,37.68,37.02,37.02,37.02,63766
2023-01-12,37.02,37.9,37.02,37.6,37.6,69476
2023-01-13,37.88,37.88,37.0,37.04,37.04,89926
2023-01-16,37.2,37.54,36.84,36.88,36.88,36148
2023-01-17,36.84,37.08,36.5,36.6,36.6,37285
2023-01-18,36.74,36.8,36.2,36.22,36.22,110495
2023-01-19,36.26,36.8,36.18,36.76,36.76,65175
2023-01-20,36.88,36.88,36.54,36.62,36.62,28159
2023-01-23,36.5,37.0,36.5,36.94,36.94,24827
2023-01-24,37.0,37.6,36.82,37.0,37.0,51929
2023-01-25,37.0,37.0,36.52,37.0,37.0,59488
2023-01-26,37.0,37.3,36.58,36.78,36.78,28027
2023-01-27,36.96,36.96,36.58,36.7,36.7,32056
2023-01-30,36.78,36.78,36.28,36.28,36.28,49841
2023-01-31,36.28,37.7,36.24,37.68,37.68,84540
2023-02-01,37.68,37.68,36.8,37.0,37.0,60782
2023-02-02,37.3,37.8,37.04,37.58,37.58,71602
2023-02-03,37.7,39.42,37.42,38.5,38.5,206470
2023-02-06,38.5,38.6,37.3,37.8,37.8,72156
2023-02-07,37.54,37.78,37.2,37.7,37.7,94003
2023-02-08,37.7,38.14,37.6,37.7,37.7,52260
2023-02-09,37.8,38.48,37.72,37.72,37.72,57908
2023-02-10,37.8,37.92,37.18,37.6,37.6,31026
2023-02-13,37.84,37.84,37.5,37.68,37.68,20192
2023-02-14,37.8,38.04,37.2,37.38,37.38,34190
2023-02-15,37.5,37.5,36.82,36.82,36.82,54405
2023-02-16,36.88,37.62,36.88,37.46,37.46,34735
2023-02-17,37.04,37.24,36.9,36.9,36.9,22265
2023-02-20,37.16,37.34,36.8,36.8,36.8,29337
2023-02-21,36.78,36.94,36.68,36.72,36.72,20255
2023-02-22,36.7,36.78,36.3,36.3,36.3,44510
2023-02-23,36.8,37.14,36.6,36.7,36.7,16892
2023-02-24,36.8,37.18,36.72,37.1,37.1,19138
2023-02-27,37.12,37.18,36.82,36.98,36.98,13266
2023-02-28,36.96,37.2,36.8,37.12,37.12,35442
2023-03-01,37.2,37.62,37.16,37.62,37.62,24143
2023-03-02,37.64,37.7,37.14,37.7,37.7,24238
2023-03-03,37.4,37.52,37.2,37.42,37.42,24875
2023-03-06,37.4,37.86,37.16,37.8,37.8,36312
2023-03-07,37.5,37.86,37.5,37.82,37.82,17650
2023-03-08,37.56,37.88,37.22,37.22,37.22,19893
2023-03-09,37.6,37.78,37.46,37.72,37.72,16442
2023-03-10,37.76,37.76,37.1,37.56,37.56,40398
2023-03-13,37.1,37.46,36.5,37.1,37.1,51104
2023-03-14,37.0,37.2,36.66,36.9,36.9,18232
2023-03-15,36.9,36.98,35.8,35.86,35.86,58902
2023-03-16,36.0,36.38,35.88,36.3,36.3,21281
2023-03-17,37.0,37.0,35.76,35.8,35.8,64839
2023-03-20,35.8,36.16,35.4,35.8,35.8,37493
2023-03-21,36.2,36.82,36.2,36.52,36.52,39025
2023-03-22,36.8,36.8,36.42,36.5,36.5,22874
2023-03-23,36.8,36.8,36.2,36.4,36.4,27960
2023-03-24,36.2,36.2,35.62,35.68,35.68,30041
2023-03-27,36.0,36.12,35.68,35.96,35.96,20132
2023-03-28,35.8,36.0,35.64,35.7,35.7,19358
2023-03-29,35.96,35.96,35.7,35.7,35.7,23721
2023-03-30,35.7,35.98,35.64,35.66,35.66,60382
2023-03-31,35.7,36.0,35.66,35.94,35.94,40246
2023-04-03,35.94,36.12,35.32,35.54,35.54,78021
2023-04-04,35.7,35.8,35.64,35.68,35.68,51300
