Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-15,6.61,6.8,6.3,6.35,6.35,505427
2023-03-16,6.35,6.63,6.21,6.3,6.3,249452
2023-03-17,6.4,6.69,6.4,6.5,6.5,206772
2023-03-20,6.49,6.5,6.26,6.44,6.44,139169
2023-03-21,6.42,6.43,6.19,6.34,6.34,101819
2023-03-22,6.32,6.63,6.25,6.62,6.62,137055
2023-03-23,6.6,6.9,6.6,6.86,6.86,285325
2023-03-24,6.9,6.94,6.62,6.79,6.79,164525
2023-03-27,6.76,6.9,6.7,6.76,6.76,144314
2023-03-28,6.76,7.19,6.7,7.18,7.18,522158
2023-03-29,7.2,7.38,7.07,7.21,7.21,215160
2023-03-30,7.21,7.4,6.8,6.85,6.85,982395
2023-03-31,6.86,7.39,6.8,7.28,7.28,524543
2023-04-03,7.27,7.52,7.25,7.28,7.28,301530
2023-04-04,7.28,7.39,7.01,7.27,7.27,230730
2023-04-05,7.28,7.42,7.1,7.12,7.12,104570
2023-04-06,7.26,7.26,7.03,7.25,7.25,170733
2023-04-11,7.27,7.75,7.25,7.7,7.7,513398
2023-04-12,7.7,7.76,7.55,7.69,7.69,179978
2023-04-13,7.68,7.83,7.6,7.72,7.72,202442
2023-04-14,7.82,7.83,7.57,7.7,7.7,346133
2023-04-17,7.7,7.77,7.53,7.72,7.72,141099
2023-04-18,7.72,7.77,7.53,7.53,7.53,124402
2023-04-19,7.53,7.66,7.4,7.53,7.53,218879
2023-04-20,7.47,7.58,7.3,7.56,7.56,287594
2023-04-21,7.6,7.94,7.43,7.93,7.93,281889
2023-04-24,7.94,8.12,7.85,8.04,8.04,361095
2023-04-25,8.05,8.05,7.82,7.9,7.9,207155
2023-04-26,7.86,7.93,7.71,7.82,7.82,163164
2023-04-27,7.8,8.25,7.68,8.19,8.19,590935
2023-04-28,8.19,8.36,8.1,8.28,8.28,309191
2023-05-02,8.34,8.74,8.34,8.6,8.6,276196
2023-05-04,8.64,8.94,8.5,8.76,8.76,294784
2023-05-05,8.76,8.82,8.66,8.8,8.8,76165
2023-05-08,8.78,8.78,8.39,8.48,8.48,326931
2023-05-09,8.48,8.59,8.07,8.3,8.3,455796
2023-05-10,8.35,8.59,8.35,8.49,8.49,222207
2023-05-11,8.49,8.53,8.07,8.2,8.2,179232
2023-05-12,8.2,8.2,7.55,7.89,7.89,424209
2023-05-15,7.89,7.9,7.55,7.84,7.84,416811
2023-05-16,7.88,8.1,7.84,8.08,8.08,189450
2023-05-17,8.09,8.25,7.58,7.8,7.8,335515
2023-05-18,7.8,7.99,7.8,7.88,7.88,156124
2023-05-19,7.8,7.99,7.57,7.85,7.85,201217
2023-05-22,7.84,7.84,7.56,7.69,7.69,194267
2023-05-23,7.59,7.67,7.07,7.09,7.09,490452
2023-05-24,6.97,7.64,6.61,7.5,7.5,1222710
2023-05-25,7.5,7.79,7.42,7.52,7.52,345677
2023-05-26,7.59,7.6,7.37,7.51,7.51,137770
2023-05-29,7.46,7.56,7.09,7.1,7.1,318892
2023-05-30,7.12,7.43,6.91,7.37,7.37,331787
2023-05-31,7.34,7.34,6.97,6.97,6.97,153442
2023-06-01,6.97,7.29,6.97,7.24,7.24,151023
2023-06-02,7.28,7.54,7.24,7.48,7.48,260326
2023-06-05,7.55,7.55,7.27,7.39,7.39,155106
2023-06-06,7.39,7.39,7.13,7.14,7.14,432199
2023-06-07,7.1,7.2,7.0,7.14,7.14,185586
2023-06-09,7.2,7.23,7.05,7.12,7.12,122657
2023-06-12,7.15,7.15,6.85,6.85,6.85,263110
2023-06-13,6.86,6.96,6.82,6.93,6.93,144565
2023-06-14,6.92,7.11,6.92,7.02,7.02,115162
2023-06-15,7.05,7.05,6.87,6.9,6.9,79568
2023-06-16,6.93,7.23,6.93,7.22,7.22,208668
2023-06-19,7.21,7.35,7.15,7.2,7.2,149573
2023-06-20,7.24,7.29,7.05,7.13,7.13,109108
2023-06-21,7.13,7.21,7.05,7.1,7.1,75401
2023-06-22,7.06,7.13,6.98,7.09,7.09,95318
2023-06-23,6.98,7.08,6.86,7.03,7.03,147089
2023-06-26,7.0,7.03,6.8,6.82,6.82,134141
2023-06-27,6.82,6.86,6.57,6.8,6.8,240771
2023-06-28,6.92,7.1,6.88,6.99,6.99,100647
2023-06-29,7.0,7.09,6.92,7.0,7.0,89897
2023-06-30,7.01,7.08,7.0,7.04,7.04,106144
2023-07-03,7.0,7.26,7.0,7.25,7.25,226683
2023-07-04,7.25,7.4,7.15,7.21,7.21,165814
2023-07-05,7.21,7.26,6.96,7.0,7.0,140159
