Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-08,12.0,12.25,12.0,12.1,11.8892,3728
2022-09-09,12.05,12.25,11.75,11.85,11.6436,3433
2022-09-12,11.9,12.25,11.3,12.0,11.7909,12082
2022-09-13,12.0,12.0,11.9,12.0,11.7909,518
2022-09-14,12.0,12.0,11.9,12.0,11.7909,395
2022-09-15,12.0,12.0,12.0,12.0,11.7909,41
2022-09-16,12.0,12.0,11.95,11.95,11.7418,303
2022-09-19,11.9,11.9,11.8,11.9,11.6927,335
2022-09-20,11.95,11.95,11.8,11.8,11.5944,632
2022-09-21,11.9,11.9,11.8,11.8,11.5944,290
2022-09-22,11.75,12.0,11.6,12.0,11.7909,619
2022-09-23,11.9,11.9,11.15,11.5,11.2997,2459
2022-09-26,11.5,11.5,11.0,11.45,11.2505,636
2022-09-27,11.45,11.45,11.45,11.45,11.2505,89
2022-09-28,11.25,11.35,11.1,11.3,11.1031,633
2022-09-29,11.05,11.05,10.05,10.5,10.3171,7570
2022-09-30,10.2,10.85,9.62,10.0,9.8258,9020
2022-10-03,10.0,10.5,10.0,10.4,10.2188,2378
2022-10-04,10.0,10.25,10.0,10.15,9.9732,422
2022-10-05,10.0,10.4,10.0,10.1,9.924,141
2022-10-06,10.2,10.4,10.2,10.4,10.2188,121
2022-10-07,10.35,10.4,10.2,10.2,10.0223,379
2022-10-10,10.2,10.4,10.2,10.3,10.1206,729
2022-10-11,10.4,10.4,10.1,10.1,9.924,1111
2022-10-12,10.15,10.4,10.1,10.3,10.1206,2124
2022-10-13,10.3,10.4,10.0,10.05,9.8749,2996
2022-10-14,10.2,10.5,10.2,10.5,10.3171,215
2022-10-17,10.5,10.5,10.2,10.2,10.0223,125
2022-10-18,10.4,10.5,10.25,10.5,10.3171,1279
2022-10-19,10.5,10.5,10.15,10.15,9.9732,1343
2022-10-20,10.45,10.45,10.45,10.45,10.2679,250
2022-10-21,10.45,10.45,10.45,10.45,10.2679,364
2022-10-24,10.25,10.4,10.05,10.4,10.2188,322
2022-10-25,10.45,10.45,10.2,10.45,10.2679,11527
2022-10-26,10.45,10.45,10.45,10.45,10.2679,3108
2022-10-27,10.45,10.45,10.3,10.3,10.1206,1279
2022-10-28,10.35,10.4,10.25,10.4,10.2188,1900
2022-10-31,10.4,10.4,10.0,10.3,10.1206,2415
2022-11-02,10.3,10.5,10.0,10.4,10.2188,2142
2022-11-03,10.35,10.35,10.3,10.3,10.1206,687
2022-11-04,10.5,10.85,10.5,10.85,10.661,2250
2022-11-07,10.9,11.0,10.9,11.0,10.8084,861
2022-11-08,10.9,11.3,10.9,11.2,11.0049,4683
2022-11-09,11.1,11.25,10.95,11.0,10.8084,4937
2022-11-10,10.9,11.15,10.75,11.15,10.9557,2061
2022-11-14,11.1,11.15,10.8,11.15,10.9557,1532
2022-11-15,11.0,11.0,11.0,11.0,10.8084,1532
2022-11-16,10.75,11.0,10.75,11.0,10.8084,738
2022-11-17,11.0,11.2,11.0,11.15,10.9557,2152
2022-11-18,11.05,11.15,11.05,11.15,10.9557,103
2022-11-21,11.15,11.25,11.15,11.25,11.054,530
2022-11-22,11.0,11.0,10.65,11.0,10.8084,2324
2022-11-23,10.6,10.75,10.5,10.75,10.5627,1603
2022-11-24,10.75,10.75,10.4,10.5,10.3171,2013
2022-11-25,10.5,10.5,10.4,10.5,10.3171,1378
2022-11-28,10.35,10.4,10.3,10.4,10.2188,333
2022-11-29,10.4,10.4,10.3,10.4,10.2188,1210
2022-11-30,10.3,10.35,10.1,10.35,10.1697,2443
2022-12-01,10.2,10.25,10.1,10.1,9.924,1955
2022-12-02,10.25,10.25,10.05,10.2,10.0223,1221
2022-12-05,10.2,10.5,10.2,10.5,10.3171,7380
2022-12-06,10.5,11.3,10.5,10.95,10.7592,5814
2022-12-07,11.2,11.2,10.8,11.1,10.9066,937
2022-12-08,11.1,11.1,10.75,10.75,10.5627,1691
2022-12-09,10.8,11.15,10.8,11.15,10.9557,1593
2022-12-12,11.15,12.25,10.2,11.2,11.0049,24690
2022-12-13,11.0,12.35,11.0,11.95,11.7418,9179
2022-12-14,11.6,11.9,11.6,11.6,11.3979,695
2022-12-15,11.6,11.6,11.5,11.5,11.2997,1534
