Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-14,13.76,14.46,13.62,13.98,13.98,3580
2022-11-15,13.98,13.98,13.5,13.88,13.88,1527
2022-11-16,13.42,13.8,13.4,13.48,13.48,2153
2022-11-17,13.44,13.44,12.1,12.6,12.6,32554
2022-11-18,12.78,12.9,12.22,12.3,12.3,1994
2022-11-21,12.3,12.56,12.3,12.32,12.32,1501
2022-11-22,12.54,12.84,12.34,12.34,12.34,2144
2022-11-23,12.82,12.96,12.0,12.0,12.0,4457
2022-11-24,12.0,12.9,11.3,12.3,12.3,8166
2022-11-25,12.22,12.22,11.46,11.82,11.82,5525
2022-11-28,12.0,12.2,11.8,11.8,11.8,10286
2022-11-29,12.48,12.68,11.8,11.82,11.82,14431
2022-11-30,11.8,12.26,11.8,12.16,12.16,1472
2022-12-01,12.14,12.84,11.9,12.82,12.82,7728
2022-12-02,12.2,13.4,12.2,13.4,13.4,6845
2022-12-05,13.1,13.1,12.8,13.1,13.1,5309
2022-12-06,13.0,13.3,12.82,13.1,13.1,1207
2022-12-07,13.0,13.0,12.8,12.9,12.9,2618
2022-12-08,13.06,13.06,12.84,13.0,13.0,1600
2022-12-09,13.02,13.2,13.0,13.16,13.16,360
2022-12-12,13.38,13.4,13.0,13.2,13.2,2685
2022-12-13,13.22,13.26,12.84,13.26,13.26,1367
2022-12-14,12.86,13.26,12.86,13.12,13.12,4207
2022-12-15,13.12,13.28,12.9,12.9,12.9,4220
2022-12-16,12.9,13.0,12.2,12.46,12.46,9980
2022-12-19,12.46,13.0,12.2,12.7,12.7,5105
2022-12-20,12.98,13.0,12.5,12.6,12.6,6441
2022-12-21,12.88,13.0,12.6,12.8,12.8,1765
2022-12-22,12.54,12.54,12.26,12.5,12.5,5967
2022-12-23,12.44,12.6,12.22,12.4,12.4,6308
2022-12-27,12.5,12.98,12.1,12.98,12.98,5867
2022-12-28,12.66,13.7,12.5,13.3,13.3,11950
2022-12-29,13.18,14.38,13.1,14.0,14.0,7118
2022-12-30,14.0,14.26,13.3,13.94,13.94,8187
2023-01-02,13.94,14.58,13.9,14.36,14.36,6228
2023-01-03,14.2,14.48,14.2,14.4,14.4,7849
2023-01-04,14.22,14.5,14.0,14.5,14.5,7174
2023-01-05,14.38,14.38,13.62,14.1,14.1,6263
2023-01-09,14.12,14.2,13.88,14.2,14.2,1211
2023-01-10,14.22,14.44,14.02,14.44,14.44,10648
2023-01-11,14.88,17.5,14.44,16.0,16.0,36568
2023-01-12,16.42,17.06,16.2,16.68,16.68,12745
2023-01-13,16.7,16.98,15.72,16.14,16.14,8021
2023-01-16,16.16,17.0,15.84,16.72,16.72,10553
2023-01-17,16.72,17.72,16.4,17.72,17.72,56377
2023-01-18,18.0,20.8,18.0,19.5,19.5,38398
2023-01-19,19.5,19.96,17.88,18.4,18.4,21405
2023-01-20,18.4,19.5,18.4,19.3,19.3,4027
2023-01-23,19.4,21.0,19.24,20.8,20.8,17171
2023-01-24,20.8,21.25,20.4,21.1,21.1,19690
2023-01-25,20.8,21.25,20.0,20.5,20.5,9307
2023-01-26,20.5,20.6,19.2,19.54,19.54,5705
2023-01-27,19.1,19.2,18.14,18.8,18.8,12220
2023-01-30,18.8,19.9,18.6,19.0,19.0,11281
2023-01-31,19.0,19.84,19.0,19.5,19.5,18857
2023-02-01,19.5,19.78,18.56,18.7,18.7,12465
2023-02-02,18.9,20.0,18.18,18.96,18.96,16706
2023-02-03,18.9,18.9,18.3,18.4,18.4,8607
2023-02-06,18.34,18.7,17.5,18.0,18.0,6637
2023-02-07,18.0,18.0,17.6,17.84,17.84,2471
2023-02-08,17.88,18.66,17.88,18.66,18.66,2096
