Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-20,8.1,8.24,8.1,8.2,8.2,3936
2023-02-21,8.26,8.26,8.12,8.2,8.2,199
2023-02-22,8.08,8.16,8.08,8.12,8.12,836
2023-02-23,8.1,8.16,8.08,8.08,8.08,600
2023-02-24,8.12,8.18,8.1,8.1,8.1,371
2023-02-27,8.18,8.28,8.18,8.28,8.28,4588
2023-02-28,8.28,8.8,8.28,8.72,8.72,11340
2023-03-01,8.8,8.82,8.58,8.58,8.58,7684
2023-03-02,8.56,8.68,8.5,8.68,8.68,1760
2023-03-03,8.68,8.68,8.16,8.34,8.34,13561
2023-03-06,8.44,8.48,8.2,8.44,8.44,3388
2023-03-07,8.48,8.48,8.2,8.38,8.38,2476
2023-03-08,8.12,8.32,8.1,8.26,8.26,2808
2023-03-09,8.36,8.36,8.02,8.1,8.1,5480
2023-03-10,8.18,8.2,7.9,8.14,8.14,8980
2023-03-13,8.1,8.2,7.9,8.0,8.0,3063
2023-03-14,8.02,8.24,7.92,8.0,8.0,1651
2023-03-15,8.2,8.36,7.84,8.0,8.0,6668
2023-03-16,8.0,8.0,7.26,7.68,7.68,10880
2023-03-17,7.54,7.7,7.36,7.6,7.6,9469
2023-03-20,7.44,7.6,7.3,7.52,7.52,7203
2023-03-21,7.52,7.6,7.4,7.4,7.4,4148
2023-03-22,7.5,7.66,7.4,7.4,7.4,5301
2023-03-23,7.32,7.6,7.32,7.38,7.38,3934
2023-03-24,7.5,7.68,7.44,7.48,7.48,4118
2023-03-27,7.6,7.6,7.4,7.4,7.4,2394
2023-03-28,7.4,7.42,7.2,7.32,7.32,6371
2023-03-29,7.38,7.48,7.28,7.34,7.34,4524
2023-03-30,7.46,7.5,7.2,7.5,7.5,11101
2023-03-31,7.26,7.42,7.2,7.3,7.3,11286
2023-04-03,7.32,7.68,7.28,7.38,7.38,24841
2023-04-04,7.42,7.6,7.32,7.5,7.5,5411
2023-04-05,7.58,7.72,7.46,7.72,7.72,10960
2023-04-06,7.72,8.08,7.72,7.92,7.92,9337
2023-04-11,8.0,8.06,7.9,8.06,8.06,9418
2023-04-12,7.94,8.38,7.92,8.32,8.32,9230
2023-04-13,8.36,8.68,8.28,8.58,8.58,13009
2023-04-14,8.58,8.68,8.34,8.58,8.58,7599
2023-04-17,8.7,8.7,8.3,8.5,8.5,8304
2023-04-18,8.4,8.5,8.2,8.4,8.4,7252
2023-04-19,8.4,8.4,8.24,8.28,8.28,2883
2023-04-20,8.28,8.46,8.24,8.36,8.36,14286
2023-04-21,8.38,8.5,8.38,8.48,8.48,3552
2023-04-24,8.4,8.68,8.4,8.48,8.48,6768
2023-04-25,8.66,8.66,8.0,8.36,8.36,45275
2023-04-26,8.64,8.68,8.3,8.52,8.52,22445
2023-04-27,8.66,9.0,8.66,9.0,9.0,44388
2023-04-28,8.92,10.75,8.92,10.6,10.6,169510
2023-05-02,10.85,11.65,10.85,10.85,10.85,55002
2023-05-04,11.0,11.15,10.2,10.3,10.3,42019
2023-05-05,10.45,10.65,9.9,10.2,10.2,16686
