Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-26,28.4,28.4,27.6,27.6,26.3174,4149
2022-10-27,27.6,27.7,27.4,27.6,26.3174,2613
2022-10-28,27.8,28.0,26.8,27.0,25.7453,14630
2022-10-31,27.4,28.4,26.7,27.05,25.7929,96060
2022-11-02,27.0,27.35,26.55,26.6,25.3639,14261
2022-11-03,26.6,26.85,25.8,26.0,24.7917,31349
2022-11-04,26.1,27.0,25.8,26.6,25.3639,34711
2022-11-07,26.9,27.1,26.5,26.7,25.4592,12768
2022-11-08,26.8,26.8,26.4,26.4,25.1731,8051
2022-11-09,26.4,27.2,26.35,26.5,25.2685,8068
2022-11-10,26.7,26.75,26.25,26.75,25.5069,9155
2022-11-14,27.05,27.7,27.0,27.7,26.4127,13924
2022-11-15,27.2,28.35,27.2,27.75,26.4604,7175
2022-11-16,27.35,28.35,27.35,28.0,26.6988,8585
2022-11-17,28.5,29.35,28.4,29.0,27.6523,19069
2022-11-18,29.0,29.25,28.8,29.2,27.843,4974
2022-11-21,29.2,29.5,28.8,29.0,27.6523,13118
2022-11-22,29.0,29.0,28.8,29.0,27.6523,6062
2022-11-23,28.8,29.1,27.5,27.55,26.2697,64323
2022-11-24,27.85,28.1,27.6,28.05,26.7465,42351
2022-11-25,28.1,28.45,27.9,27.95,26.6511,29141
2022-11-28,28.4,28.4,27.55,27.65,26.3651,18656
2022-11-29,28.0,28.0,27.25,27.4,26.1267,33571
2022-11-30,27.65,28.0,27.45,27.8,26.5081,33677
2022-12-01,28.0,28.6,27.6,27.9,26.6034,36205
2022-12-02,28.2,28.25,27.5,27.6,26.3174,32696
2022-12-05,27.85,28.5,27.75,28.4,27.0802,21657
2022-12-06,28.5,28.9,28.2,28.7,27.3663,16590
2022-12-07,28.45,28.6,28.05,28.3,26.9849,17762
2022-12-08,28.3,28.75,28.25,28.6,27.2709,11837
2022-12-09,28.7,28.7,28.1,28.15,26.8418,16372
2022-12-12,28.2,28.6,28.2,28.55,27.2232,28737
2022-12-13,28.6,28.75,28.55,28.6,27.2709,23511
2022-12-14,28.75,29.2,28.7,29.05,27.7,39808
2022-12-15,28.05,28.25,27.9,28.1,28.1,20187
2022-12-16,28.25,28.25,27.25,27.8,27.8,19648
2022-12-19,28.4,28.4,27.8,28.35,28.35,8351
2022-12-20,28.4,28.4,27.9,28.25,28.25,8960
2022-12-21,28.3,28.5,28.1,28.3,28.3,17684
2022-12-22,28.5,28.75,28.4,28.55,28.55,14053
2022-12-23,28.55,28.75,27.8,28.05,28.05,21067
2022-12-27,28.05,28.35,27.8,27.8,27.8,33384
2022-12-28,27.8,28.4,27.6,28.0,28.0,18572
2022-12-29,28.1,28.5,28.1,28.4,28.4,6093
2022-12-30,28.7,29.0,28.6,28.95,28.95,9131
2023-01-02,29.0,29.0,28.2,28.5,28.5,5964
2023-01-03,28.7,28.7,28.0,28.45,28.45,9884
2023-01-04,28.55,28.7,28.1,28.35,28.35,14234
2023-01-05,28.7,29.6,28.35,29.6,29.6,33168
2023-01-09,29.85,31.5,29.85,31.5,31.5,33160
2023-01-10,31.55,32.3,31.55,32.3,32.3,21109
2023-01-11,32.4,32.75,29.45,30.75,30.75,36156
2023-01-12,30.4,31.0,30.2,30.85,30.85,16798
2023-01-13,31.2,31.5,30.9,31.5,31.5,16206
2023-01-16,31.5,32.1,31.2,32.0,32.0,9434
2023-01-17,32.1,32.45,30.95,31.4,31.4,14458
2023-01-18,31.0,31.3,30.8,31.05,31.05,23567
2023-01-19,30.9,31.3,30.3,30.7,30.7,17659
2023-01-20,30.95,31.6,30.5,31.5,31.5,9991
2023-01-23,32.5,32.5,31.9,32.45,32.45,19799
2023-01-24,32.6,33.0,32.1,32.35,32.35,18763
2023-01-25,32.5,32.75,32.25,32.6,32.6,10017
2023-01-26,32.65,33.2,32.65,33.2,33.2,14241
2023-01-27,33.3,33.35,32.85,33.1,33.1,5102
2023-01-30,33.0,33.1,32.6,32.65,32.65,9743
2023-01-31,32.65,33.9,32.65,33.85,33.85,15909
2023-02-01,33.95,35.5,33.75,35.0,35.0,28304
2023-02-02,36.95,36.95,35.0,36.1,36.1,33226
2023-02-03,35.8,35.9,35.3,35.9,35.9,26122
2023-02-06,35.95,36.1,35.3,36.1,36.1,30022
2023-02-07,36.0,36.0,35.7,35.9,35.9,15845
2023-02-08,36.05,36.45,35.9,36.4,36.4,9406
2023-02-09,36.4,36.4,35.9,36.1,36.1,11874
2023-02-10,36.0,36.05,35.5,35.8,35.8,15785
2023-02-13,35.8,35.8,35.0,35.4,35.4,20147
2023-02-14,35.2,35.55,34.85,35.2,35.2,9735
2023-02-15,35.2,35.2,34.8,34.8,34.8,11958
2023-02-16,34.8,35.05,34.7,35.0,35.0,7733
2023-02-17,34.8,35.0,34.8,34.95,34.95,9962
2023-02-20,34.8,35.5,34.8,35.5,35.5,13513
2023-02-21,35.0,35.8,35.0,35.8,35.8,7130
2023-02-22,35.3,35.55,34.2,35.0,35.0,15203
2023-02-23,35.0,35.0,34.7,34.85,34.85,2243
2023-02-24,34.85,35.8,34.75,35.0,35.0,22481
2023-02-27,35.0,36.0,35.0,35.6,35.6,35340
2023-02-28,35.5,36.2,35.4,35.8,35.8,21362
2023-03-01,35.7,36.2,35.3,35.7,35.7,14792
2023-03-02,35.65,35.85,33.95,34.75,34.75,35332
2023-03-03,34.8,34.85,34.2,34.55,34.55,6637
2023-03-06,34.7,34.7,32.7,32.95,32.95,33475
2023-03-07,32.95,32.95,32.2,32.9,32.9,11689
2023-03-08,33.0,33.45,32.65,32.8,32.8,18896
2023-03-09,33.1,34.35,33.1,34.0,34.0,28019
2023-03-10,33.9,34.35,33.6,34.0,34.0,14583
2023-03-13,34.0,34.0,33.25,34.0,34.0,16265
2023-03-14,34.0,34.45,33.6,34.45,34.45,7526
2023-03-15,34.1,34.5,33.2,34.1,34.1,18804
2023-03-16,33.55,34.9,33.55,34.9,34.9,37159
2023-03-17,34.9,35.85,34.9,35.65,35.65,27490
2023-03-20,35.65,38.5,35.25,38.5,38.5,106480
2023-03-21,38.0,38.5,37.2,37.9,37.9,94079
2023-03-22,38.0,38.3,37.3,37.3,37.3,27943
2023-03-23,37.3,37.85,37.25,37.8,37.8,12167
2023-03-24,37.8,37.95,36.75,37.95,37.95,22639
2023-03-27,49.8,49.8,48.15,48.7,48.7,462696
2023-03-28,48.7,48.7,48.05,48.65,48.65,152440
2023-03-29,48.5,48.8,48.2,48.75,48.75,247172
2023-03-30,48.6,48.8,48.6,48.7,48.7,128507
2023-03-31,48.7,49.2,48.7,49.2,49.2,220337
2023-04-03,49.0,49.2,48.9,49.0,49.0,34269
2023-04-04,48.9,48.9,48.7,48.8,48.8,48412
2023-04-05,48.75,48.8,48.7,48.75,48.75,52183
2023-04-06,48.7,48.8,48.65,48.8,48.8,64355
2023-04-11,48.75,48.8,48.7,48.75,48.75,83801
2023-04-12,48.75,48.8,48.7,48.8,48.8,46548
2023-04-13,48.75,48.9,48.5,48.9,48.9,146689
2023-04-14,48.9,48.9,48.75,48.8,48.8,48666
2023-04-17,48.8,48.9,48.75,48.9,48.9,78198
2023-04-18,48.8,49.15,48.75,49.15,49.15,112231
2023-04-19,49.1,49.1,49.0,49.0,49.0,53306
2023-04-20,49.1,49.25,49.05,49.15,49.15,77706
2023-04-21,49.05,49.25,49.05,49.2,49.2,69270
2023-04-24,49.2,49.25,49.15,49.2,49.2,65806
2023-04-25,49.2,49.25,49.15,49.2,49.2,29355
2023-04-26,49.1,49.2,49.1,49.15,49.15,60853
2023-04-27,49.1,49.2,49.1,49.1,49.1,27625
2023-04-28,49.1,49.15,49.0,49.15,49.15,19833
2023-05-02,49.1,49.2,49.05,49.15,49.15,41120
2023-05-04,49.1,49.15,49.1,49.15,49.15,136625
2023-05-05,49.1,49.15,49.1,49.1,49.1,34762
2023-05-08,49.15,49.2,49.1,49.2,49.2,50799
2023-05-09,49.15,49.2,49.1,49.1,49.1,65414
2023-05-10,49.1,49.15,49.1,49.15,49.15,70939
2023-05-11,49.15,49.15,49.1,49.15,49.15,43133
2023-05-12,49.15,49.2,49.15,49.15,49.15,126984
2023-05-15,49.2,49.4,49.15,49.2,49.2,77834
2023-05-16,49.2,49.25,49.2,49.25,49.25,3978
2023-05-17,49.25,49.25,49.15,49.25,49.25,111259
2023-05-18,49.25,49.3,49.2,49.25,49.25,48915
2023-05-19,49.25,49.3,49.2,49.25,49.25,59607
2023-05-22,49.25,49.35,49.25,49.25,49.25,60620
2023-05-23,49.25,49.3,49.2,49.3,49.3,60320
