Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-12,82.4,83.0,81.7,81.9,81.9,3174
2022-07-13,82.7,83.6,82.1,83.0,83.0,2442
2022-07-14,83.0,83.3,82.3,82.8,82.8,602
2022-07-15,83.0,83.5,82.5,83.3,83.3,1740
2022-07-18,83.8,85.5,83.4,85.5,85.5,3934
2022-07-19,85.6,85.6,83.7,83.9,83.9,2104
2022-07-20,84.0,84.4,83.0,83.6,83.6,1495
2022-07-21,84.0,84.4,83.2,83.6,83.6,2591
2022-07-22,84.3,85.0,83.3,85.0,85.0,1605
2022-07-25,85.0,86.3,85.0,86.0,86.0,1246
2022-07-26,86.0,86.0,84.0,85.9,85.9,776
2022-07-27,85.8,85.8,84.6,85.3,85.3,400
2022-07-28,85.4,86.2,85.2,86.0,86.0,820
2022-07-29,86.0,86.6,86.0,86.2,86.2,2091
2022-08-01,86.4,87.0,86.2,86.5,86.5,1849
2022-08-02,86.8,86.9,85.2,85.5,85.5,2050
2022-08-03,85.5,86.9,85.1,86.9,86.9,1311
2022-08-04,86.0,88.3,85.7,88.0,88.0,2809
2022-08-05,88.4,88.7,87.8,88.3,88.3,1797
2022-08-08,88.3,88.3,87.3,87.3,87.3,1815
2022-08-09,88.0,88.5,85.8,87.0,87.0,1448
2022-08-10,87.0,87.6,85.6,86.4,86.4,2018
2022-08-11,87.0,88.0,86.6,88.0,88.0,1194
2022-08-12,88.2,88.3,86.8,87.8,87.8,1123
2022-08-16,87.8,88.2,86.0,87.1,87.1,2953
2022-08-17,87.3,87.6,85.0,85.0,85.0,3025
2022-08-18,85.1,85.7,84.8,84.8,84.8,6997
2022-08-19,84.8,85.7,84.5,85.1,85.1,3025
2022-08-22,85.1,86.4,84.5,85.6,85.6,11475
2022-08-23,80.0,81.4,78.6,79.0,79.0,36271
2022-08-24,79.1,80.2,77.1,77.1,77.1,6452
2022-08-25,77.7,78.0,76.3,76.5,76.5,5170
2022-08-26,77.7,77.7,73.8,74.1,74.1,8315
2022-08-29,73.9,73.9,70.3,71.5,71.5,6222
2022-08-30,71.6,73.0,71.0,71.3,71.3,11713
2022-08-31,71.8,72.5,71.3,71.5,71.5,4123
2022-09-01,71.5,71.5,70.2,70.6,70.6,7128
2022-09-02,72.5,73.8,71.4,72.0,72.0,9619
2022-09-05,72.0,72.3,70.7,70.8,70.8,6331
2022-09-06,72.1,72.9,71.4,71.9,71.9,4653
2022-09-07,71.8,75.4,71.4,75.3,75.3,4279
2022-09-08,76.5,78.4,76.4,77.7,77.7,3640
2022-09-09,78.4,79.8,78.0,78.6,78.6,7132
2022-09-12,79.1,79.7,78.6,79.6,79.6,2111
2022-09-13,79.6,79.6,78.5,78.7,78.7,2276
2022-09-14,78.2,79.1,78.2,78.4,78.4,704
2022-09-15,78.5,79.0,78.0,78.3,78.3,2223
2022-09-16,78.0,78.1,76.7,77.1,77.1,1504
2022-09-19,77.9,77.9,76.8,77.3,77.3,1831
2022-09-20,77.7,78.1,76.8,76.8,76.8,935
2022-09-21,77.0,77.2,76.7,76.9,76.9,659
2022-09-22,76.9,77.6,76.8,77.6,77.6,1683
2022-09-23,77.6,77.6,76.7,76.9,76.9,3633
2022-09-26,76.6,76.7,74.8,75.1,75.1,5567
2022-09-27,75.2,75.4,74.4,75.2,75.2,968
2022-09-28,75.3,75.5,74.3,74.3,74.3,2074
2022-09-29,74.5,74.5,73.5,74.1,74.1,2445
2022-09-30,74.2,74.3,73.0,73.4,73.4,2131
2022-10-03,73.0,73.0,72.3,72.8,72.8,1502
2022-10-04,73.2,74.2,73.2,73.8,73.8,2614
2022-10-05,73.9,74.0,73.0,73.1,73.1,1585
2022-10-06,73.8,74.2,73.2,73.2,73.2,1093
2022-10-07,74.0,74.2,73.6,73.6,73.6,436
2022-10-10,74.2,74.2,73.5,73.8,73.8,581
2022-10-11,73.8,74.0,73.4,73.9,73.9,1850
2022-10-12,74.0,74.0,73.5,73.7,73.7,762
2022-10-13,73.6,74.1,73.3,73.6,73.6,2626
2022-10-14,73.6,74.0,73.0,73.2,73.2,3683
2022-10-17,73.7,74.0,73.6,73.9,73.9,728
2022-10-18,73.8,74.0,73.0,73.7,73.7,3581
2022-10-19,73.9,74.0,73.2,73.8,73.8,858
2022-10-20,73.9,73.9,72.0,72.0,72.0,38091
2022-10-21,73.2,73.8,72.0,72.4,72.4,1622
2022-10-24,73.1,75.0,73.1,74.0,74.0,3255
2022-10-25,73.4,74.0,73.3,73.3,73.3,1060
2022-10-26,73.5,73.8,73.1,73.4,73.4,2609
2022-10-27,73.5,73.9,73.2,73.3,73.3,4595
2022-10-28,73.7,74.6,73.3,74.5,74.5,1845
2022-10-31,74.5,75.8,74.0,75.2,75.2,3095
2022-11-02,76.1,79.0,76.1,78.9,78.9,4436
2022-11-03,78.5,78.9,76.8,78.4,78.4,2038
2022-11-04,77.0,78.6,75.9,78.2,78.2,6218
2022-11-07,78.2,78.6,77.6,78.2,78.2,3820
2022-11-08,78.5,79.1,78.0,78.4,78.4,2343
2022-11-09,78.4,79.6,78.2,79.3,79.3,2134
2022-11-10,79.5,79.8,78.3,79.8,79.8,2604
2022-11-14,82.9,87.6,82.9,87.6,87.6,16367
2022-11-15,87.9,88.0,85.5,86.0,86.0,5397
2022-11-16,84.7,86.0,84.2,86.0,86.0,4383
2022-11-17,86.0,86.0,85.5,86.0,86.0,2951
2022-11-18,86.0,86.0,85.5,85.9,85.9,937
2022-11-21,85.6,86.0,85.6,85.9,85.9,3286
2022-11-22,85.8,85.9,85.0,85.2,85.2,2907
2022-11-23,85.5,86.0,85.3,85.9,85.9,4336
