Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-21,4.07,4.1,4.04,4.1,3.4739,10604
2022-07-22,4.09,4.1,4.0,4.05,3.4315,5878
2022-07-25,4.04,4.09,4.02,4.09,3.4654,3315
2022-07-26,4.09,4.09,4.01,4.07,3.4485,5345
2022-07-27,4.05,4.05,4.0,4.04,3.423,3885
2022-07-28,4.06,4.14,4.01,4.14,3.5078,10816
2022-07-29,4.14,4.16,4.09,4.14,3.5078,15183
2022-08-01,4.14,4.4,4.14,4.38,3.7111,33112
2022-08-02,4.4,4.48,4.4,4.45,3.7704,16987
2022-08-03,4.48,4.69,4.44,4.69,3.9738,31245
2022-08-04,4.7,4.7,4.49,4.5,3.8128,24355
2022-08-05,4.63,4.66,4.6,4.64,3.9314,4406
2022-08-08,4.66,4.66,4.52,4.65,3.9399,13908
2022-08-09,4.66,4.69,4.52,4.65,3.9399,7435
2022-08-10,4.65,4.67,4.64,4.67,3.9568,7686
2022-08-11,4.66,4.66,4.58,4.64,3.9314,4026
2022-08-12,4.66,4.67,4.59,4.67,3.9568,6850
2022-08-16,4.67,4.7,4.56,4.7,3.9822,15679
2022-08-17,4.65,4.65,4.48,4.6,3.8975,12496
2022-08-18,4.64,4.64,4.55,4.56,3.8636,5002
2022-08-19,4.63,4.65,4.53,4.61,3.906,6761
2022-08-22,4.61,4.61,4.52,4.59,3.889,3097
2022-08-23,4.59,4.68,4.52,4.67,3.9568,8099
2022-08-24,4.69,4.69,4.58,4.64,3.9314,3051
2022-08-25,4.64,4.64,4.55,4.64,3.9314,6527
2022-08-26,4.6,4.65,4.6,4.6,3.8975,1623
2022-08-29,4.62,4.7,4.6,4.7,3.9822,31445
2022-08-30,4.7,4.99,4.7,4.99,4.228,33239
2022-08-31,4.71,4.99,4.71,4.96,4.2025,25687
2022-09-01,4.96,4.96,4.6,4.76,4.0331,28412
2022-09-02,4.78,4.88,4.7,4.81,4.0755,20136
2022-09-05,4.82,4.82,4.63,4.63,3.9229,10082
2022-09-06,4.6,4.8,4.44,4.74,4.0161,26625
2022-09-07,4.74,4.8,4.7,4.75,4.0246,16647
2022-09-08,4.78,4.8,4.7,4.71,3.9907,28038
2022-09-09,4.75,4.76,4.7,4.76,4.0331,52936
2022-09-12,4.0,4.17,3.66,4.17,4.1019,68974
2022-09-13,4.15,4.15,3.9,3.9,3.8364,5445
2022-09-14,4.14,4.14,3.55,3.75,3.6888,28636
2022-09-15,3.9,3.9,3.72,3.75,3.6888,4088
2022-09-16,3.85,3.85,3.73,3.82,3.7577,317
2022-09-19,3.82,3.82,3.51,3.57,3.5117,15263
2022-09-20,3.51,3.51,3.33,3.33,3.2757,12422
2022-09-21,3.47,4.08,3.43,3.7,3.6396,31158
2022-09-22,3.93,3.93,3.63,3.63,3.5708,7842
2022-09-23,3.77,3.77,3.49,3.6,3.5412,7861
2022-09-26,3.58,3.6,3.41,3.43,3.374,3659
2022-09-27,3.56,3.59,3.5,3.55,3.4921,7795
2022-09-28,3.55,3.55,3.37,3.4,3.3445,5714
2022-09-29,3.4,3.44,3.26,3.33,3.2757,4601
2022-09-30,3.39,3.42,3.06,3.12,3.0691,8874
2022-10-03,3.12,3.18,2.82,2.92,2.8723,17021
2022-10-04,2.9,2.97,2.86,2.95,2.9019,7410
2022-10-05,2.97,2.97,2.91,2.97,2.9215,4761
2022-10-06,2.97,3.35,2.94,3.35,3.2953,5172
2022-10-07,3.35,3.5,3.16,3.39,3.3347,3349
2022-10-10,3.5,3.5,3.3,3.39,3.3347,1116
2022-10-11,3.39,3.58,3.26,3.58,3.5216,3005
2022-10-12,3.5,3.5,3.31,3.38,3.3248,2929
2022-10-13,3.5,3.5,3.31,3.36,3.3052,3113
