Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-25,18.6,18.6,18.3,18.4,18.4,4794
2022-07-26,18.4,18.48,18.1,18.48,18.48,2937
2022-07-27,18.4,18.4,17.82,18.12,18.12,1979
2022-07-28,18.14,18.34,18.14,18.3,18.3,23961
2022-07-29,18.32,18.4,18.3,18.4,18.4,1619
2022-08-01,18.34,18.5,18.26,18.46,18.46,3869
2022-08-02,18.5,18.56,18.3,18.34,18.34,8813
2022-08-03,18.5,18.5,18.08,18.1,18.1,2835
2022-08-04,18.3,18.7,18.24,18.6,18.6,2457
2022-08-05,18.48,18.5,18.2,18.2,18.2,7544
2022-08-08,18.4,18.94,18.22,18.22,18.22,9064
2022-08-09,18.3,18.9,18.14,18.28,18.28,13199
2022-08-10,18.5,18.5,18.28,18.3,18.3,7540
2022-08-11,18.4,18.4,18.26,18.4,18.4,16648
2022-08-12,18.4,18.4,18.22,18.22,18.22,3832
2022-08-16,18.4,18.4,18.14,18.2,18.2,122753
2022-08-17,18.2,18.86,18.2,18.44,18.44,2287
2022-08-18,18.48,19.64,18.48,18.9,18.9,5476
2022-08-19,18.9,18.9,18.5,18.54,18.54,2273
2022-08-22,18.3,18.56,17.86,18.0,18.0,8321
2022-08-23,17.8,17.96,17.0,17.5,17.5,15206
2022-08-24,17.5,17.76,17.3,17.52,17.52,2123
2022-08-25,17.52,17.6,16.98,17.48,17.48,9549
2022-08-26,17.3,17.48,17.14,17.42,17.42,2381
2022-08-29,17.38,17.38,16.92,17.0,17.0,2246
2022-08-30,17.26,17.48,16.26,16.98,16.98,20472
2022-08-31,16.5,17.04,16.5,16.72,16.72,2146
2022-09-01,17.08,17.4,16.72,17.4,17.4,3461
2022-09-02,17.3,17.9,17.14,17.9,17.9,2568
2022-09-05,18.0,18.0,17.38,17.9,17.9,2028
2022-09-06,17.88,17.9,17.46,17.46,17.46,2126
2022-09-07,17.7,17.74,17.52,17.7,17.7,1337
2022-09-08,17.8,17.9,17.62,17.7,17.7,2961
2022-09-09,17.94,18.18,17.8,18.08,18.08,6302
2022-09-12,18.28,19.36,18.0,19.2,19.2,13270
2022-09-13,20.0,20.0,18.6,18.9,18.9,60700
2022-09-14,19.16,19.8,18.3,18.52,18.52,8801
2022-09-15,18.88,18.88,18.42,18.52,18.52,2814
2022-09-16,18.42,18.62,18.36,18.4,18.4,3670
2022-09-19,18.58,18.58,17.52,18.3,18.3,8549
2022-09-20,18.3,18.32,17.56,17.8,17.8,5604
2022-09-21,17.74,18.16,17.7,18.0,18.0,3729
2022-09-22,17.8,18.38,17.8,18.24,18.24,3468
2022-09-23,18.4,18.4,17.72,17.98,17.98,6056
2022-09-26,17.9,17.9,17.0,17.68,17.68,7150
2022-09-27,17.88,17.88,17.4,17.74,17.74,1460
2022-09-28,17.68,17.68,17.0,17.6,17.6,3518
2022-09-29,17.6,17.66,17.18,17.5,17.5,11234
2022-09-30,17.6,17.6,17.02,17.6,17.6,3326
2022-10-03,17.6,18.68,17.48,18.5,18.5,1521
2022-10-04,18.5,18.7,18.08,18.62,18.62,921
2022-10-05,18.62,18.64,18.02,18.42,18.42,865
2022-10-06,18.9,19.8,18.9,19.64,19.64,30337
2022-10-07,19.6,20.6,19.34,20.0,20.0,9460
2022-10-10,20.0,20.25,19.34,19.88,19.88,3112
2022-10-11,19.96,19.96,19.3,19.7,19.7,2955
2022-10-12,19.7,19.9,19.34,19.62,19.62,2444
2022-10-13,19.64,20.1,19.64,19.68,19.68,7583
2022-10-14,19.46,20.1,19.46,20.0,20.0,6245
2022-10-17,20.1,20.2,19.6,20.0,20.0,3667
2022-10-18,20.1,20.1,19.68,20.0,20.0,3665
2022-10-19,19.96,19.96,19.54,19.54,19.54,7171
2022-10-20,19.54,19.94,19.52,19.94,19.94,1706
2022-10-21,19.94,19.94,19.56,19.7,19.7,1134
2022-10-24,19.88,19.88,19.3,19.8,19.8,973
2022-10-25,19.88,19.88,19.24,19.68,19.68,2352
2022-10-26,19.7,19.7,19.4,19.68,19.68,2009
2022-10-27,19.36,19.4,19.2,19.4,19.4,1366
