Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-16,13.2,13.3,13.18,13.28,13.28,405181
2022-08-17,13.28,13.66,12.82,12.82,12.82,30830
2022-08-18,12.82,13.1,12.82,13.1,13.1,9009
2022-08-19,13.1,13.38,13.1,13.34,13.34,4143
2022-08-22,13.34,13.68,13.1,13.6,13.6,28300
2022-08-23,13.6,14.0,13.6,14.0,14.0,462435
2022-08-24,13.82,14.2,13.82,13.86,13.86,8223
2022-08-25,14.0,14.22,13.82,14.0,14.0,12300
2022-08-26,14.16,14.2,13.9,14.2,14.2,14087
2022-08-29,14.1,14.36,13.5,13.92,13.92,14402
2022-08-30,13.92,14.1,13.82,14.02,14.02,14062
2022-08-31,14.08,14.08,13.72,13.82,13.82,14421
2022-09-01,13.94,13.94,13.62,13.64,13.64,17837
2022-09-02,13.7,13.86,13.22,13.6,13.6,7919
2022-09-05,13.6,13.6,13.52,13.54,13.54,533
2022-09-06,13.36,13.36,12.96,13.18,13.18,6835
2022-09-07,12.66,12.8,12.6,12.8,12.8,17836
2022-09-08,12.9,12.9,12.7,12.8,12.8,4894
2022-09-09,12.96,13.28,12.84,13.28,13.28,6835
2022-09-12,13.0,13.0,12.82,13.0,13.0,849
2022-09-13,13.0,13.3,13.0,13.28,13.28,2691
2022-09-14,13.2,13.44,13.1,13.24,13.24,12241
2022-09-15,13.48,13.6,13.34,13.6,13.6,3105
2022-09-16,13.4,13.76,13.4,13.54,13.54,4023
2022-09-19,13.54,13.66,13.32,13.66,13.66,2450
2022-09-20,13.32,13.4,13.2,13.2,13.2,3170
2022-09-21,13.2,13.2,12.9,12.9,12.9,1493
2022-09-22,13.0,13.08,12.5,12.5,12.5,7635
2022-09-23,12.5,12.5,12.24,12.24,12.24,4514
2022-09-26,12.24,12.24,11.66,12.24,12.24,12115
2022-09-27,12.18,12.18,12.14,12.16,12.16,63
2022-09-28,12.16,12.16,11.68,11.8,11.8,5157
2022-09-29,11.9,12.16,11.62,11.88,11.88,4245
2022-09-30,12.36,12.96,12.1,12.96,12.96,15510
2022-10-03,12.44,12.5,12.22,12.5,12.5,3404
2022-10-04,12.52,12.8,12.52,12.56,12.56,1590
2022-10-05,12.3,12.8,12.3,12.8,12.8,1089
2022-10-06,12.8,13.46,12.42,13.46,13.46,6215
2022-10-07,13.44,13.84,13.2,13.84,13.84,10754
2022-10-10,13.88,13.88,13.52,13.7,13.7,2331
2022-10-11,13.86,13.86,13.32,13.7,13.7,1021
2022-10-12,13.7,13.7,13.4,13.4,13.4,415
2022-10-13,13.2,13.66,13.0,13.0,13.0,1780
2022-10-14,13.22,13.56,13.22,13.5,13.5,1184
2022-10-17,13.22,13.22,13.04,13.04,13.04,2335
2022-10-18,13.04,13.4,13.04,13.36,13.36,237
2022-10-19,13.3,13.3,13.3,13.3,13.3,84
2022-10-20,13.1,13.28,13.1,13.28,13.28,513
2022-10-21,13.1,13.2,12.9,13.1,13.1,2645
2022-10-24,12.84,13.38,12.84,13.38,13.38,1741
2022-10-25,13.44,13.44,13.04,13.2,13.2,249
2022-10-26,13.2,13.26,13.12,13.14,13.14,385
2022-10-27,13.2,14.0,13.2,14.0,14.0,12913
2022-10-28,13.9,14.98,13.9,14.98,14.98,20121
2022-10-31,14.82,15.4,14.82,15.26,15.26,9882
2022-11-02,15.26,15.26,14.6,15.0,15.0,9285
2022-11-03,15.0,15.26,14.62,15.26,15.26,3700
2022-11-04,15.26,15.38,14.66,14.66,14.66,9611
2022-11-07,15.0,15.0,14.54,14.78,14.78,4468
2022-11-08,14.8,14.92,14.56,14.86,14.86,1939
2022-11-09,14.9,14.92,14.62,14.66,14.66,3894
2022-11-10,14.7,15.06,14.66,14.84,14.84,7995
2022-11-14,15.2,15.4,14.78,14.98,14.98,9217
2022-11-15,14.84,14.98,14.82,14.94,14.94,8149
2022-11-16,14.8,15.16,14.7,14.96,14.96,2724
2022-11-17,14.78,14.86,14.58,14.7,14.7,2737
2022-11-18,14.6,14.76,14.32,14.76,14.76,3257
2022-11-21,14.76,14.76,14.5,14.5,14.5,2487
2022-11-22,14.4,14.8,14.4,14.54,14.54,853
2022-11-23,14.76,14.8,14.58,14.8,14.8,1813
2022-11-24,14.8,14.84,14.7,14.78,14.78,4545
2022-11-25,14.72,14.94,14.18,14.72,14.72,8230
2022-11-28,14.42,14.76,14.42,14.76,14.76,3547
2022-11-29,14.7,14.7,14.56,14.56,14.56,87
2022-11-30,14.52,14.78,14.36,14.68,14.68,4591
2022-12-01,14.7,14.7,14.38,14.7,14.7,2508
2022-12-02,14.6,14.66,14.46,14.62,14.62,853
2022-12-05,14.7,14.7,14.48,14.5,14.5,2812
2022-12-06,14.5,14.64,14.46,14.48,14.48,1117
2022-12-07,14.48,14.64,14.44,14.64,14.64,999
2022-12-08,14.48,14.7,14.48,14.58,14.58,893
2022-12-09,14.56,14.66,14.46,14.5,14.5,2267
