Date,Open,High,Low,Close,Adjusted_close,Volume
2022-02-16,1.111,1.148,1.111,1.138,1.138,148194
2022-02-17,1.137,1.14,1.11,1.13,1.13,13208
2022-02-18,1.129,1.13,1.11,1.11,1.11,19609
2022-02-21,1.11,1.11,1.05,1.069,1.069,278217
2022-02-22,1.05,1.075,1.039,1.06,1.06,109411
2022-02-23,1.06,1.099,1.06,1.087,1.087,38110
2022-02-24,1.01,1.029,0.82,0.856,0.856,628754
2022-02-25,0.9,0.95,0.89,0.91,0.91,227337
2022-02-28,0.92,0.95,0.9,0.937,0.937,97747
2022-03-01,0.935,1.0,0.9215,0.969,0.969,153857
2022-03-02,0.951,0.98,0.89,0.9385,0.9385,403931
2022-03-03,0.93,0.93,0.89,0.92,0.92,158190
2022-03-04,0.9105,0.9225,0.895,0.895,0.895,70799
2022-03-07,0.92,0.92,0.85,0.9,0.9,365718
2022-03-08,0.89,0.9,0.86,0.86,0.86,132492
2022-03-09,0.8985,0.9195,0.8705,0.915,0.915,66415
2022-03-10,0.918,0.95,0.89,0.91,0.91,264455
2022-03-11,0.9015,0.95,0.8795,0.937,0.937,198332
2022-03-14,0.937,0.94,0.913,0.93,0.93,27369
2022-03-15,0.93,0.9395,0.91,0.9305,0.9305,81949
2022-03-16,0.9385,0.989,0.925,0.9675,0.9675,222944
2022-03-17,0.97,1.1,0.968,1.07,1.07,416108
2022-03-18,1.06,1.09,1.044,1.044,1.044,110462
2022-03-21,1.05,1.07,1.02,1.06,1.06,65992
2022-03-22,1.065,1.138,1.06,1.1,1.1,83514
2022-03-23,1.094,1.094,1.06,1.062,1.062,59212
2022-03-24,1.079,1.086,1.064,1.086,1.086,9046
2022-03-25,1.067,1.089,1.053,1.053,1.053,51918
2022-03-28,1.088,1.088,1.05,1.057,1.057,36082
2022-03-29,1.08,1.1,1.057,1.1,1.1,57493
2022-03-30,1.099,1.16,1.063,1.16,1.16,215280
2022-03-31,1.159,1.175,1.1,1.106,1.106,179269
2022-04-01,1.126,1.16,1.1,1.156,1.156,149605
2022-04-04,1.121,1.148,1.082,1.082,1.082,104992
2022-04-05,1.1,1.127,1.076,1.076,1.076,60702
2022-04-06,1.099,1.1,1.056,1.061,1.061,33338
2022-04-07,1.079,1.079,1.052,1.067,1.067,12117
2022-04-08,1.052,1.064,1.02,1.042,1.042,23943
2022-04-11,1.05,1.14,1.042,1.14,1.14,160978
2022-04-12,1.144,1.148,1.101,1.102,1.102,54122
2022-04-13,1.102,1.124,1.082,1.082,1.082,21539
2022-04-14,1.098,1.138,1.092,1.126,1.126,41614
2022-04-19,1.12,1.12,1.052,1.1,1.1,22144
2022-04-20,1.096,1.1,1.05,1.056,1.056,22062
2022-04-21,1.076,1.076,1.05,1.05,1.05,68148
2022-04-22,1.1,1.118,1.06,1.078,1.078,40322
2022-04-25,1.058,1.092,1.03,1.064,1.064,21077
2022-04-26,1.056,1.062,1.04,1.04,1.04,5185
2022-04-27,1.0,1.0,0.95,0.999,0.999,185750
2022-04-28,0.98,0.988,0.97,0.98,0.98,15713
2022-04-29,0.98,0.997,0.98,0.98,0.98,25830
2022-05-02,0.98,0.983,0.95,0.954,0.954,30313
2022-05-04,0.98,0.985,0.953,0.953,0.953,50181
2022-05-05,0.955,0.97,0.942,0.942,0.942,45060
2022-05-06,0.942,0.95,0.9,0.905,0.905,111520
2022-05-09,0.91,0.938,0.9,0.9,0.9,60006
2022-05-10,0.91,0.929,0.902,0.919,0.919,15486
2022-05-11,0.921,0.942,0.921,0.942,0.942,17222
2022-05-12,0.93,0.938,0.907,0.907,0.907,86666
2022-05-13,0.938,0.938,0.909,0.91,0.91,15955
2022-05-16,0.91,0.915,0.891,0.9,0.9,107018
2022-05-17,0.915,0.926,0.91,0.926,0.926,19284
2022-05-18,0.928,0.969,0.928,0.934,0.934,50035
2022-05-19,0.943,0.943,0.92,0.922,0.922,8969
2022-05-20,0.93,0.93,0.891,0.909,0.909,51573
2022-05-23,0.935,0.935,0.89,0.894,0.894,27842
2022-05-24,0.894,0.91,0.894,0.905,0.905,7437
2022-05-25,0.921,0.921,0.905,0.907,0.907,5207
2022-05-26,0.91,0.921,0.9,0.909,0.909,31658
2022-05-27,0.929,0.929,0.905,0.927,0.927,8460
2022-05-30,0.929,0.929,0.916,0.918,0.918,22870
2022-05-31,0.927,0.927,0.92,0.927,0.927,10507
2022-06-01,0.92,0.933,0.914,0.921,0.921,25073
2022-06-02,0.92,0.935,0.901,0.924,0.924,60700
2022-06-03,0.908,0.924,0.895,0.903,0.903,117650
