Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-28,30.57,31.35,30.38,31.08,31.08,3401497
2023-03-01,31.36,31.57,31.06,31.35,31.35,1240424
2023-03-02,31.08,31.2,30.4,30.53,30.53,1932705
2023-03-03,30.5,31.1,30.5,30.97,30.97,1682985
2023-03-06,31.1,31.65,31.03,31.6,31.6,1866027
2023-03-07,31.5,31.88,30.92,30.99,30.99,2011068
2023-03-08,30.98,31.18,30.72,31.1,31.1,1436535
2023-03-09,31.13,31.13,30.5,30.5,30.5,1132275
2023-03-10,30.03,30.24,29.62,29.78,29.78,3209044
2023-03-13,30.03,30.09,28.61,28.91,28.91,4779884
2023-03-14,28.74,29.16,28.38,28.83,28.83,3710846
2023-03-15,29.0,29.19,27.5,27.97,27.97,3716618
2023-03-16,28.2,28.41,26.6,27.2,27.2,6504885
2023-03-17,27.4,27.9,26.07,26.46,26.46,7553224
2023-03-20,26.14,26.94,24.83,26.76,26.76,6687615
2023-03-21,27.2,28.08,26.88,27.98,27.98,4979626
2023-03-22,28.1,28.42,27.48,27.56,27.56,3638720
2023-03-23,27.48,27.6,26.84,27.4,27.4,1760311
2023-03-24,27.1,27.25,26.2,26.72,26.72,2970485
2023-03-27,27.06,27.25,26.64,27.07,27.07,2003466
2023-03-28,27.2,27.69,27.02,27.2,27.2,1807206
2023-03-29,27.4,28.16,27.14,28.05,28.05,2571898
2023-03-30,28.21,28.85,28.16,28.81,28.81,1883527
2023-03-31,28.85,28.93,28.37,28.52,28.52,2740049
2023-04-03,28.72,29.73,28.6,29.05,29.05,2279900
2023-04-04,29.44,29.54,28.82,28.89,28.89,1244435
2023-04-05,28.9,28.95,28.47,28.64,28.64,1733283
2023-04-06,28.64,28.86,28.31,28.67,28.67,924027
2023-04-11,29.0,29.34,28.65,29.25,29.25,3423787
2023-04-12,29.23,30.13,28.95,30.0,30.0,4589572
2023-04-13,30.0,31.04,29.8,30.83,30.83,3950019
2023-04-14,31.06,31.58,30.72,31.29,31.29,2623137
2023-04-17,31.5,31.79,31.24,31.4,31.4,1802433
2023-04-18,31.4,32.74,31.2,32.35,32.35,2574482
2023-04-19,32.12,32.78,31.2,32.47,32.47,3076276
2023-04-20,32.49,33.0,32.33,32.63,32.63,2540283
2023-04-21,32.54,32.68,32.09,32.58,32.58,1481183
2023-04-24,32.58,32.93,32.24,32.73,32.73,1272226
2023-04-25,32.64,32.65,31.91,32.11,32.11,1731389
