Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-21,95.7,97.0,94.2,97.0,97.0,1575
2022-12-22,97.0,98.2,97.0,97.0,97.0,1306
2022-12-23,98.2,98.2,95.2,98.1,98.1,2149
2022-12-27,99.9,100.0,96.2,98.1,98.1,987
2022-12-28,96.1,98.0,95.7,98.0,98.0,1771
2022-12-29,98.0,101.0,95.9,101.0,101.0,4115
2022-12-30,101.8,103.8,99.3,101.0,101.0,8497
2023-01-02,102.2,103.0,100.2,102.0,102.0,4345
2023-01-03,102.0,102.0,100.6,100.8,100.8,11264
2023-01-04,101.6,103.4,96.4,102.8,102.8,19243
2023-01-05,101.0,102.8,99.6,101.0,101.0,3659
2023-01-09,102.0,103.4,100.8,101.4,101.4,15394
2023-01-10,101.4,103.0,101.0,101.0,101.0,589
2023-01-11,101.0,102.0,98.5,99.4,99.4,3933
2023-01-12,99.4,101.6,98.8,99.5,99.5,5186
2023-01-13,101.6,101.6,97.1,98.8,98.8,7545
2023-01-16,98.8,99.4,98.0,99.4,99.4,13750
2023-01-17,99.8,99.8,98.0,99.4,99.4,1123
2023-01-18,97.7,99.3,97.0,97.0,97.0,80040
2023-01-19,98.0,103.8,96.8,103.6,103.6,60765
2023-01-20,103.6,108.4,103.6,108.2,108.2,4631
2023-01-23,108.6,109.0,106.0,108.0,108.0,3028
2023-01-24,108.0,109.8,106.2,107.0,107.0,1458
2023-01-25,107.0,107.2,99.6,101.2,101.2,8603
2023-01-26,100.4,107.0,100.4,107.0,107.0,9836
2023-01-27,107.0,108.2,102.4,103.2,103.2,6879
2023-01-30,104.0,104.0,101.8,103.2,103.2,3340
2023-01-31,105.0,105.0,102.0,104.0,104.0,5538
2023-02-01,104.0,105.8,102.6,105.8,105.8,11925
2023-02-02,104.6,109.8,104.6,108.0,108.0,22194
2023-02-03,105.2,110.0,105.0,107.8,107.8,5161
2023-02-06,107.0,110.0,103.2,104.2,104.2,9787
2023-02-07,106.0,106.0,102.4,103.6,103.6,7869
2023-02-08,104.0,104.0,100.0,100.0,100.0,4748
2023-02-09,101.0,102.8,100.0,102.0,102.0,5290
2023-02-10,101.0,101.0,93.0,98.0,98.0,43561
2023-02-13,97.5,97.7,95.6,96.0,96.0,15109
2023-02-14,97.0,99.3,96.1,98.0,98.0,11838
2023-02-15,99.4,99.8,97.3,98.8,98.8,10843
2023-02-16,97.5,101.4,97.5,101.4,101.4,2429
2023-02-17,101.8,101.8,98.6,98.6,98.6,280
2023-02-20,101.0,101.0,98.4,99.2,99.2,429
2023-02-21,100.0,101.6,95.6,95.7,95.7,12261
2023-02-22,95.0,99.0,94.2,94.2,94.2,25934
2023-02-23,96.5,97.3,94.8,95.5,95.5,1785
2023-02-24,97.4,97.4,94.0,94.2,94.2,1523
2023-02-27,95.0,95.0,93.6,93.7,93.7,1170
