Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-17,32.8,34.8,32.5,32.6,32.6,893
2022-10-18,32.5,34.0,32.5,33.6,33.6,2130
2022-10-19,34.0,34.0,32.8,32.9,32.9,2209
2022-10-20,32.9,33.9,32.0,32.5,32.5,33000
2022-10-21,32.6,33.4,32.5,32.8,32.8,39207
2022-10-24,38.9,38.9,33.0,33.3,33.3,6447
2022-10-25,33.3,36.0,33.1,33.6,33.6,9152
2022-10-26,34.0,34.1,33.9,34.0,34.0,19682
2022-10-27,35.0,35.0,33.8,33.9,33.9,1972
2022-10-28,35.0,35.0,32.8,32.9,32.9,15543
2022-10-31,33.0,34.0,32.6,33.5,33.5,10484
2022-11-02,33.9,34.0,33.1,33.4,33.4,2215
2022-11-03,33.4,34.0,33.1,33.1,33.1,4286
2022-11-04,33.5,33.6,32.2,33.5,33.5,9771
2022-11-07,33.5,34.0,32.7,32.7,32.7,9052
2022-11-08,34.0,34.0,31.7,32.0,32.0,7832
2022-11-09,32.5,32.7,31.0,31.7,31.7,10043
2022-11-10,31.5,32.0,30.1,31.5,31.5,16709
2022-11-14,31.5,33.1,31.5,32.9,32.9,10527
2022-11-15,33.1,34.0,33.0,33.8,33.8,5842
2022-11-16,33.5,34.0,33.2,33.4,33.4,8187
2022-11-17,33.8,33.8,33.5,33.5,33.5,2990
2022-11-18,33.4,34.1,33.2,33.5,33.5,4232
2022-11-21,34.1,36.4,33.2,35.4,35.4,10538
2022-11-22,35.4,36.9,35.0,36.4,36.4,4783
2022-11-23,36.8,38.6,36.8,37.5,37.5,5589
2022-11-24,38.6,39.0,37.0,37.6,37.6,5841
2022-11-25,38.5,38.7,36.8,37.8,37.8,1612
2022-11-28,37.7,37.7,36.1,36.5,36.5,4716
2022-11-29,36.5,39.0,35.6,36.9,36.9,13389
2022-11-30,36.9,37.4,36.2,36.2,36.2,4071
2022-12-01,37.9,37.9,35.8,36.2,36.2,3913
2022-12-02,36.2,36.2,35.4,36.0,36.0,8246
2022-12-05,36.0,36.9,35.6,36.9,36.9,2132
2022-12-06,37.0,37.1,36.5,36.9,36.9,1898
2022-12-07,36.9,36.9,36.5,36.7,36.7,1153
2022-12-08,37.0,37.0,35.8,36.5,36.5,12512
2022-12-09,37.0,37.2,36.0,36.8,36.8,14128
2022-12-12,37.0,37.0,36.2,36.5,36.5,2034
2022-12-13,36.8,36.9,36.0,36.7,36.7,3041
2022-12-14,36.8,37.0,36.6,37.0,37.0,2332
2022-12-15,37.0,37.0,36.7,36.7,36.7,961
2022-12-16,36.3,36.5,35.5,36.5,36.5,1989
2022-12-19,35.9,36.9,35.9,36.6,36.6,586
2022-12-20,36.6,36.9,35.6,35.7,35.7,1618
2022-12-21,35.9,35.9,35.6,35.6,35.6,2215
2022-12-22,35.8,36.6,34.3,35.7,35.7,2243
2022-12-23,36.0,36.5,36.0,36.5,36.5,3111
2022-12-27,36.5,36.5,35.3,35.3,35.3,3694
2022-12-28,35.3,35.8,35.2,35.8,35.8,2806
2022-12-29,36.0,36.5,35.8,36.0,36.0,1221
2022-12-30,36.5,36.5,35.7,35.9,35.9,930
2023-01-02,35.4,35.9,35.1,35.8,35.8,2256
2023-01-03,35.8,35.8,35.2,35.8,35.8,2357
2023-01-04,35.1,35.5,35.1,35.2,35.2,4869
2023-01-05,35.4,35.8,35.3,35.5,35.5,3297
2023-01-09,35.5,36.3,35.5,36.3,36.3,1790
2023-01-10,36.2,37.0,36.1,36.9,36.9,5643
2023-01-11,36.9,37.0,36.6,36.7,36.7,3034
2023-01-12,36.9,37.0,36.6,37.0,37.0,2684
2023-01-13,37.0,37.0,36.6,36.7,36.7,3076
2023-01-16,36.6,37.0,36.5,37.0,37.0,1098
2023-01-17,37.0,37.0,36.5,36.9,36.9,368
2023-01-18,37.0,37.0,36.2,36.2,36.2,1190
2023-01-19,36.2,36.2,35.3,36.2,36.2,5321
2023-01-20,36.3,36.9,36.0,36.8,36.8,1589
2023-01-23,37.0,38.1,36.5,38.1,38.1,29161
2023-01-24,38.3,39.0,36.6,37.4,37.4,4735
2023-01-25,37.5,38.5,37.5,37.9,37.9,3059
2023-01-26,38.1,39.0,37.6,38.6,38.6,4188
2023-01-27,38.7,39.5,38.3,39.5,39.5,4629
2023-01-30,39.5,40.9,39.5,40.3,40.3,6584
2023-01-31,40.4,40.8,39.5,40.1,40.1,2918
2023-02-01,40.0,40.1,36.1,37.2,37.2,17548
2023-02-02,37.8,39.2,37.5,39.0,39.0,34994
2023-02-03,39.5,40.5,38.2,39.1,39.1,3835
2023-02-06,39.8,40.9,39.4,39.8,39.8,3955
2023-02-07,40.0,40.9,39.5,40.5,40.5,3856
2023-02-08,39.7,40.5,39.6,40.1,40.1,1423
2023-02-09,40.1,40.9,39.2,40.0,40.0,1799
2023-02-10,39.3,39.8,39.3,39.3,39.3,2217
2023-02-13,39.9,39.9,39.0,39.0,39.0,1426
2023-02-14,39.0,39.3,38.4,38.6,38.6,16068
2023-02-15,38.4,39.0,37.7,38.6,38.6,5821
2023-02-16,39.0,39.1,38.1,38.9,38.9,5022
2023-02-17,38.5,38.9,38.2,38.8,38.8,2715
2023-02-20,38.7,39.5,38.5,39.5,39.5,1500
2023-02-21,39.8,39.8,38.9,38.9,38.9,1283
2023-02-22,38.9,39.2,38.8,39.2,39.2,3114
2023-02-23,39.0,39.3,38.7,39.3,39.3,676
2023-02-24,39.1,39.5,38.9,39.2,39.2,1148
2023-02-27,39.5,39.5,39.0,39.1,39.1,894
2023-02-28,39.4,39.9,37.7,38.0,38.0,18319
2023-03-01,38.6,38.8,38.1,38.7,38.7,1019
2023-03-02,38.5,38.7,38.0,38.5,38.5,855
2023-03-03,38.7,39.0,38.0,39.0,39.0,1507
2023-03-06,38.5,39.3,38.3,39.1,39.1,1201
2023-03-07,38.7,40.0,38.7,39.7,39.7,842
2023-03-08,39.7,41.4,39.7,41.3,41.3,24491
2023-03-09,41.5,41.5,40.2,41.2,41.2,3220
2023-03-10,41.0,41.0,40.1,40.4,40.4,1314
2023-03-13,40.4,40.4,36.7,39.4,39.4,7833
2023-03-14,39.5,40.5,39.2,39.6,39.6,2803
2023-03-15,39.9,39.9,37.2,38.8,38.8,2734
2023-03-16,38.9,39.3,37.4,38.7,38.7,2642
2023-03-17,39.7,39.7,37.8,38.5,38.5,595
2023-03-20,39.5,39.5,37.8,39.0,39.0,550
2023-03-21,38.1,38.5,37.9,38.5,38.5,1180
2023-03-22,38.3,38.5,37.8,38.3,38.3,1029
2023-03-23,38.4,38.8,37.8,38.5,38.5,907
2023-03-24,38.1,38.8,38.1,38.8,38.8,2015
2023-03-27,39.2,39.5,38.2,38.8,38.8,10059
2023-03-28,38.2,39.2,38.2,38.8,38.8,1377
2023-03-29,38.5,38.5,37.0,38.0,38.0,2637
2023-03-30,38.0,38.5,37.6,38.0,38.0,3063
2023-03-31,38.2,38.9,38.1,38.3,38.3,3063
2023-04-03,38.3,39.7,38.0,38.0,38.0,4914
2023-04-04,38.0,38.9,38.0,38.9,38.9,3594
2023-04-05,38.8,38.8,38.4,38.4,38.4,807
2023-04-06,38.1,39.6,38.1,39.6,39.6,2345
2023-04-11,39.5,39.7,38.4,39.7,39.7,5512
2023-04-12,39.9,42.9,39.9,40.5,40.5,31419
2023-04-13,41.0,41.0,39.1,39.8,39.8,6800
2023-04-14,39.8,40.3,39.0,39.8,39.8,4570
2023-04-17,39.6,40.5,39.5,40.0,40.0,2631
2023-04-18,40.3,40.5,40.0,40.2,40.2,5013
2023-04-19,40.0,42.9,40.0,42.6,42.6,10701
2023-04-20,42.5,44.0,42.0,43.3,43.3,186923
2023-04-21,43.3,43.5,42.0,43.0,43.0,1727
