Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-18,19.52,19.66,19.28,19.28,19.28,40184
2022-11-21,19.5,19.5,18.9,19.0,19.0,41923
2022-11-22,19.0,19.68,18.7,19.52,19.52,48749
2022-11-23,19.52,20.2,19.46,19.9,19.9,53722
2022-11-24,19.9,20.2,19.6,19.7,19.7,29203
2022-11-25,19.9,20.1,19.32,20.1,20.1,35316
2022-11-28,20.2,20.2,19.62,19.74,19.74,27602
2022-11-29,19.74,19.98,19.5,19.52,19.52,44262
2022-11-30,19.5,20.75,19.5,20.4,20.4,75600
2022-12-01,20.4,21.35,20.05,20.9,20.9,87844
2022-12-02,21.0,21.2,20.5,20.85,20.85,86199
2022-12-05,21.1,21.1,20.5,20.5,20.5,51134
2022-12-06,20.5,20.55,19.92,20.4,20.4,45629
2022-12-07,20.3,21.3,20.05,20.9,20.9,94269
2022-12-08,20.9,21.0,20.5,20.6,20.6,34624
2022-12-09,20.7,22.15,20.65,21.65,21.65,184047
2022-12-12,21.9,22.15,21.0,21.15,21.15,75924
2022-12-13,21.15,21.7,20.8,20.9,20.9,66238
2022-12-14,20.8,21.45,20.8,21.05,21.05,28830
2022-12-15,21.25,21.4,20.6,20.7,20.7,42007
2022-12-16,20.5,20.8,19.88,20.1,20.1,74301
2022-12-19,19.92,20.6,19.46,20.15,20.15,69822
2022-12-20,20.45,20.7,20.0,20.65,20.65,50337
2022-12-21,20.7,21.0,20.15,20.2,20.2,46743
2022-12-22,20.4,20.6,20.0,20.0,20.0,35259
2022-12-23,20.0,20.25,19.52,19.6,19.6,84571
2022-12-27,19.6,20.05,19.52,19.6,19.6,36365
2022-12-28,19.6,19.82,19.2,19.32,19.32,67977
2022-12-29,19.26,19.8,19.26,19.6,19.6,30527
2022-12-30,19.6,20.3,19.42,19.6,19.6,66071
2023-01-02,20.0,20.0,19.4,19.68,19.68,83914
2023-01-03,19.68,20.6,19.58,20.05,20.05,103635
2023-01-04,20.25,20.4,19.78,19.82,19.82,73342
2023-01-05,19.9,20.3,19.64,19.82,19.82,102365
2023-01-09,20.2,20.6,20.1,20.3,20.3,93491
2023-01-10,20.3,21.25,20.2,21.1,21.1,91700
2023-01-11,21.2,21.5,20.8,20.85,20.85,58782
2023-01-12,21.0,21.4,20.15,20.4,20.4,103159
2023-01-13,20.5,20.55,20.15,20.15,20.15,59770
2023-01-16,20.3,21.35,20.3,21.3,21.3,110503
2023-01-17,21.4,22.3,21.3,21.65,21.65,167003
