Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-20,3.46,3.477,3.372,3.42,3.42,1583534
2022-07-21,3.389,3.44,3.35,3.353,3.353,854165
2022-07-22,3.418,3.418,3.36,3.4,3.4,482156
2022-07-25,3.399,3.405,3.324,3.33,3.33,943363
2022-07-26,3.3,3.355,3.197,3.264,3.264,1986219
2022-07-27,3.225,3.317,3.171,3.216,3.216,2231724
2022-07-28,3.21,3.237,3.166,3.183,3.183,1287058
2022-07-29,3.183,3.285,3.183,3.262,3.262,1562184
2022-08-01,3.247,3.279,3.21,3.214,3.214,832402
2022-08-02,3.2,3.266,3.143,3.144,3.144,1901655
2022-08-03,3.144,3.189,3.112,3.176,3.176,1304707
2022-08-04,3.18,3.182,3.071,3.071,3.071,1890817
2022-08-05,3.071,3.159,3.071,3.117,3.117,1006532
2022-08-08,3.117,3.192,3.086,3.162,3.162,730342
2022-08-09,3.16,3.169,3.025,3.036,3.036,1979531
2022-08-10,3.059,3.083,2.982,2.997,2.997,2354098
2022-08-11,3.0,3.047,2.962,3.032,3.032,1945325
2022-08-12,3.128,3.128,3.037,3.054,3.054,947658
2022-08-16,3.054,3.078,2.983,2.983,2.983,1776849
2022-08-17,2.99,3.029,2.892,2.912,2.912,1818851
2022-08-18,2.911,2.912,2.685,2.731,2.731,5225453
2022-08-19,2.731,2.775,2.611,2.638,2.638,3277288
2022-08-22,2.641,2.668,2.532,2.58,2.58,2907281
2022-08-23,2.599,2.676,2.563,2.603,2.603,2303708
2022-08-24,2.646,2.646,2.526,2.587,2.587,3473315
2022-08-25,2.6,2.639,2.561,2.576,2.576,3809493
2022-08-26,2.55,2.589,2.435,2.45,2.45,3514692
2022-08-29,2.432,2.432,2.34,2.41,2.41,4667020
2022-08-30,2.433,2.475,2.28,2.293,2.293,2687755
2022-08-31,2.32,2.339,2.239,2.308,2.308,3515954
2022-09-01,2.308,2.317,2.247,2.254,2.254,4303069
2022-09-02,2.254,2.4,2.246,2.365,2.365,3964864
2022-09-05,2.441,2.454,2.32,2.449,2.449,2413638
2022-09-06,2.449,2.47,2.294,2.34,2.34,3282772
2022-09-07,2.321,2.42,2.27,2.376,2.376,3983870
2022-09-08,2.449,2.48,2.36,2.41,2.41,2078562
2022-09-09,2.4,2.524,2.395,2.509,2.509,2302278
2022-09-12,2.511,2.513,2.393,2.41,2.41,1806104
2022-09-13,2.454,2.456,2.364,2.407,2.407,1609763
2022-09-14,2.388,2.44,2.362,2.426,2.426,1883560
2022-09-15,2.439,2.502,2.33,2.334,2.334,3777345
2022-09-16,2.332,2.359,2.273,2.298,2.298,5286147
2022-09-19,2.349,2.375,2.285,2.346,2.346,1354134
2022-09-20,2.371,2.388,2.31,2.34,2.34,639236
2022-09-21,2.29,2.338,2.28,2.315,2.315,1098955
2022-09-22,2.34,2.415,2.306,2.4,2.4,1814689
2022-09-23,2.37,2.398,2.302,2.347,2.347,1227802
2022-09-26,2.305,2.307,2.125,2.176,2.176,5181907
2022-09-27,2.191,2.225,2.112,2.14,2.14,2269681
2022-09-28,2.15,2.181,2.02,2.16,2.16,2525828
2022-09-29,2.174,2.178,2.045,2.079,2.079,1668798
2022-09-30,2.06,2.108,2.02,2.027,2.027,2173686
2022-10-03,2.03,2.149,2.011,2.13,2.13,2526494
2022-10-04,2.15,2.219,2.08,2.115,2.115,2158476
2022-10-05,2.12,2.149,2.087,2.105,2.105,1055877
2022-10-06,2.121,2.151,2.091,2.125,2.125,997362
2022-10-07,2.119,2.164,2.096,2.14,2.14,2182863
2022-10-10,2.142,2.142,2.002,2.003,2.003,2924523
2022-10-11,2.006,2.08,1.94,2.013,2.013,3168124
2022-10-12,2.021,2.075,1.9995,2.053,2.053,2188601
2022-10-13,2.053,2.053,1.9605,1.9985,1.9985,2610182
2022-10-14,2.04,2.05,1.965,1.977,1.977,2462319
2022-10-17,1.978,2.04,1.978,1.9885,1.9885,1668274
2022-10-18,2.001,2.019,1.8655,1.887,1.887,3853371
