Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-29,57.29,57.43,56.26,56.65,56.65,5943
2022-08-30,57.0,57.58,55.77,55.9,55.9,2183
2022-08-31,55.82,56.61,55.5,56.38,56.38,6411
2022-09-01,56.34,56.34,55.43,55.55,55.55,4290
2022-09-02,56.08,56.53,55.74,56.53,56.53,7771
2022-09-05,56.51,56.82,55.87,56.64,56.64,1885
2022-09-06,56.91,57.27,55.9,56.49,56.49,3951
2022-09-07,56.38,56.89,55.62,56.84,56.84,3647
2022-09-08,57.17,57.65,57.0,57.37,57.37,7714
2022-09-09,57.56,58.76,57.56,58.54,58.54,7418
2022-09-12,59.0,59.12,58.4,58.52,58.52,4001
2022-09-13,59.03,59.03,57.14,57.15,57.15,11730
2022-09-14,57.26,57.56,56.8,57.17,57.17,1568
2022-09-15,57.47,58.31,57.2,58.31,58.31,1449
2022-09-16,57.27,57.27,55.5,55.6,55.6,7871
2022-09-19,55.71,55.96,55.4,55.96,55.96,5502
2022-09-20,56.35,56.48,55.0,55.22,55.22,2126
2022-09-21,55.2,55.2,54.5,55.04,55.04,6816
2022-09-22,55.0,55.41,54.75,55.35,55.35,1261
2022-09-23,55.35,55.35,53.69,53.89,53.89,7384
2022-09-26,53.25,53.53,52.0,53.0,53.0,7612
2022-09-27,52.98,53.52,52.71,53.15,53.15,4336
2022-09-28,52.99,52.99,51.66,52.67,52.67,4542
2022-09-29,53.24,53.24,51.26,51.33,51.33,3728
2022-09-30,51.67,52.09,51.24,52.03,52.03,2394
2022-10-03,52.03,52.73,51.2,52.73,52.73,4133
2022-10-04,53.53,54.2,53.34,54.2,54.2,3271
2022-10-05,54.52,54.52,53.12,53.12,53.12,2256
2022-10-06,53.67,54.08,53.26,53.59,53.59,2856
2022-10-07,53.66,53.74,53.03,53.23,53.23,1497
2022-10-10,52.66,52.89,52.13,52.13,52.13,2737
2022-10-11,52.07,52.94,52.0,52.41,52.41,4200
2022-10-12,52.67,53.01,52.41,52.59,52.59,5588
2022-10-13,52.9,53.0,51.64,52.4,52.4,2396
2022-10-14,53.74,53.74,52.7,52.7,52.7,3184
2022-10-17,53.12,53.25,52.33,53.25,53.25,3159
2022-10-18,53.56,53.76,53.0,53.27,53.27,1989
2022-10-19,53.27,53.3,52.33,52.41,52.41,1928
2022-10-20,52.3,53.19,52.2,53.19,53.19,2096
2022-10-21,53.08,53.22,51.7,52.12,52.12,3310
2022-10-24,53.05,53.11,52.27,52.59,52.59,4989
2022-10-25,53.02,53.47,52.68,53.22,53.22,3130
2022-10-26,53.22,54.35,53.03,54.35,54.35,4018
2022-10-27,54.65,54.9,54.09,54.78,54.78,2605
2022-10-28,54.63,55.12,53.99,55.12,55.12,3435
2022-10-31,55.33,55.86,55.27,55.8,55.8,8012
2022-11-02,56.51,58.26,55.99,56.12,56.12,9365
2022-11-03,55.5,56.04,55.5,55.81,55.81,5586
2022-11-04,56.6,57.31,56.06,56.94,56.94,8804
2022-11-07,57.65,58.72,57.51,57.61,57.61,4048
2022-11-08,57.86,58.0,57.26,57.65,57.65,5613
2022-11-09,57.88,57.96,57.27,57.31,57.31,4101
2022-11-10,57.31,58.18,56.54,58.01,58.01,6991
2022-11-14,59.02,59.39,58.27,58.82,58.82,12371
2022-11-15,59.22,59.23,58.1,58.63,58.63,4309
2022-11-16,58.0,58.6,57.61,58.22,58.22,6552
2022-11-17,58.21,58.21,57.04,57.58,57.58,3706
2022-11-18,57.98,58.58,57.4,58.24,58.24,4487
2022-11-21,58.4,58.4,57.37,57.37,57.37,3457
2022-11-22,57.43,58.52,57.42,58.34,58.34,4538
2022-11-23,58.27,58.9,58.16,58.38,58.38,3684
2022-11-24,58.48,58.87,58.43,58.83,58.83,3022
2022-11-25,59.32,59.77,58.87,59.5,59.5,3817
2022-11-28,59.42,59.73,59.18,59.66,59.66,2404
