Date,Open,High,Low,Close,Adjusted_close,Volume
2022-01-26,57.2,59.2,57.2,58.6,50.6502,2803
2022-01-27,58.4,58.8,57.2,58.0,50.1316,3501
2022-01-28,58.0,58.6,56.4,57.0,49.2672,10860
2022-01-31,57.6,57.8,56.4,57.4,49.613,1304
2022-02-01,60.0,65.8,59.8,65.8,56.8734,63671
2022-02-02,65.8,67.0,63.0,65.6,56.7005,18999
2022-02-03,67.0,67.0,65.2,66.6,57.5649,9438
2022-02-04,66.4,67.4,66.2,67.2,58.0835,5580
2022-02-07,67.0,67.0,64.4,65.2,56.3548,7403
2022-02-08,65.4,66.4,64.4,66.2,57.2191,3806
2022-02-09,66.2,67.6,66.0,67.0,57.9106,10269
2022-02-10,67.2,67.2,66.0,66.8,57.7377,2598
2022-02-11,67.0,67.4,66.6,67.2,58.0835,11520
2022-02-14,67.0,67.0,65.0,67.0,57.9106,10190
2022-02-15,65.4,67.6,65.4,67.6,58.4292,7793
2022-02-16,67.8,69.4,67.8,68.8,59.4664,37885
2022-02-17,68.4,69.0,66.8,66.8,57.7377,9879
2022-02-18,66.8,67.8,66.8,67.4,58.2563,16058
2022-02-21,67.4,67.8,64.2,67.0,57.9106,4631
2022-02-22,66.0,67.2,66.0,66.8,57.7377,11331
2022-02-23,66.8,67.4,65.2,65.2,56.3548,1969
2022-02-24,62.0,62.4,58.0,60.0,51.8602,34798
2022-02-25,61.0,63.0,59.6,60.0,51.8602,22912
2022-02-28,60.0,62.8,59.4,61.0,52.7246,13804
2022-03-01,63.0,64.4,60.6,61.0,52.7246,8058
2022-03-02,61.0,65.0,59.0,62.4,53.9346,48232
2022-03-03,64.6,65.0,61.8,62.6,54.1075,35430
2022-03-04,64.2,64.2,61.2,61.6,53.2432,37162
2022-03-07,61.6,62.0,60.2,60.6,52.3788,23934
2022-03-08,60.4,63.8,58.0,59.4,51.3416,17075
2022-03-09,59.0,61.6,59.0,60.0,51.8602,8587
2022-03-10,60.6,61.0,59.8,61.0,52.7246,5859
2022-03-11,61.6,64.2,61.6,63.6,54.9718,11989
2022-03-14,64.4,65.8,63.4,64.0,55.3176,7395
2022-03-15,64.6,65.2,63.0,64.8,56.009,6685
2022-03-16,68.0,70.4,66.8,69.0,59.6393,47226
2022-03-17,69.6,72.2,69.6,71.0,61.3679,16341
2022-03-18,71.4,71.8,70.4,71.0,61.3679,21752
2022-03-21,71.0,71.0,70.0,70.8,61.1951,7530
2022-03-22,70.8,74.4,70.4,74.0,63.961,13089
2022-03-23,74.0,75.2,73.6,74.6,64.4796,9477
2022-03-24,74.6,75.0,73.4,74.0,63.961,2727
2022-03-25,74.0,76.6,73.0,76.6,66.2082,8639
2022-03-28,77.0,77.8,76.2,77.6,67.0726,12797
2022-03-29,77.0,77.0,74.4,74.6,64.4796,8193
2022-03-30,76.2,76.2,72.2,74.8,64.6524,11533
2022-03-31,74.0,74.8,73.4,74.0,63.961,5369
2022-04-01,74.0,75.6,73.6,73.8,63.7881,8095
2022-04-04,73.8,75.2,72.8,74.8,64.6524,12380
2022-04-05,74.6,74.6,73.4,74.0,63.961,9034
2022-04-06,73.2,73.6,71.8,73.2,63.2695,13949
2022-04-07,72.6,73.8,71.0,73.8,63.7881,9734
2022-04-08,73.0,74.0,73.0,73.2,63.2695,1487
2022-04-11,73.8,73.8,71.4,71.4,61.7137,4676
2022-04-12,71.4,73.4,71.4,73.0,63.0966,2248
2022-04-13,73.0,74.0,72.0,74.0,63.961,5029
2022-04-14,74.0,76.0,73.2,75.6,65.3439,6712
2022-04-19,75.8,76.0,73.5,75.6,65.3439,4248
2022-04-20,75.6,77.2,75.4,76.8,66.3811,8848
2022-04-21,76.2,76.7,73.3,73.4,63.4423,11444
2022-04-22,74.7,74.9,73.4,73.5,63.5288,5048
2022-04-25,73.2,74.0,70.1,73.7,63.7016,11578
2022-04-26,74.0,74.0,71.4,72.0,62.2323,13517
2022-04-27,64.9,65.6,62.9,64.0,61.0869,10370
2022-04-28,64.0,65.9,62.3,65.3,62.3277,4332
2022-04-29,70.0,70.9,69.1,70.0,66.8138,136322
2022-05-02,70.0,70.8,69.6,70.4,67.1956,9650
2022-05-04,70.4,70.4,69.0,69.6,66.432,7791
2022-05-05,69.2,70.4,69.2,70.1,66.9092,38169
2022-05-06,69.5,69.8,69.0,69.8,66.6229,79492
2022-05-09,69.1,69.1,67.7,68.4,65.2866,9007
2022-05-10,68.5,68.8,68.5,68.7,65.573,37292
2022-05-11,68.5,68.9,68.5,68.9,65.7639,4164
2022-05-12,68.5,68.7,68.1,68.2,65.0957,6128
2022-05-13,68.2,68.5,68.0,68.4,65.2866,4015
2022-05-16,68.2,68.4,68.0,68.1,65.0003,10193
2022-05-17,68.1,68.3,67.7,68.2,65.0957,12865
2022-05-18,68.1,68.4,67.7,67.9,64.8094,7519
2022-05-19,67.9,68.0,66.8,67.1,64.0458,32771
2022-05-20,66.9,67.4,66.9,67.4,64.3321,32348
2022-05-23,67.3,67.8,67.1,67.8,64.7139,2441
2022-05-24,67.9,68.2,67.5,68.2,65.0957,5704
2022-05-25,68.2,68.5,68.0,68.4,65.2866,2177
2022-05-26,68.2,68.3,68.0,68.3,65.1912,5945
2022-05-27,68.3,68.3,68.1,68.3,65.1912,1327
2022-05-30,68.3,68.4,68.1,68.2,65.0957,3467
2022-05-31,68.2,68.3,68.1,68.3,65.1912,2638
2022-06-01,68.7,68.7,68.1,68.3,65.1912,2695
2022-06-02,68.1,68.9,68.0,68.3,65.1912,52668
2022-06-03,68.4,68.4,68.2,68.4,65.2866,1947
2022-06-06,68.4,68.6,68.3,68.5,65.3821,8168
2022-06-07,68.6,68.6,68.4,68.5,65.3821,16388
2022-06-08,68.5,68.6,68.5,68.5,65.3821,12706
2022-06-09,68.5,68.9,67.8,68.5,65.3821,11185
2022-06-10,68.1,68.5,68.1,68.5,65.3821,8501
2022-06-13,68.3,68.4,68.2,68.4,65.2866,2652
2022-06-14,68.1,68.4,68.1,68.3,65.1912,3098
2022-06-15,68.3,68.3,68.0,68.0,64.9048,17678
2022-06-17,68.1,68.1,67.5,67.9,64.8094,4839
2022-06-20,67.7,68.0,67.6,67.9,64.8094,1230
2022-06-21,67.8,68.0,67.6,67.8,64.7139,14306
2022-06-22,67.8,68.1,67.6,68.1,65.0003,14777
2022-06-23,68.1,68.5,68.0,68.2,65.0957,15770
2022-06-24,68.2,68.5,68.0,68.3,65.1912,10145
2022-06-27,68.1,68.5,68.1,68.5,65.3821,4354
2022-06-28,68.5,68.6,68.4,68.4,65.2866,5061
2022-06-29,68.6,69.5,68.4,69.5,66.3366,7022
2022-06-30,68.4,69.0,68.4,69.0,65.8593,2927
2022-07-01,68.5,69.0,68.4,68.5,65.3821,2606
2022-07-04,68.5,68.8,67.6,68.1,65.0003,16757
2022-07-05,67.8,68.0,67.4,67.5,64.4276,6351
2022-07-06,67.5,67.8,66.3,67.8,64.7139,2082
2022-07-07,67.1,67.9,67.1,67.9,64.8094,3975
2022-07-08,67.6,67.8,67.2,67.8,64.7139,1330
2022-07-11,67.2,67.5,67.0,67.5,64.4276,3996
2022-07-12,66.5,67.2,66.5,67.2,64.1412,29219
2022-07-13,67.0,67.2,66.7,67.1,64.0458,911
2022-07-14,66.8,67.2,66.7,67.0,63.9503,5058
2022-07-15,67.0,67.4,66.8,67.0,63.9503,1950
2022-07-18,67.0,68.0,67.0,68.0,64.9048,1973
2022-07-19,67.0,68.4,67.0,68.4,65.2866,3154
2022-07-20,68.1,68.3,67.3,68.3,65.1912,2420
2022-07-21,68.6,69.2,68.2,68.9,65.7639,7239
2022-07-22,68.8,68.8,68.2,68.8,65.6684,1093
2022-07-25,68.8,69.0,68.2,68.4,65.2866,582
2022-07-26,68.8,68.8,68.2,68.8,65.6684,1771
2022-07-27,68.4,69.0,68.2,68.8,65.6684,446
2022-07-28,68.5,68.8,68.4,68.8,65.6684,2119
2022-07-29,68.6,69.0,68.4,69.0,65.8593,2466
2022-08-01,68.6,69.2,68.6,69.2,66.0502,3050
2022-08-02,69.2,69.2,68.8,68.9,65.7639,315
2022-08-03,68.6,69.9,68.6,69.9,66.7183,2264
2022-08-04,69.8,69.8,69.0,69.8,66.6229,1082
2022-08-05,69.8,69.8,69.0,69.5,66.3366,878
2022-08-08,68.7,69.9,68.7,69.9,66.7183,495
2022-08-09,69.9,69.9,69.1,69.6,66.432,253
2022-08-10,69.7,69.7,69.0,69.5,66.3366,161
2022-08-11,68.7,69.3,68.5,69.0,65.8593,1429
2022-08-12,69.0,69.7,68.6,69.7,66.5274,880
2022-08-16,69.7,69.7,68.7,68.8,65.6684,1273
2022-08-17,69.7,69.7,68.5,69.0,65.8593,2193
