Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-08,23.0,23.79,22.56,23.03,23.03,40310
2022-12-09,23.57,23.58,22.86,23.35,23.35,22635
2022-12-12,23.4,23.4,22.78,23.09,23.09,23240
2022-12-13,23.24,24.34,23.11,23.89,23.89,74127
2022-12-14,23.86,24.42,23.5,23.5,23.5,62868
2022-12-15,23.4,23.47,22.09,22.42,22.42,60462
2022-12-16,22.0,22.12,21.35,21.38,21.38,108626
2022-12-19,21.4,22.37,21.4,21.91,21.91,46028
2022-12-20,21.72,21.97,21.5,21.69,21.69,34422
2022-12-21,21.7,21.79,21.37,21.5,21.5,37855
2022-12-22,21.3,21.38,20.42,20.51,20.51,159246
2022-12-23,20.52,20.97,20.5,20.87,20.87,39898
2022-12-27,20.9,20.98,20.11,20.23,20.23,152961
2022-12-28,20.2,20.2,19.84,19.98,19.98,190341
2022-12-29,19.85,21.37,19.85,21.1,21.1,62363
2022-12-30,21.29,21.4,20.7,21.0,21.0,59417
2023-01-02,21.06,21.46,20.95,21.32,21.32,30600
2023-01-03,21.39,22.1,21.13,21.42,21.42,85285
2023-01-04,21.59,21.73,21.24,21.7,21.7,48635
2023-01-05,21.83,23.49,21.81,22.68,22.68,224061
2023-01-09,23.0,23.1,21.93,22.7,22.7,98345
2023-01-10,22.64,22.76,22.14,22.28,22.28,31232
2023-01-11,22.2,22.57,22.11,22.39,22.39,37239
2023-01-12,22.39,22.39,21.38,21.67,21.67,66416
2023-01-13,21.69,21.88,21.2,21.87,21.87,34585
2023-01-16,22.0,22.0,21.6,21.6,21.6,21454
2023-01-17,21.65,21.65,21.26,21.42,21.42,21665
2023-01-18,21.44,22.75,21.44,22.1,22.1,83100
2023-01-19,22.0,22.14,21.3,21.4,21.4,56633
2023-01-20,21.4,21.94,21.4,21.72,21.72,18855
2023-01-23,21.85,22.37,21.75,22.28,22.28,37442
2023-01-24,22.07,22.6,21.72,21.9,21.9,59711
2023-01-25,21.91,22.0,21.62,21.93,21.93,20524
2023-01-26,21.99,22.4,21.74,21.92,21.92,30578
2023-01-27,24.0,24.9,23.25,24.2,24.2,544201
2023-01-30,24.0,24.14,22.9,23.06,23.06,108928
2023-01-31,23.11,23.49,22.64,23.07,23.07,40808
2023-02-01,23.32,23.32,22.6,22.64,22.64,33304
2023-02-02,22.85,23.19,22.7,23.01,23.01,41708
2023-02-03,23.05,23.35,22.2,22.9,22.9,58953
2023-02-06,22.93,23.8,22.3,23.0,23.0,86713
2023-02-07,23.39,23.39,22.45,22.7,22.7,35608
2023-02-08,23.24,23.49,22.67,22.68,22.68,117596
2023-02-09,23.19,23.29,22.76,23.0,23.0,53590
2023-02-10,22.9,23.0,22.22,22.47,22.47,55772
2023-02-13,22.5,22.7,21.9,21.96,21.96,51375
2023-02-14,22.18,22.19,21.55,21.57,21.57,31820
2023-02-15,21.7,21.85,21.47,21.52,21.52,30760
2023-02-16,21.72,21.97,21.58,21.75,21.75,11393
2023-02-17,21.7,21.9,21.48,21.6,21.6,21015
2023-02-20,21.83,22.49,21.6,22.3,22.3,22859
2023-02-21,22.4,22.53,21.98,22.46,22.46,21255
2023-02-22,22.35,22.35,21.7,21.79,21.79,20906
2023-02-23,21.8,22.19,21.61,21.7,21.7,14350
2023-02-24,21.93,22.18,21.63,21.78,21.78,14889
2023-02-27,21.79,21.97,21.58,21.61,21.61,18099
2023-02-28,21.71,22.13,21.5,21.71,21.71,19575
2023-03-01,21.22,21.22,20.32,20.69,20.69,216238
2023-03-02,20.5,20.75,20.21,20.4,20.4,79834
2023-03-03,20.41,20.67,20.2,20.49,20.49,36979
2023-03-06,20.7,21.3,20.6,20.66,20.66,42663
2023-03-07,20.75,21.19,20.43,20.51,20.51,40032
2023-03-08,20.58,20.77,20.42,20.69,20.69,23741
2023-03-09,20.65,20.74,20.38,20.39,20.39,30834
2023-03-10,20.27,20.54,20.0,20.1,20.1,45543
2023-03-13,20.38,20.44,19.1,19.5,19.5,112484
2023-03-14,19.305,19.99,19.085,19.7,19.7,75157
2023-03-15,19.705,19.745,18.5,18.88,18.88,106987
2023-03-16,18.88,18.995,18.22,18.56,18.56,83469
2023-03-17,18.795,19.08,18.195,18.2,18.2,48098
2023-03-20,18.2,18.49,17.48,18.02,18.02,52187
2023-03-21,18.0,18.45,17.9,18.18,18.18,21441
2023-03-22,18.25,18.385,17.77,17.935,17.935,20628
2023-03-23,17.85,18.0,17.405,17.5,17.5,38229
