Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-17,89.78,90.88,87.1,90.6,89.8634,469601
2022-10-18,91.1,92.3,89.32,90.22,89.4865,708843
2022-10-19,89.0,89.78,87.62,88.54,87.8202,450533
2022-10-20,88.74,92.4,88.0,92.08,91.3314,410401
2022-10-21,90.58,90.66,88.28,89.84,89.1096,470597
2022-10-24,90.9,91.5,89.1,90.0,89.2683,564383
2022-10-25,90.5,91.36,87.98,90.88,90.1411,595938
2022-10-26,91.0,95.38,90.4,95.38,94.6046,607128
2022-10-27,95.0,96.34,93.12,96.34,95.5567,576685
2022-10-28,93.5,95.44,92.1,94.72,93.9499,825115
2022-10-31,94.36,96.28,93.7,95.66,94.8823,1236150
2022-11-02,97.12,101.75,96.68,98.74,97.9372,1249178
2022-11-03,96.8,97.6,94.6,97.6,96.8065,745353
2022-11-04,99.9,109.9,99.8,109.0,108.1138,1843199
2022-11-07,108.95,114.15,107.0,109.75,108.8577,1152615
2022-11-08,109.45,113.9,109.1,113.9,112.974,561033
2022-11-09,113.7,115.8,112.2,114.6,113.6683,603556
2022-11-10,113.55,118.9,109.9,118.9,117.9333,799862
2022-11-14,122.25,128.2,122.25,127.2,126.1659,1655150
2022-11-15,128.85,129.75,121.35,124.75,123.7358,942534
2022-11-16,121.0,124.65,118.0,122.6,121.6033,827321
2022-11-17,123.0,124.4,115.1,115.1,114.1642,815909
2022-11-18,115.6,117.2,112.5,113.95,113.0236,827801
2022-11-21,113.0,113.0,109.7,109.7,108.8081,580128
2022-11-22,110.0,116.3,110.0,114.35,113.4203,799764
2022-11-23,116.0,117.0,114.5,115.4,114.4618,544764
2022-11-24,116.7,117.0,115.5,117.0,116.0488,368657
2022-11-25,116.9,117.2,115.1,115.6,114.6602,402385
2022-11-28,114.4,114.65,112.4,112.4,111.4862,566797
2022-11-29,113.3,116.75,113.15,115.4,114.4618,878570
2022-11-30,115.2,120.0,112.6,115.8,114.8585,1926801
2022-12-01,119.8,120.9,116.8,119.95,118.9748,775596
2022-12-02,119.85,119.85,116.25,118.2,117.239,467500
2022-12-05,118.85,123.35,118.85,121.25,120.2642,557707
2022-12-06,120.0,120.95,117.6,120.4,119.4211,479045
2022-12-07,118.8,120.65,117.6,120.15,119.1732,384171
2022-12-08,120.5,122.5,118.8,122.2,121.2065,418469
2022-12-09,123.5,123.7,120.95,121.55,120.5618,669537
2022-12-12,121.5,121.5,119.05,120.5,119.5203,761227
2022-12-13,121.0,129.1,119.35,127.8,126.761,1195448
2022-12-14,127.5,129.6,126.0,128.25,127.2073,895985
2022-12-15,125.75,126.9,124.0,125.95,124.926,724262
2022-12-16,124.0,126.7,121.55,124.35,123.339,1272461
2022-12-19,125.0,126.25,123.8,123.8,122.7935,219774
2022-12-20,122.1,125.8,121.35,125.6,124.5789,450285
2022-12-21,125.95,128.7,125.1,128.7,127.6537,346212
2022-12-22,127.9,128.4,123.55,123.8,122.7935,599266
2022-12-23,123.5,125.25,122.4,124.1,123.0911,320225
2022-12-27,127.0,127.35,125.05,125.4,124.3805,317322
2022-12-28,125.3,127.15,124.7,125.35,124.3309,343369
2022-12-29,125.8,129.45,124.5,128.35,127.3065,414633
2022-12-30,127.7,128.45,126.35,126.75,125.7195,268390
2023-01-02,126.75,128.5,126.75,127.65,126.6122,89041
2023-01-03,128.1,132.05,128.1,130.5,129.439,587431
2023-01-04,131.0,132.85,129.05,132.5,131.4228,520586
2023-01-05,132.0,138.7,130.95,136.5,135.3902,607072
2023-01-09,141.5,148.1,141.0,148.1,146.8959,1182731
2023-01-10,146.9,150.85,144.0,150.85,149.6236,931450
2023-01-11,151.9,154.7,149.3,150.55,149.326,798722
2023-01-12,150.8,154.7,149.8,151.1,149.8715,677410
2023-01-13,151.0,154.4,150.2,153.8,152.5496,508019
2023-01-16,154.0,154.25,149.0,150.3,149.078,534573
2023-01-17,149.1,151.8,147.95,148.85,147.6398,615879
2023-01-18,151.0,153.75,149.25,152.65,151.4089,691668
2023-01-19,149.6,149.6,143.8,146.4,145.2098,899407
2023-01-20,147.0,148.15,144.5,144.5,143.3252,419638
2023-01-23,146.0,151.15,146.0,147.8,146.5984,674230
2023-01-24,149.75,152.6,147.0,148.7,147.4911,620394
2023-01-25,148.0,151.05,146.95,148.15,146.9455,451712
2023-01-26,150.0,151.0,148.7,149.25,148.0366,402806
2023-01-27,149.7,150.25,146.2,146.2,145.0114,405137
2023-01-30,145.8,145.8,142.65,143.7,142.5317,571111
2023-01-31,142.5,143.0,139.15,140.65,139.5065,1056463
2023-02-01,141.0,142.1,138.25,138.85,137.7211,556160
2023-02-02,140.05,144.9,138.2,141.45,140.3,1074310
2023-02-03,140.0,140.0,135.2,137.75,136.6301,892407
