Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-17,6.7,6.7,6.66,6.66,6.66,9742
2022-08-18,6.7,6.8,6.66,6.74,6.74,13933
2022-08-19,6.8,6.8,6.66,6.68,6.68,14813
2022-08-22,6.68,6.8,6.66,6.72,6.72,12316
2022-08-23,6.76,6.76,6.64,6.68,6.68,23560
2022-08-24,6.68,6.76,6.66,6.7,6.7,17740
2022-08-25,6.66,6.76,6.66,6.7,6.7,4967
2022-08-26,6.7,6.74,6.6,6.72,6.72,43557
2022-08-29,6.7,6.7,6.54,6.56,6.56,39619
2022-08-30,6.62,6.66,6.5,6.62,6.62,19308
2022-08-31,6.6,6.6,6.5,6.56,6.56,25147
2022-09-01,6.52,6.56,6.4,6.4,6.4,40913
2022-09-02,6.6,6.6,6.42,6.5,6.5,11780
2022-09-05,6.52,6.54,6.4,6.46,6.46,13930
2022-09-06,6.48,6.48,6.32,6.38,6.38,34061
2022-09-07,6.38,6.4,6.26,6.3,6.3,35169
2022-09-08,6.26,6.4,6.26,6.32,6.32,11271
2022-09-09,6.28,6.46,6.28,6.4,6.4,34897
2022-09-12,6.58,6.58,6.26,6.36,6.36,38605
2022-09-13,6.36,6.38,6.22,6.22,6.22,33377
2022-09-14,6.4,6.4,6.2,6.22,6.22,27761
2022-09-15,6.24,6.32,6.22,6.24,6.24,16735
2022-09-16,6.2,6.2,6.14,6.2,6.2,52993
2022-09-19,6.18,6.32,6.16,6.3,6.3,12438
2022-09-20,6.24,6.4,6.2,6.3,6.3,17654
2022-09-21,6.28,6.3,6.18,6.26,6.26,8494
2022-09-22,6.18,6.26,6.18,6.26,6.26,18664
2022-09-23,6.28,6.3,6.18,6.26,6.26,7376
2022-09-26,6.18,6.24,5.9,6.1,6.1,56462
2022-09-27,6.18,6.2,6.04,6.16,6.16,11258
2022-09-28,6.14,6.44,6.02,6.44,6.44,25261
2022-09-29,6.34,6.54,6.3,6.54,6.54,35495
2022-09-30,6.54,6.64,6.4,6.64,6.64,23659
2022-10-03,6.6,6.68,6.46,6.64,6.64,33349
2022-10-04,6.68,6.68,6.44,6.58,6.58,18525
2022-10-05,6.6,6.7,6.56,6.64,6.64,24437
2022-10-06,6.64,6.68,6.56,6.64,6.64,14297
2022-10-07,6.68,6.68,6.56,6.66,6.66,8270
2022-10-10,6.66,6.66,6.4,6.5,6.5,20819
2022-10-11,6.5,6.5,6.36,6.38,6.38,26217
2022-10-12,6.4,6.5,6.32,6.42,6.42,5738
2022-10-13,6.42,6.48,6.34,6.4,6.4,4096
2022-10-14,6.48,6.5,6.38,6.38,6.38,4828
2022-10-17,6.5,6.5,6.34,6.36,6.36,2637
2022-10-18,6.38,6.42,6.28,6.4,6.4,26102
2022-10-19,6.4,6.4,6.24,6.36,6.36,11652
2022-10-20,6.34,6.34,6.2,6.2,6.2,9562
2022-10-21,6.38,6.38,6.04,6.08,6.08,34501
2022-10-24,6.1,6.2,6.06,6.18,6.18,12547
2022-10-25,6.18,6.38,6.12,6.2,6.2,9188
2022-10-26,6.16,6.38,6.1,6.2,6.2,10707
2022-10-27,6.18,6.2,6.12,6.2,6.2,9217
2022-10-28,6.2,6.4,6.14,6.4,6.4,14758
2022-10-31,6.4,6.44,6.3,6.38,6.38,25288
2022-11-02,6.38,6.38,6.26,6.38,6.38,9708
2022-11-03,6.38,6.48,6.28,6.4,6.4,11242
2022-11-04,6.32,6.4,6.28,6.4,6.4,29290
2022-11-07,6.36,6.58,6.34,6.5,6.5,49935
2022-11-08,6.4,6.5,6.34,6.42,6.42,10475
2022-11-09,6.44,6.44,6.32,6.36,6.36,14962
2022-11-10,6.4,6.44,6.2,6.32,6.32,18674
2022-11-14,6.4,6.42,6.28,6.38,6.38,19335
2022-11-15,6.38,6.42,6.28,6.4,6.4,15337
2022-11-16,6.32,6.58,6.32,6.4,6.4,48106
2022-11-17,6.44,6.5,6.36,6.5,6.5,26836
2022-11-18,6.42,6.6,6.4,6.48,6.48,35089
2022-11-21,6.38,6.54,6.34,6.34,6.34,32837
2022-11-22,6.36,6.44,6.32,6.42,6.42,21893
2022-11-23,6.4,6.44,6.34,6.4,6.4,26487
2022-11-24,6.36,6.5,6.36,6.5,6.5,33062
2022-11-25,6.5,6.52,6.4,6.52,6.52,16420
2022-11-28,6.5,6.5,6.42,6.44,6.44,6238
2022-11-29,6.52,6.6,6.44,6.6,6.6,44954
2022-11-30,6.6,7.0,6.56,7.0,7.0,102899
2022-12-01,7.02,7.12,7.0,7.12,7.12,64487
2022-12-02,7.02,7.16,6.92,7.08,7.08,37092
2022-12-05,7.02,7.08,6.94,7.0,7.0,20826
2022-12-06,7.0,7.0,6.94,6.94,6.94,8191
2022-12-07,6.92,7.0,6.92,6.96,6.96,13828
2022-12-08,6.98,6.98,6.9,6.92,6.92,15822
2022-12-09,6.92,6.92,6.82,6.88,6.88,11514
2022-12-12,6.82,6.96,6.8,6.94,6.94,34934
2022-12-13,6.96,6.96,6.82,6.88,6.88,8991
2022-12-14,6.94,6.94,6.84,6.84,6.84,14203
2022-12-15,6.9,6.92,6.84,6.88,6.88,39907
2022-12-16,6.9,6.9,6.82,6.82,6.82,51307
2022-12-19,6.84,6.9,6.82,6.84,6.84,59876
2022-12-20,6.84,6.94,6.8,6.94,6.94,120403
2022-12-21,6.94,6.94,6.82,6.9,6.9,38881
2022-12-22,6.86,6.9,6.84,6.9,6.9,67907
2022-12-23,6.9,6.9,6.82,6.88,6.88,45106
2022-12-27,6.84,6.86,6.72,6.74,6.74,142076
2022-12-28,6.74,6.76,6.7,6.7,6.7,213629
2022-12-29,6.7,6.86,6.7,6.86,6.86,56631
2022-12-30,6.9,7.08,6.82,7.04,7.04,40875
2023-01-02,7.04,7.12,7.0,7.08,7.08,29079
2023-01-03,7.14,7.14,7.0,7.08,7.08,28920
2023-01-04,7.02,7.14,7.02,7.14,7.14,30609
2023-01-05,7.1,7.18,7.08,7.16,7.16,19473
2023-01-09,7.18,7.28,7.12,7.22,7.22,26469
2023-01-10,7.24,7.24,7.12,7.24,7.24,18274
2023-01-11,7.2,7.24,7.12,7.2,7.2,18785
2023-01-12,7.18,7.2,6.98,7.12,7.12,24326
2023-01-13,7.16,7.2,7.08,7.14,7.14,8379
2023-01-16,7.1,7.14,7.08,7.08,7.08,13508
2023-01-17,7.1,7.2,7.08,7.18,7.18,5920
2023-01-18,7.16,7.18,7.08,7.18,7.18,7793
2023-01-19,7.12,7.18,7.12,7.12,7.12,7823
2023-01-20,7.12,7.14,7.04,7.12,7.12,11287
2023-01-23,7.12,7.12,7.08,7.12,7.12,10118
2023-01-24,7.1,7.2,7.08,7.2,7.2,20479
2023-01-25,7.18,7.2,7.1,7.16,7.16,7821
2023-01-26,7.12,7.18,7.08,7.18,7.18,9687
2023-01-27,7.2,7.2,7.08,7.16,7.16,9763
2023-01-30,7.12,7.18,7.12,7.18,7.18,8585
2023-01-31,7.18,7.18,7.16,7.16,7.16,7403
2023-02-01,7.18,7.18,7.1,7.12,7.12,19156
