Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-01,0.816,0.85,0.812,0.812,63,83,1,1
2022-08-02,0.81,0.82,0.81,0.81,63,83,1,1
2022-08-03,0.812,0.83,0.81,0.83,63,83,1,1
2022-08-04,0.828,0.926,0.82,0.926,63,83,1,1
2022-08-05,0.93,0.93,0.86,0.9,63,83,1,1
2022-08-08,0.9,0.92,0.88,0.92,63,83,1,1
2022-08-09,0.954,0.992,0.942,0.978,63,83,1,1
2022-08-10,0.978,0.98,0.892,0.98,63,83,1,1
2022-08-11,0.98,0.98,0.932,0.932,63,83,1,1
2022-08-12,0.932,0.932,0.93,0.93,63,83,1,1
2022-08-16,0.92,0.92,0.914,0.914,63,83,1,1
2022-08-17,0.914,0.914,0.914,0.914,63,83,1,1
2022-08-18,0.9,0.91,0.9,0.91,63,83,1,1
2022-08-19,0.938,0.938,0.93,0.93,63,83,1,1
2022-08-22,0.93,0.93,0.89,0.89,63,83,1,1
2022-08-23,0.898,0.898,0.846,0.846,63,83,1,1
2022-08-24,0.846,0.846,0.838,0.84,63,83,1,1
2022-08-25,0.84,0.84,0.81,0.81,63,83,1,1
2022-08-26,0.82,0.82,0.7,0.7,63,83,1,1
2022-08-29,0.704,0.82,0.704,0.77,63,83,1,1
2022-08-30,0.77,0.772,0.77,0.772,63,83,1,1
2022-08-31,0.77,0.82,0.77,0.79,63,83,1,1
2022-09-01,0.79,0.79,0.79,0.79,63,83,1,1
2022-09-02,0.792,0.82,0.792,0.82,63,83,1,1
2022-09-05,0.82,0.82,0.82,0.82,63,83,1,1
2022-09-06,0.818,0.818,0.818,0.818,63,83,1,1
2022-09-07,0.816,0.816,0.76,0.76,63,83,1,1
2022-09-08,0.76,0.76,0.76,0.76,63,83,1,1
2022-09-09,0.764,0.77,0.764,0.77,63,83,1,1
2022-09-12,0.78,0.84,0.76,0.82,63,83,1,1
2022-09-13,0.78,0.85,0.78,0.85,63,83,1,1
2022-09-14,0.85,0.852,0.79,0.852,63,83,1,1
2022-09-15,0.852,0.936,0.852,0.936,63,83,1,1
2022-09-16,0.95,0.95,0.89,0.89,63,83,1,1
2022-09-19,0.85,0.85,0.804,0.804,63,83,1,1
2022-09-20,0.806,0.88,0.806,0.88,63,83,1,1
2022-09-21,0.88,0.968,0.87,0.87,63,83,1,1
2022-09-22,0.87,0.87,0.87,0.87,63,83,1,1
2022-09-23,0.87,0.968,0.87,0.91,63,83,1,1
2022-09-26,0.91,0.97,0.91,0.94,63,83,1,1
2022-09-27,0.96,0.96,0.91,0.91,63,83,1,1
2022-09-28,0.946,0.946,0.902,0.902,63,83,1,1
2022-09-29,0.902,0.91,0.88,0.9,63,83,1,1
2022-09-30,0.89,0.89,0.85,0.85,63,83,1,1
2022-10-03,0.85,0.86,0.85,0.86,63,83,1,1
2022-10-04,0.86,0.9,0.85,0.9,63,83,1,1
2022-10-05,0.9,0.9,0.85,0.85,63,83,1,1
2022-10-06,0.852,0.852,0.852,0.852,63,83,1,1
2022-10-07,0.85,0.85,0.85,0.85,63,83,1,1
2022-10-10,0.83,0.83,0.83,0.83,63,83,1,1
2022-10-11,0.83,0.83,0.83,0.83,63,83,1,1
2022-10-12,0.848,0.85,0.818,0.85,63,83,1,1
2022-10-13,0.85,0.85,0.83,0.83,63,83,1,1
2022-10-14,0.85,0.85,0.77,0.77,63,83,1,1
2022-10-17,0.774,0.78,0.774,0.774,63,83,1,1
2022-10-18,0.774,0.82,0.774,0.82,63,83,1,1
2022-10-19,0.774,0.85,0.774,0.81,63,83,1,1
2022-10-20,0.812,0.83,0.78,0.83,63,83,1,1
2022-10-21,0.85,0.88,0.826,0.826,63,83,1,1
2022-10-24,0.828,0.88,0.828,0.88,63,83,1,1
2022-10-25,0.88,0.946,0.84,0.946,63,83,1,1
2022-10-26,0.92,0.92,0.85,0.88,63,83,1,1
2022-10-27,0.88,0.89,0.87,0.87,63,83,1,1
2022-10-28,0.874,0.93,0.872,0.872,63,83,1,1
2022-10-31,0.9,0.9,0.85,0.85,63,83,1,1
2022-11-02,0.85,0.85,0.83,0.83,63,83,1,1
2022-11-03,0.84,0.84,0.84,0.84,63,83,1,1
2022-11-04,0.84,0.84,0.83,0.83,63,83,1,1
2022-11-07,0.83,0.9,0.818,0.9,63,83,1,1
2022-11-08,0.9,0.9,0.85,0.89,63,83,1,1
2022-11-09,0.9,0.9,0.85,0.9,63,83,1,1
2022-11-10,0.9,0.99,0.85,0.986,63,83,1,1
2022-11-14,1.0,1.1,0.998,1.0,63,83,1,1
2022-11-15,1.0,1.015,1.0,1.01,63,83,1,1
2022-11-16,0.99,1.0,0.956,0.956,63,83,1,1
2022-11-17,0.956,0.956,0.956,0.956,63,83,1,1
2022-11-18,0.956,0.956,0.904,0.938,63,83,1,1
2022-11-21,0.95,0.95,0.95,0.95,63,83,1,1
2022-11-22,0.95,0.95,0.95,0.95,63,83,1,1
2022-11-23,0.94,0.94,0.94,0.94,63,83,1,1
2022-11-24,0.93,0.95,0.888,0.95,63,83,1,1
2022-11-25,0.95,0.95,0.91,0.91,63,83,1,1
2022-11-28,0.908,0.908,0.85,0.88,63,83,1,1
2022-11-29,0.88,0.88,0.858,0.86,63,83,1,1
2022-11-30,0.86,0.92,0.774,0.92,63,83,1,1
2022-12-01,0.948,0.948,0.86,0.878,63,83,1,1
2022-12-02,0.87,0.87,0.85,0.85,63,83,1,1
2022-12-05,0.828,0.878,0.828,0.878,63,83,1,1
2022-12-06,0.876,0.878,0.828,0.878,63,83,1,1
2022-12-07,0.878,0.878,0.87,0.87,63,83,1,1
2022-12-08,0.94,0.94,0.89,0.89,63,83,1,1
2022-12-09,0.9,0.9,0.9,0.9,63,83,1,1
2022-12-12,0.89,0.89,0.85,0.86,63,83,1,1
2022-12-13,0.86,0.87,0.85,0.87,63,83,1,1
2022-12-14,0.868,0.868,0.82,0.82,63,83,1,1
2022-12-15,0.824,0.87,0.822,0.87,63,83,1,1
2022-12-16,0.868,0.868,0.868,0.868,63,83,1,1
2022-12-19,0.868,0.868,0.842,0.868,63,83,1,1
2022-12-20,0.84,0.84,0.82,0.82,63,83,1,1
2022-12-21,0.82,0.82,0.808,0.808,63,83,1,1
2022-12-22,0.858,0.858,0.81,0.81,63,83,1,1
2022-12-23,0.802,0.802,0.802,0.802,63,83,1,1
2022-12-27,0.81,0.81,0.81,0.81,63,83,1,1
2022-12-28,0.81,0.81,0.81,0.81,63,83,1,1
2022-12-29,0.81,0.858,0.81,0.858,63,83,1,1
2022-12-30,0.868,0.868,0.868,0.868,63,83,1,1
2023-01-02,0.93,0.93,0.85,0.85,63,83,1,1
2023-01-03,0.85,0.85,0.85,0.85,63,83,1,1
2023-01-04,0.85,0.85,0.85,0.85,63,83,1,1
2023-01-05,0.84,0.84,0.81,0.82,63,83,1,1
2023-01-09,0.81,0.84,0.81,0.84,63,83,1,1
2023-01-10,0.84,0.84,0.84,0.84,63,83,1,1
2023-01-11,0.848,0.848,0.848,0.848,63,83,1,1
2023-01-12,0.84,0.84,0.84,0.84,63,83,1,1
2023-01-13,0.84,0.84,0.84,0.84,63,83,1,1
2023-01-16,0.848,0.848,0.84,0.84,63,83,1,1
2023-01-17,0.84,0.84,0.82,0.82,63,83,1,1
2023-01-18,0.82,0.82,0.79,0.802,63,83,1,1
2023-01-19,0.8,0.8,0.79,0.8,63,83,1,1
2023-01-20,0.79,0.79,0.79,0.79,63,83,1,1
2023-01-23,0.792,0.802,0.792,0.802,63,83,1,1
2023-01-24,0.792,0.792,0.792,0.792,63,83,1,1
2023-01-25,0.79,0.79,0.79,0.79,63,83,1,1
2023-01-26,0.818,0.818,0.8,0.8,63,83,1,1
2023-01-27,0.8,0.8,0.8,0.8,63,83,1,1
2023-01-30,0.794,0.794,0.79,0.79,63,83,1,1
2023-01-31,0.794,0.794,0.77,0.77,63,83,1,1
2023-02-01,0.788,0.95,0.788,0.92,63,83,1,1
2023-02-02,0.928,0.93,0.84,0.93,63,83,1,1
2023-02-03,0.938,0.95,0.852,0.852,63,83,1,1
2023-02-06,0.856,0.87,0.856,0.856,63,83,1,1
2023-02-07,0.856,0.86,0.856,0.86,63,83,1,1
2023-02-08,0.86,0.89,0.846,0.89,63,83,1,1
2023-02-09,0.89,0.89,0.846,0.88,63,83,1,1
2023-02-10,0.89,0.89,0.84,0.84,63,83,1,1
2023-02-13,0.84,0.844,0.822,0.844,63,83,1,1
2023-02-14,0.842,0.842,0.83,0.84,63,83,1,1
2023-02-15,0.844,0.868,0.83,0.86,63,83,1,1
2023-02-16,0.89,0.944,0.84,0.86,63,83,1,1
2023-02-17,0.83,0.86,0.83,0.86,63,83,1,1
2023-02-20,0.86,0.86,0.86,0.86,63,83,1,1
2023-02-21,0.86,0.86,0.86,0.86,63,83,1,1
2023-02-22,0.86,0.86,0.82,0.84,63,83,1,1
2023-02-23,0.84,0.84,0.838,0.838,63,83,1,1
2023-02-24,0.838,0.838,0.812,0.812,63,83,1,1
2023-02-27,0.812,0.838,0.796,0.838,63,83,1,1
