Date,Open,High,Low,Close,Adjusted_close,Volume
2022-06-17,17.9,18.78,17.9,18.52,15.4333,38210
2022-06-20,18.54,19.06,18.54,19.0,15.8333,76139
2022-06-21,19.0,19.5,19.0,19.18,15.9833,71760
2022-06-22,19.04,19.18,18.66,19.0,15.8333,29879
2022-06-23,19.1,19.18,18.78,19.0,15.8333,17689
2022-06-24,19.1,19.1,18.8,19.06,15.8833,14356
2022-06-27,19.16,19.4,18.8,19.38,16.15,32577
2022-06-28,19.44,19.44,19.02,19.26,16.05,28013
2022-06-29,19.06,19.8,19.06,19.62,16.35,96294
2022-06-30,19.56,19.62,19.0,19.08,15.9,36089
2022-07-01,19.08,19.28,18.8,18.96,15.8,53979
2022-07-04,18.98,19.28,18.8,18.84,15.7,37985
2022-07-05,18.84,18.94,18.1,18.34,15.2833,97733
2022-07-06,18.5,18.5,18.04,18.14,15.1167,54229
2022-07-07,18.4,18.5,18.16,18.5,15.4167,37122
2022-07-08,18.5,18.94,18.38,18.66,15.55,82994
2022-07-11,18.76,18.8,18.08,18.34,15.2833,124693
2022-07-12,18.48,18.48,17.72,17.84,14.8667,150671
2022-07-13,17.98,18.1,17.72,18.0,15.0,119310
2022-07-14,15.0,15.68,14.46,14.64,14.64,80961
2022-07-15,14.76,14.86,14.4,14.78,14.78,39683
2022-07-18,14.8,14.8,14.2,14.2,14.2,49172
2022-07-19,14.2,14.42,13.98,14.3,14.3,63129
2022-07-20,14.38,14.7,14.1,14.66,14.66,29377
2022-07-21,14.8,14.8,14.32,14.68,14.68,27694
2022-07-22,14.74,14.74,14.48,14.66,14.66,29326
2022-07-25,14.76,14.84,14.26,14.42,14.42,22477
2022-07-26,14.42,14.42,14.06,14.22,14.22,24177
2022-07-27,14.3,14.68,14.1,14.68,14.68,38149
2022-07-28,14.62,14.88,14.46,14.78,14.78,45144
2022-07-29,14.78,15.0,14.6,14.98,14.98,55896
2022-08-01,15.02,15.58,14.76,15.5,15.5,122898
2022-08-02,15.58,15.9,15.1,15.3,15.3,65686
2022-08-03,15.3,15.4,15.1,15.3,15.3,31665
2022-08-04,15.3,15.6,15.16,15.4,15.4,42072
2022-08-05,15.6,15.76,15.46,15.72,15.72,28948
2022-08-08,15.78,15.78,15.32,15.46,15.46,54323
2022-08-09,15.5,15.92,15.4,15.9,15.9,46665
2022-08-10,16.4,17.0,16.0,16.4,16.4,137726
2022-08-11,16.38,16.5,16.12,16.5,16.5,61079
2022-08-12,16.5,16.5,16.26,16.48,16.48,21306
2022-08-16,16.5,16.56,16.3,16.4,16.4,31033
2022-08-17,16.38,16.42,15.74,16.06,16.06,52218
2022-08-18,16.08,16.36,15.9,16.34,16.34,25798
2022-08-19,16.34,16.34,15.96,16.1,16.1,14560
2022-08-22,16.0,16.18,15.52,15.8,15.8,28914
2022-08-23,15.78,15.9,15.24,15.52,15.52,30396
2022-08-24,15.6,15.6,15.12,15.12,15.12,10685
2022-08-25,15.18,15.6,15.14,15.22,15.22,17525
2022-08-26,15.28,15.3,14.68,14.68,14.68,22266
2022-08-29,14.72,15.18,14.48,15.08,15.08,48493
2022-08-30,15.1,15.38,14.74,14.74,14.74,20649
2022-08-31,14.74,15.04,14.74,15.0,15.0,24540
2022-09-01,14.76,14.84,14.54,14.76,14.76,55157
2022-09-02,14.58,15.0,14.54,15.0,15.0,12446
2022-09-05,14.9,15.04,14.72,14.94,14.94,32323
2022-09-06,14.94,15.12,14.7,14.78,14.78,51568
2022-09-07,14.96,15.08,14.7,14.82,14.82,35110
2022-09-08,14.82,15.2,14.82,15.1,15.1,28633
2022-09-09,15.02,15.46,15.02,15.4,15.4,24556
2022-09-12,15.5,15.54,15.26,15.4,15.4,22735
2022-09-13,15.56,16.08,15.5,15.8,15.8,78075
2022-09-14,15.9,16.7,15.72,16.68,16.68,77406
2022-09-15,16.7,16.82,16.5,16.7,16.7,18402
2022-09-16,16.7,16.7,16.2,16.38,16.38,15522
2022-09-19,16.2,17.0,16.0,16.8,16.8,59369
2022-09-20,17.0,17.34,16.8,16.92,16.92,133912
2022-09-21,17.0,17.14,16.8,17.0,17.0,13439
2022-09-22,17.14,17.32,16.88,17.28,17.28,126570
2022-09-23,17.2,17.2,16.88,16.9,16.9,47379
2022-09-26,16.8,17.0,16.32,16.5,16.5,199900
2022-09-27,16.42,16.66,16.16,16.42,16.42,18496
2022-09-28,16.3,16.3,15.5,15.8,15.8,36697
2022-09-29,15.8,16.1,15.04,15.3,15.3,44479
2022-09-30,15.3,15.8,15.3,15.7,15.7,25573
2022-10-03,15.9,16.4,15.38,16.32,16.32,29251
2022-10-04,16.36,16.5,16.08,16.38,16.38,12629
2022-10-05,16.48,16.48,15.66,15.92,15.92,14819
2022-10-06,16.04,16.28,15.8,16.06,16.06,10752
2022-10-07,16.0,16.12,15.96,16.12,16.12,11291
2022-10-10,16.12,16.18,15.92,16.02,16.02,7787
2022-10-11,16.04,16.1,15.88,16.06,16.06,38095
2022-10-12,16.06,16.06,15.82,15.9,15.9,59520
2022-10-13,16.58,17.2,16.2,16.4,16.4,394046
2022-10-14,16.54,16.78,16.34,16.4,16.4,59386
2022-10-17,16.4,16.5,16.3,16.44,16.44,22910
2022-10-18,16.44,16.44,16.14,16.32,16.32,50312
2022-10-19,16.6,16.6,16.3,16.38,16.38,21569
2022-10-20,16.4,16.4,16.22,16.38,16.38,32123
2022-10-21,16.7,16.78,16.38,16.5,16.5,77576
2022-10-24,16.6,16.78,16.5,16.74,16.74,28475
2022-10-25,16.72,16.78,16.32,16.5,16.5,90989
2022-10-26,16.4,16.7,16.38,16.4,16.4,42863
2022-10-27,16.46,16.46,16.2,16.32,16.32,34647
2022-10-28,16.4,16.4,16.28,16.36,16.36,16352
2022-10-31,16.4,16.4,16.16,16.3,16.3,41886
2022-11-02,16.38,16.48,16.2,16.4,16.4,53809
2022-11-03,16.3,16.38,16.22,16.38,16.38,29324
2022-11-04,16.4,16.44,16.22,16.28,16.28,56748
2022-11-07,16.3,16.42,16.26,16.28,16.28,44353
2022-11-08,16.24,16.28,15.9,16.0,16.0,67446
2022-11-09,16.16,16.16,15.82,15.88,15.88,44252
2022-11-10,15.88,16.34,15.84,16.2,16.2,82739
2022-11-14,16.3,16.48,16.14,16.34,16.34,116612
2022-11-15,16.36,16.36,16.2,16.24,16.24,33676
2022-11-16,16.32,16.36,16.18,16.28,16.28,32548
2022-11-17,16.32,16.32,16.18,16.2,16.2,31122
2022-11-18,16.32,16.32,16.1,16.16,16.16,69908
2022-11-21,16.4,16.4,16.24,16.24,16.24,95190
2022-11-22,16.24,16.46,16.22,16.32,16.32,47499
2022-11-23,16.28,16.6,16.28,16.4,16.4,60863
2022-11-24,16.56,16.58,16.26,16.3,16.3,67439
2022-11-25,16.4,16.48,16.0,16.08,16.08,73151
2022-11-28,16.22,16.4,16.12,16.3,16.3,35294
2022-11-29,16.3,16.38,16.14,16.38,16.38,29791
2022-11-30,16.3,16.8,16.3,16.5,16.5,34578
2022-12-01,16.58,16.64,16.38,16.56,16.56,32718
2022-12-02,16.66,16.7,16.4,16.7,16.7,26347
2022-12-05,16.9,17.88,16.9,17.82,17.82,146113
2022-12-06,17.8,18.48,17.7,18.26,18.26,107109
2022-12-07,18.42,18.42,17.82,18.1,18.1,60296
2022-12-08,17.98,17.98,17.52,17.78,17.78,38307
2022-12-09,17.86,17.86,17.52,17.56,17.56,25191
2022-12-12,17.54,18.36,17.4,18.2,18.2,57070
2022-12-13,18.2,18.32,17.96,18.06,18.06,25309
2022-12-14,18.18,19.04,18.18,18.88,18.88,124632
2022-12-15,18.98,19.48,18.8,19.0,19.0,101907
2022-12-16,19.0,19.18,18.6,18.8,18.8,33691
2022-12-19,18.8,19.0,18.6,18.68,18.68,34130
2022-12-20,18.88,18.88,18.3,18.5,18.5,65276
2022-12-21,18.6,18.76,18.44,18.46,18.46,28207
2022-12-22,18.6,18.72,18.06,18.22,18.22,38006
2022-12-23,18.5,18.5,17.9,17.94,17.94,33950
2022-12-27,18.48,18.48,17.06,17.32,17.32,73564
2022-12-28,17.34,18.18,17.28,17.8,17.8,44303
2022-12-29,17.7,18.18,17.7,18.06,18.06,27600
2022-12-30,18.1,18.7,18.1,18.52,18.52,55979
2023-01-02,18.68,18.9,18.36,18.9,18.9,25994
2023-01-03,18.9,19.0,18.62,18.94,18.94,41221
2023-01-04,18.94,18.98,18.5,18.56,18.56,33426
2023-01-05,18.8,19.5,18.64,19.2,19.2,95914
2023-01-09,19.4,20.45,19.34,20.45,20.45,140755
2023-01-10,20.5,21.0,20.35,20.5,20.5,123494
2023-01-11,20.75,20.85,19.82,19.96,19.96,81737
2023-01-12,19.94,20.6,19.94,20.4,20.4,56213
2023-01-13,20.5,20.75,20.05,20.45,20.45,57550
2023-01-16,20.85,21.65,20.65,21.65,21.65,92198
2023-01-17,21.7,22.0,21.0,21.4,21.4,78940
2023-01-18,21.75,21.75,21.3,21.55,21.55,38694
2023-01-19,21.45,21.55,20.8,20.9,20.9,67208
2023-01-20,21.1,21.4,20.85,20.9,20.9,43891
