Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-19,71.8,73.4,70.8,73.4,73.4,379
2022-08-22,73.0,73.4,71.6,73.4,73.4,414
2022-08-23,71.4,72.6,66.6,71.8,71.8,3506
2022-08-24,71.0,71.4,68.0,69.6,69.6,1358
2022-08-25,69.8,70.0,67.0,68.8,68.8,2662
2022-08-26,66.8,68.8,66.0,67.8,67.8,1056
2022-08-29,67.8,69.8,66.6,67.0,67.0,2139
2022-08-30,67.8,69.8,67.2,67.2,67.2,456
2022-08-31,67.4,69.4,66.0,67.0,67.0,554
2022-09-01,67.0,67.0,63.4,65.4,65.4,2006
2022-09-02,65.8,66.4,65.0,66.4,66.4,1312
2022-09-05,66.4,68.0,66.4,67.8,67.8,611
2022-09-06,67.8,68.0,66.0,68.0,68.0,3815
2022-09-07,68.0,70.0,66.2,70.0,70.0,592
2022-09-08,67.2,70.0,67.2,70.0,70.0,155
2022-09-09,70.0,73.0,68.4,70.4,70.4,529
2022-09-12,72.0,72.0,68.4,71.6,71.6,795
2022-09-13,71.0,71.6,68.8,70.6,70.6,273
2022-09-14,69.0,70.6,68.2,68.8,68.8,278
2022-09-15,69.4,69.4,68.2,68.8,68.8,208
2022-09-16,68.4,69.4,67.8,67.8,67.8,394
2022-09-19,68.6,69.4,66.6,67.2,67.2,702
2022-09-20,67.2,68.0,66.4,68.0,68.0,377
2022-09-21,69.0,69.4,66.8,68.0,68.0,674
2022-09-22,69.4,69.6,66.0,67.4,67.4,2297
2022-09-23,67.4,67.8,66.2,66.2,66.2,1293
2022-09-26,66.2,66.8,64.4,65.6,65.6,2532
2022-09-27,65.0,66.6,65.0,66.6,66.6,1324
2022-09-28,66.4,71.6,66.4,71.6,71.6,871
2022-09-29,71.4,71.4,68.0,68.4,68.4,435
2022-09-30,68.2,70.8,67.2,70.8,70.8,521
2022-10-03,70.0,70.6,67.0,70.4,70.4,783
2022-10-04,70.2,71.0,67.2,69.6,69.6,1049
2022-10-05,70.0,70.8,70.0,70.8,70.8,140
2022-10-06,71.0,73.0,71.0,72.8,72.8,538
2022-10-07,72.6,72.6,70.8,70.8,70.8,231
2022-10-10,72.8,72.8,70.8,70.8,70.8,446
2022-10-11,70.6,70.8,69.4,69.6,69.6,406
2022-10-12,69.6,72.6,69.4,72.6,72.6,728
2022-10-13,72.6,74.0,70.2,70.2,70.2,100
2022-10-14,73.0,73.0,71.2,73.0,73.0,44
2022-10-17,72.0,74.0,71.4,73.0,73.0,715
2022-10-18,72.4,73.0,72.4,73.0,73.0,67
2022-10-19,72.2,72.2,71.6,71.6,71.6,539
2022-10-20,72.4,72.4,70.0,70.6,70.6,987
2022-10-21,70.6,70.8,69.0,70.6,70.6,225
2022-10-24,69.6,72.0,69.6,71.0,71.0,598
2022-10-25,72.0,72.0,71.0,71.0,71.0,40
2022-10-26,72.0,73.8,71.0,73.0,73.0,1586
2022-10-27,73.0,73.0,71.6,71.6,71.6,246
2022-10-28,71.4,73.0,71.0,73.0,73.0,559
2022-10-31,73.4,74.0,69.6,72.0,72.0,2576
2022-11-02,72.2,73.6,72.2,72.2,72.2,677
2022-11-03,72.2,73.2,72.2,72.6,72.6,387
2022-11-04,73.2,73.4,72.4,73.2,73.2,1044
2022-11-07,73.0,75.0,72.8,75.0,75.0,1543
2022-11-08,75.0,75.0,73.2,74.0,74.0,558
2022-11-09,74.0,74.0,73.2,73.2,73.2,429
2022-11-10,73.8,74.0,72.0,73.4,73.4,1699
2022-11-14,74.0,75.0,73.4,73.4,73.4,709
2022-11-15,74.0,74.0,73.6,73.6,73.6,469
2022-11-16,73.0,73.4,72.8,72.8,72.8,567
2022-11-17,72.8,72.8,72.0,72.6,72.6,745
2022-11-18,73.4,73.4,72.6,72.8,72.8,451
2022-11-21,74.0,74.0,70.6,72.0,72.0,1131
2022-11-22,73.8,73.8,72.0,72.6,72.6,171
2022-11-23,73.8,73.8,72.4,73.4,73.4,599
2022-11-24,73.6,73.6,72.6,72.6,72.6,191
2022-11-25,72.8,73.8,72.8,72.8,72.8,235
