Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-06,5.48,5.62,5.48,5.62,5.62,302
2022-07-07,5.62,5.88,5.62,5.84,5.84,1913
2022-07-08,5.84,5.86,5.76,5.86,5.86,3406
2022-07-11,5.76,5.76,5.76,5.76,5.76,100
2022-07-12,5.76,5.76,5.6,5.7,5.7,997
2022-07-13,5.7,5.88,5.64,5.88,5.88,1898
2022-07-14,5.88,6.2,5.8,6.06,6.06,12362
2022-07-15,6.0,6.2,5.88,6.2,6.2,2266
2022-07-18,6.0,6.0,5.9,5.9,5.9,779
2022-07-19,5.92,6.08,5.92,6.08,6.08,389
2022-07-20,5.92,5.92,5.8,5.8,5.8,3858
2022-07-21,5.8,5.96,5.6,5.96,5.96,3769
2022-07-22,5.82,5.82,5.7,5.7,5.7,1354
2022-07-25,5.9,6.14,5.62,5.62,5.62,26749
2022-07-26,5.7,5.9,5.5,5.7,5.7,6829
2022-07-27,5.6,5.8,5.54,5.8,5.8,755
2022-07-28,5.62,5.82,5.54,5.82,5.82,813
2022-07-29,5.68,5.98,5.68,5.92,5.92,5459
2022-08-01,6.1,6.1,5.96,6.0,6.0,2514
2022-08-02,6.08,6.08,6.08,6.08,6.08,163
2022-08-03,6.0,6.42,6.0,6.24,6.24,12566
2022-08-04,6.2,6.2,5.84,6.08,6.08,4135
2022-08-05,6.0,6.0,5.9,6.0,6.0,1333
2022-08-08,6.0,6.06,5.88,6.0,6.0,3037
2022-08-09,5.88,6.0,5.82,6.0,6.0,1399
2022-08-10,5.8,5.96,5.76,5.96,5.96,2170
2022-08-11,5.76,5.98,5.76,5.98,5.98,6121
2022-08-12,5.9,5.98,5.9,5.92,5.92,8751
2022-08-16,5.9,5.94,5.82,5.84,5.84,4076
2022-08-17,5.84,5.84,5.82,5.84,5.84,583
2022-08-18,5.8,5.82,5.74,5.82,5.82,1116
2022-08-19,5.74,5.8,5.72,5.8,5.8,2292
2022-08-22,5.8,5.8,5.7,5.8,5.8,1543
2022-08-23,5.8,5.8,5.7,5.74,5.74,1770
2022-08-24,5.7,5.7,5.62,5.68,5.68,1542
2022-08-25,5.64,5.68,5.5,5.6,5.6,4770
2022-08-26,5.58,5.66,5.5,5.5,5.5,1090
2022-08-29,5.5,5.74,5.4,5.72,5.72,4141
2022-08-30,5.7,5.72,5.44,5.7,5.7,1661
2022-08-31,5.66,5.7,5.66,5.68,5.68,1127
2022-09-01,5.52,5.52,5.4,5.4,5.4,5000
2022-09-02,5.34,5.5,5.34,5.5,5.5,2245
2022-09-05,5.4,5.5,5.4,5.5,5.5,501
2022-09-06,5.5,5.5,5.34,5.34,5.34,3703
2022-09-07,5.22,5.34,5.22,5.34,5.34,275
2022-09-08,5.4,5.4,5.4,5.4,5.4,94
2022-09-09,5.32,5.44,5.26,5.44,5.44,974
2022-09-12,5.42,5.5,5.22,5.5,5.5,5781
2022-09-13,5.4,5.4,5.36,5.4,5.4,2001
2022-09-14,5.36,5.48,5.3,5.4,5.4,2672
2022-09-15,5.4,5.5,5.3,5.3,5.3,8997
2022-09-16,5.26,5.3,5.26,5.3,5.3,65
2022-09-19,5.3,5.34,5.3,5.34,5.34,123
2022-09-20,5.32,5.36,5.26,5.3,5.3,408
2022-09-21,5.32,5.32,5.32,5.32,5.32,637
2022-09-22,5.32,5.38,5.3,5.3,5.3,625
2022-09-23,5.34,5.34,5.3,5.34,5.34,129
2022-09-26,5.3,5.3,5.06,5.06,5.06,4272
2022-09-27,5.18,5.18,4.91,5.0,5.0,9752
2022-09-28,4.98,5.0,4.9,5.0,5.0,581
2022-09-29,4.88,4.97,4.88,4.97,4.97,202
2022-09-30,4.97,5.0,4.82,4.97,4.97,1130
2022-10-03,4.97,4.97,4.83,4.97,4.97,806
2022-10-04,4.9,4.92,4.7,4.74,4.74,4502
2022-10-05,4.93,5.0,4.74,4.75,4.75,2439
2022-10-06,4.8,4.9,4.8,4.9,4.9,703
2022-10-07,4.8,4.9,4.8,4.9,4.9,721
2022-10-10,4.82,4.9,4.82,4.9,4.9,645
2022-10-11,4.89,4.89,4.65,4.69,4.69,1996
2022-10-12,4.68,4.79,4.52,4.6,4.6,2391
2022-10-13,4.69,4.76,4.52,4.6,4.6,2914
2022-10-14,4.6,4.78,4.59,4.78,4.78,1229
2022-10-17,4.72,4.8,4.52,4.79,4.79,1888
2022-10-18,4.79,4.79,4.79,4.79,4.79,1888
2022-10-19,4.75,4.77,4.75,4.77,4.77,301
2022-10-20,4.77,4.77,4.77,4.77,4.77,301
2022-10-21,4.65,4.77,4.65,4.77,4.77,9
2022-10-24,4.77,4.77,4.5,4.5,4.5,1776
2022-10-25,4.69,4.69,4.23,4.47,4.47,5226
2022-10-26,4.45,4.67,4.45,4.64,4.64,6501
2022-10-27,4.64,5.1,4.61,5.0,5.0,20606
2022-10-28,5.22,5.38,5.06,5.3,5.3,8013
2022-10-31,5.32,5.78,5.32,5.66,5.66,5864
2022-11-02,5.68,5.72,5.4,5.6,5.6,4508
2022-11-03,5.6,5.66,5.4,5.6,5.6,1645
2022-11-04,5.5,5.54,5.2,5.32,5.32,24154
2022-11-07,5.32,5.64,5.06,5.1,5.1,69400
2022-11-08,5.18,5.28,5.1,5.12,5.12,22779
2022-11-09,5.2,5.26,5.2,5.26,5.26,4322
2022-11-10,5.26,5.36,5.1,5.2,5.2,12472
2022-11-14,5.18,5.36,5.14,5.24,5.24,5798
2022-11-15,5.22,5.26,5.2,5.2,5.2,2418
2022-11-16,5.3,5.3,5.16,5.26,5.26,4582
2022-11-17,5.22,5.26,5.2,5.26,5.26,3067
2022-11-18,5.2,5.26,5.16,5.26,5.26,2701
2022-11-21,5.28,5.4,5.12,5.12,5.12,21145
2022-11-22,5.16,5.3,5.12,5.26,5.26,17063
2022-11-23,5.34,5.34,5.2,5.28,5.28,1736
2022-11-24,5.34,5.34,5.2,5.32,5.32,3050
2022-11-25,5.2,5.3,5.18,5.22,5.22,6256
2022-11-28,5.28,5.32,5.18,5.3,5.3,7872
2022-11-29,5.22,5.3,4.9,5.1,5.1,9733
2022-11-30,5.1,5.14,5.08,5.14,5.14,2546
2022-12-01,5.12,5.24,5.1,5.16,5.16,7992
2022-12-02,5.16,5.48,5.16,5.22,5.22,7848
2022-12-05,5.4,5.46,5.3,5.34,5.34,2940
2022-12-06,5.34,5.38,5.2,5.2,5.2,2155
2022-12-07,5.18,5.3,5.18,5.3,5.3,1580
2022-12-08,5.34,5.52,5.3,5.4,5.4,4370
2022-12-09,5.4,5.56,5.38,5.56,5.56,2160
2022-12-12,5.58,5.58,5.36,5.52,5.52,6313
2022-12-13,5.56,5.82,5.4,5.7,5.7,22926
2022-12-14,5.76,6.1,5.74,5.98,5.98,26404
2022-12-15,5.94,5.94,5.7,5.78,5.78,8636
