Date,Open,High,Low,Close,Adjusted_close,Volume
2022-04-19,100.2,102.0,98.3,102.0,94.1571,17013
2022-04-20,102.0,103.2,101.4,102.0,94.1571,15691
2022-04-21,102.0,103.2,100.6,102.6,94.7109,33397
2022-04-22,102.0,103.0,100.0,102.0,94.1571,17379
2022-04-25,100.6,100.8,93.3,93.3,86.126,19171
2022-04-26,94.3,97.2,90.1,90.1,83.1721,18243
2022-04-27,91.1,92.7,90.3,91.8,84.7414,69785
2022-04-28,92.0,95.7,92.0,93.4,86.2183,20495
2022-04-29,95.9,96.0,93.6,95.0,87.6953,7309
2022-05-02,94.7,94.8,91.2,93.0,85.8491,6502
2022-05-04,93.0,96.0,93.0,95.0,87.6953,10332
2022-05-05,95.6,97.8,93.0,94.7,87.4184,10111
2022-05-06,92.5,95.0,90.4,95.0,87.6953,19946
2022-05-09,94.8,94.8,91.4,93.0,85.8491,7103
2022-05-10,92.5,95.1,92.1,94.0,86.7722,9041
2022-05-11,95.0,95.0,91.0,91.5,84.4644,37646
2022-05-12,91.5,94.0,89.9,94.0,86.7722,7119
2022-05-13,94.3,94.3,92.0,93.1,85.9414,8042
2022-05-16,94.0,97.4,92.0,94.0,86.7722,10914
2022-05-17,92.5,95.2,91.6,92.0,84.926,13512
2022-05-18,92.7,93.0,88.1,88.8,81.972,16735
2022-05-19,88.8,89.8,86.8,89.2,82.3413,9044
2022-05-20,89.2,91.4,86.9,88.1,81.3259,12988
2022-05-23,88.1,88.6,86.1,87.0,80.3104,8742
2022-05-24,86.2,89.4,85.3,89.4,82.5259,9426
2022-05-25,89.0,89.0,84.1,84.2,77.7257,7820
2022-05-26,84.5,85.9,83.1,85.0,78.4642,11218
2022-05-27,86.9,87.3,86.0,86.1,79.4796,3567
2022-05-30,88.0,88.8,86.7,88.8,81.972,9187
2022-05-31,88.0,93.5,87.1,93.5,86.3107,31111
2022-06-01,92.6,94.1,90.1,92.0,84.926,14393
2022-06-02,92.0,94.5,91.3,93.5,86.3107,5897
2022-06-03,94.5,97.8,94.0,96.0,88.6184,26548
2022-06-06,96.0,96.0,92.3,94.5,87.2338,14227
2022-06-07,93.5,94.6,93.3,94.0,86.7722,9635
2022-06-08,95.0,95.1,93.8,94.2,86.9568,5393
2022-06-09,94.2,96.5,93.6,95.0,87.6953,5655
2022-06-10,95.0,95.0,92.0,94.0,86.7722,29536
2022-06-13,92.5,92.5,89.4,91.5,84.4644,10061
2022-06-14,91.0,91.5,86.0,87.0,80.3104,59095
2022-06-15,87.5,88.0,85.5,87.4,80.6797,5214
2022-06-17,87.8,87.8,81.5,81.5,75.2333,30481
2022-06-20,84.0,92.0,83.5,87.0,80.3104,11412
2022-06-21,88.2,92.3,88.2,91.1,84.0952,4690
2022-06-22,90.5,94.8,88.6,94.5,87.2338,14537
2022-06-23,97.0,97.0,94.0,96.8,89.3569,6703
2022-06-24,96.5,97.6,95.1,95.2,87.8799,8286
2022-06-27,95.2,97.2,95.0,97.2,89.7262,7789
2022-06-28,98.0,98.0,95.0,95.5,88.1569,13415
2022-06-29,97.1,102.0,95.1,102.0,94.1571,18210
2022-06-30,102.0,102.0,95.1,98.5,90.9262,10608
2022-07-01,98.0,102.0,96.0,102.0,94.1571,42484
2022-07-04,102.0,105.0,100.4,105.0,96.9264,35403
2022-07-05,105.0,105.0,100.4,103.0,95.0802,17279
2022-07-06,100.2,101.6,100.2,101.0,93.234,24059
2022-07-07,102.0,104.0,102.0,104.0,96.0033,8561
2022-07-08,104.0,105.0,100.4,102.0,94.1571,52849
2022-07-11,102.0,102.0,99.5,101.6,93.7878,6139
2022-07-12,101.6,101.6,97.6,100.0,92.3109,13840
2022-07-13,101.2,101.2,98.0,100.0,92.3109,5741
2022-07-14,100.0,102.0,98.2,102.0,94.1571,188974
2022-07-15,102.0,102.0,100.0,102.0,94.1571,162938
2022-07-18,100.4,101.8,99.5,99.5,91.8493,9275
2022-07-19,100.6,100.6,96.1,97.2,89.7262,7754
2022-07-20,97.2,101.2,96.3,100.0,92.3109,15494
2022-07-21,101.6,102.0,100.0,100.0,92.3109,10358
2022-07-22,101.8,102.0,101.2,101.2,93.4186,12082
2022-07-25,102.0,102.0,100.0,101.8,93.9725,1740
2022-07-26,101.8,101.8,96.0,97.2,89.7262,12512
2022-07-27,98.7,99.2,94.7,95.0,87.6953,11115
2022-07-28,95.8,98.2,95.8,97.0,90.6291,7077
2022-07-29,97.5,99.9,97.5,99.4,92.8714,3862
2022-08-01,99.9,100.8,98.4,99.0,92.4977,3366
2022-08-02,100.0,102.0,100.0,101.4,94.7401,21041
2022-08-03,101.4,102.0,100.0,101.8,95.1138,23572
2022-08-04,102.0,102.0,100.6,100.8,94.1795,38216
2022-08-05,102.0,102.0,100.0,102.0,95.3007,23795
2022-08-08,102.0,102.0,100.0,100.4,93.8058,4821
2022-08-09,100.0,101.4,100.0,100.0,93.432,4832
2022-08-10,101.2,101.4,95.1,100.0,93.432,16494
2022-08-11,101.0,105.0,100.0,101.0,94.3664,40479
2022-08-12,102.4,102.4,101.0,101.0,94.3664,5927
2022-08-16,101.0,109.6,101.0,109.6,102.4015,40145
2022-08-17,109.6,110.6,106.8,110.0,102.7752,21185
2022-08-18,110.0,110.4,106.8,110.2,102.9621,21305
2022-08-19,110.6,110.6,106.8,109.0,101.8409,15691
2022-08-22,109.0,109.0,102.4,103.6,96.7956,14498
2022-08-23,102.0,105.6,99.2,101.0,94.3664,10644
2022-08-24,100.0,101.8,99.0,100.2,95.6261,3147
2022-08-25,101.6,101.6,99.5,101.0,96.3896,4235
2022-08-26,101.4,108.4,101.4,107.8,102.8792,14813
2022-08-29,107.8,107.8,104.4,107.6,102.6883,33360
