Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-29,10.6,10.6,10.5,10.5,10.5,17600
2022-08-30,10.2,11.15,10.2,11.15,11.15,392
2022-08-31,11.15,11.15,10.5,10.8,10.8,123
2022-09-01,10.85,10.85,10.5,10.6,10.6,766
2022-09-02,10.6,10.6,10.25,10.5,10.5,511
2022-09-05,10.6,10.6,10.4,10.4,10.4,1513
2022-09-06,10.4,10.5,10.4,10.4,10.4,2329
2022-09-07,10.6,10.6,10.5,10.5,10.5,112
2022-09-08,10.6,10.6,10.2,10.2,10.2,2805
2022-09-09,10.2,10.5,10.2,10.5,10.5,171
2022-09-12,10.3,10.45,10.3,10.45,10.45,227
2022-09-13,10.3,10.3,9.96,9.98,9.98,13414
2022-09-14,10.0,10.4,10.0,10.4,10.4,92
2022-09-15,10.4,10.4,9.96,9.96,9.96,6248
2022-09-16,10.15,10.15,9.5,9.5,9.5,2352
2022-09-19,9.5,9.66,9.5,9.5,9.5,3663
2022-09-20,9.44,9.6,9.1,9.18,9.18,4873
2022-09-21,9.5,9.5,8.6,8.66,8.66,35529
2022-09-22,8.98,9.0,8.6,9.0,9.0,2916
2022-09-23,9.0,9.18,8.62,9.18,9.18,6644
2022-09-26,9.36,9.36,8.68,9.0,9.0,1320
2022-09-27,9.0,9.0,8.52,8.78,8.78,7101
2022-09-28,8.96,8.96,8.52,8.52,8.52,1614
2022-09-29,8.68,8.68,8.4,8.52,8.52,1475
2022-09-30,8.96,8.96,8.6,8.6,8.6,176
2022-10-03,8.64,8.66,8.6,8.6,8.6,3616
2022-10-04,8.68,8.68,8.32,8.32,8.32,13482
2022-10-05,8.32,8.96,8.32,8.58,8.58,9504
2022-10-06,8.96,8.96,8.68,8.84,8.84,3421
2022-10-07,9.0,9.9,8.78,9.9,9.9,555
2022-10-10,9.8,9.8,8.8,8.8,8.8,4006
2022-10-11,9.02,9.18,8.6,8.6,8.6,1512
2022-10-12,9.2,9.2,9.0,9.0,9.0,945
2022-10-13,8.9,8.92,8.84,8.84,8.84,177
2022-10-14,9.8,9.8,9.02,9.02,9.02,1486
2022-10-17,9.5,9.5,8.82,8.82,8.82,2777
