Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-02,14.0,14.7,14.0,14.65,-1,-1,0,0
2023-05-04,14.7,14.8,14.15,14.15,-1,-1,0,0
2023-05-05,14.15,14.35,14.1,14.35,-1,-1,0,0
2023-05-08,14.35,14.75,14.3,14.3,-1,-1,0,0
2023-05-09,14.7,14.7,14.15,14.2,-1,-1,0,0
2023-05-10,14.1,14.1,13.1,13.55,-1,-1,0,0
2023-05-11,13.9,13.9,13.15,13.2,-1,-1,0,0
2023-05-12,13.8,14.2,13.5,14.1,-1,-1,0,0
2023-05-15,14.0,14.05,13.5,14.0,-1,-1,0,0
2023-05-16,14.05,14.15,13.65,14.15,-1,-1,0,0
2023-05-17,14.2,14.2,13.8,14.2,-1,-1,0,0
2023-05-18,14.2,14.2,13.75,14.05,-1,-1,0,0
2023-05-19,14.0,14.0,13.75,13.75,-1,-1,0,0
2023-05-22,13.95,14.8,13.7,14.2,-1,-1,0,0
2023-05-23,14.6,15.7,14.2,15.5,-1,-1,0,0
2023-05-24,15.65,15.65,15.0,15.25,-1,-1,0,0
2023-05-25,15.0,15.45,14.8,15.0,-1,-1,0,0
2023-05-26,15.25,15.65,14.8,15.25,-1,-1,0,0
2023-05-29,15.05,15.15,15.0,15.15,-1,-1,0,0
2023-05-30,15.15,15.4,14.95,15.3,-1,-1,0,0
2023-05-31,15.15,15.15,14.2,15.0,-1,-1,0,0
2023-06-01,14.4,15.05,14.4,15.0,-1,-1,0,0
2023-06-02,15.35,15.4,15.0,15.05,-1,-1,0,0
2023-06-05,15.45,15.9,15.45,15.9,-1,-1,0,0
2023-06-06,15.85,15.85,15.6,15.8,-1,-1,0,0
2023-06-07,15.85,15.85,15.1,15.65,-1,-1,0,0
2023-06-09,15.5,15.55,15.25,15.25,-1,-1,0,0
2023-06-12,15.5,15.75,15.5,15.5,-1,-1,0,0
2023-06-13,15.7,16.6,15.35,16.35,-1,-1,0,0
2023-06-14,16.5,16.5,15.8,16.05,-1,-1,0,0
2023-06-15,16.0,16.0,15.7,16.0,-1,-1,0,0
2023-06-16,16.0,16.15,15.75,16.15,-1,-1,0,0
2023-06-19,16.1,16.1,15.5,15.5,-1,-1,0,0
2023-06-20,16.1,16.1,15.35,15.5,-1,-1,0,0
2023-06-21,15.3,16.0,15.3,15.5,-1,-1,0,0
2023-06-22,15.95,16.0,15.3,16.0,-1,-1,0,0
2023-06-23,16.0,16.0,15.55,15.95,-1,-1,0,0
2023-06-26,15.8,15.8,15.75,15.75,-1,-1,0,0
2023-06-27,15.75,15.8,15.55,15.55,-1,-1,0,0
2023-06-28,15.3,15.8,15.3,15.8,-1,-1,0,0
2023-06-29,16.0,16.0,15.4,16.0,-1,-1,0,0
2023-06-30,15.95,15.95,15.4,15.55,-1,-1,0,0
2023-07-03,15.95,15.95,15.6,15.9,-1,-1,0,0
2023-07-04,15.85,16.45,15.8,16.0,-1,-1,0,0
2023-07-05,16.45,16.45,15.95,16.2,-1,-1,0,0
2023-07-06,16.2,16.2,15.4,15.8,-1,-1,0,0
2023-07-07,15.5,15.85,15.5,15.8,-1,-1,0,0
2023-07-10,15.8,15.8,15.65,15.8,-1,-1,0,0
2023-07-11,15.95,15.95,15.55,15.55,-1,-1,0,0
2023-07-12,15.55,15.55,15.0,15.2,-1,-1,0,0
2023-07-13,15.3,15.3,15.0,15.2,-1,-1,0,0
2023-07-14,15.35,15.5,15.05,15.3,-1,-1,0,0
2023-07-17,15.3,15.3,15.0,15.3,-1,-1,0,0
2023-07-18,15.3,15.3,15.2,15.2,-1,-1,0,0
2023-07-19,15.3,15.6,15.05,15.6,-1,-1,0,0
2023-07-20,15.6,15.8,15.45,15.45,-1,-1,0,0
2023-07-21,15.8,15.9,15.45,15.45,-1,-1,0,0
2023-07-24,15.45,16.0,15.45,16.0,-1,-1,0,0
2023-07-25,16.2,16.8,16.0,16.8,-1,-1,0,0
2023-07-26,16.8,16.8,16.45,16.55,-1,-1,0,0
2023-07-27,16.7,16.7,16.5,16.7,-1,-1,0,0
2023-07-28,16.75,16.9,16.75,16.8,-1,-1,0,0
2023-07-31,16.8,16.95,16.8,16.9,-1,-1,0,0
2023-08-01,16.85,16.9,16.7,16.85,-1,-1,0,0
2023-08-02,16.85,16.95,16.7,16.7,-1,-1,0,0
2023-08-03,16.5,16.7,16.5,16.55,-1,-1,0,0
2023-08-04,16.55,16.6,16.5,16.5,-1,-1,0,0
2023-08-07,16.5,16.7,16.5,16.5,-1,-1,0,0
2023-08-08,16.5,16.75,16.5,16.55,-1,-1,0,0
2023-08-09,16.55,16.65,16.5,16.55,-1,-1,0,0
2023-08-10,16.55,16.8,16.5,16.8,-1,-1,0,0
2023-08-11,16.8,16.8,16.5,16.65,-1,-1,0,0
2023-08-14,16.65,16.65,16.6,16.6,-1,-1,0,0
2023-08-16,16.6,16.6,16.5,16.5,-1,-1,0,0
2023-08-17,16.5,16.55,15.45,16.55,-1,-1,0,0
2023-08-18,15.7,16.8,15.6,16.4,-1,-1,0,0
2023-08-21,16.1,16.5,15.7,16.35,-1,-1,0,0
2023-08-22,16.4,16.6,16.25,16.6,-1,-1,0,0
2023-08-23,16.6,16.6,16.2,16.2,-1,-1,0,0
2023-08-24,16.2,16.55,15.8,16.55,-1,-1,0,0
2023-08-25,16.5,16.6,16.15,16.6,-1,-1,0,0
2023-08-28,16.6,16.6,16.1,16.6,-1,-1,0,0
2023-08-29,16.55,16.65,16.15,16.5,-1,-1,0,0
2023-08-30,16.5,16.5,15.9,16.0,-1,-1,0,0
2023-08-31,15.8,16.55,15.8,16.2,-1,-1,0,0
2023-09-01,16.55,16.55,15.85,16.45,-1,-1,0,0
2023-09-04,16.45,16.55,15.8,16.35,-1,-1,0,0
2023-09-05,16.0,16.45,16.0,16.45,-1,-1,0,0
2023-09-06,16.5,16.55,15.95,16.55,-1,-1,0,0
2023-09-07,16.55,16.55,16.2,16.55,-1,-1,0,0
2023-09-08,16.55,16.55,16.25,16.4,-1,-1,0,0
2023-09-11,16.65,16.65,16.5,16.6,-1,-1,0,0
