Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-06,34.9,35.0,33.7,33.9,33.9,4183
2023-06-07,34.1,35.0,33.9,34.3,34.3,7027
2023-06-09,34.6,34.7,34.3,34.5,34.5,2154
2023-06-12,34.5,34.7,34.4,34.7,34.7,584
2023-06-13,34.6,35.0,34.5,34.6,34.6,3103
2023-06-14,34.6,35.0,34.3,34.3,34.3,3319
2023-06-15,34.3,35.0,34.3,34.5,34.5,3985
2023-06-16,34.5,34.8,34.3,34.4,34.4,1948
2023-06-19,34.4,35.0,34.3,35.0,35.0,5814
2023-06-20,35.0,35.0,34.3,34.9,34.9,3736
2023-06-21,34.3,34.8,34.3,34.8,34.8,2204
2023-06-22,34.6,34.7,34.4,34.6,34.6,2795
2023-06-23,34.6,34.6,33.8,33.9,33.9,3038
2023-06-26,33.9,33.9,31.8,32.0,32.0,22704
2023-06-27,31.8,31.8,30.8,31.5,31.5,20250
2023-06-28,31.6,33.0,31.6,32.0,32.0,9397
2023-06-29,32.1,33.0,32.0,33.0,33.0,3195
2023-06-30,32.3,33.1,32.3,33.1,33.1,987
2023-07-03,33.0,33.4,32.9,33.3,33.3,3717
2023-07-04,33.4,35.4,33.4,34.9,34.9,31664
2023-07-05,34.8,35.5,34.1,34.9,34.9,16562
2023-07-06,35.6,37.2,35.6,36.6,36.6,27585
2023-07-07,37.0,37.0,36.2,36.8,36.8,6097
2023-07-10,36.9,37.0,35.3,35.6,35.6,10959
2023-07-11,36.0,36.1,35.7,36.1,36.1,6236
2023-07-12,36.1,36.5,35.9,36.4,36.4,3590
2023-07-13,36.2,36.9,35.9,36.9,36.9,5044
2023-07-14,36.9,36.9,36.0,36.8,36.8,10968
2023-07-17,36.9,36.9,36.1,36.2,36.2,3879
2023-07-18,36.1,36.7,36.1,36.5,36.5,3457
2023-07-19,36.5,37.0,36.5,36.6,36.6,4120
2023-07-20,36.7,38.4,36.6,37.9,37.9,20369
2023-07-21,37.8,37.9,37.3,37.8,37.8,25738
2023-07-24,37.5,38.1,37.5,38.1,38.1,6296
2023-07-25,38.4,38.4,34.6,37.0,37.0,15210
2023-07-26,37.0,37.3,36.5,36.7,36.7,2501
2023-07-27,36.9,37.0,36.5,36.9,36.9,1233
2023-07-28,36.6,36.9,35.6,35.9,35.9,7549
2023-07-31,35.9,36.6,34.9,35.2,35.2,12708
2023-08-01,35.2,36.1,35.2,35.9,35.9,3953
2023-08-02,35.9,35.9,34.8,35.4,35.4,17220
2023-08-03,35.1,37.1,35.0,36.3,36.3,12265
2023-08-04,36.3,37.4,36.3,36.8,36.8,8952
2023-08-07,36.8,37.0,36.0,36.5,36.5,3837
2023-08-08,36.9,36.9,36.3,36.5,36.5,4813
2023-08-09,37.0,37.0,35.3,36.3,36.3,8196
2023-08-10,36.3,36.8,36.1,36.4,36.4,1730
2023-08-11,36.4,37.0,36.4,36.4,36.4,2294
2023-08-14,36.4,36.8,36.4,36.4,36.4,2345
2023-08-16,36.5,36.8,35.1,35.9,35.9,6942
2023-08-17,36.4,36.5,35.8,35.8,35.8,2015
2023-08-18,35.9,35.9,35.2,35.6,35.6,4571
2023-08-21,35.8,37.1,35.1,36.7,36.7,6018
2023-08-22,37.0,37.0,35.3,36.5,36.5,3029
2023-08-23,36.8,36.8,36.0,36.0,36.0,2339
2023-08-24,36.8,36.8,35.4,36.0,36.0,3589
2023-08-25,36.3,36.5,35.9,36.1,36.1,3333
2023-08-28,36.8,36.8,36.1,36.3,36.3,1400
2023-08-29,36.5,36.5,35.7,35.7,35.7,8083
2023-08-30,35.8,35.8,35.4,35.6,35.6,2535
