Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-14,18.48,18.6,18.06,18.1,18.1,27337
2023-04-17,18.1,18.6,18.1,18.52,18.52,16012
2023-04-18,18.5,18.5,18.3,18.4,18.4,12966
2023-04-19,18.4,18.58,18.3,18.5,18.5,37719
2023-04-20,18.56,18.56,18.3,18.4,18.4,11821
2023-04-21,18.3,18.5,18.0,18.48,18.48,18313
2023-04-24,18.48,18.48,18.3,18.32,18.32,9764
2023-04-25,18.18,18.48,17.9,18.22,18.22,18926
2023-04-26,18.16,18.28,17.9,18.1,18.1,27301
2023-04-27,18.08,18.3,18.0,18.04,18.04,13108
2023-04-28,18.02,18.22,18.0,18.04,18.04,15085
2023-05-02,18.4,18.4,18.04,18.22,18.22,16400
2023-05-04,18.32,18.34,18.0,18.26,18.26,8906
2023-05-05,18.26,18.26,18.0,18.14,18.14,16111
2023-05-08,18.16,18.28,18.0,18.28,18.28,20572
2023-05-09,18.28,18.36,18.22,18.32,18.32,21017
2023-05-10,18.26,18.3,18.18,18.3,18.3,32476
2023-05-11,18.3,18.3,16.86,17.88,17.88,37779
2023-05-12,17.88,18.2,17.88,18.1,18.1,17915
2023-05-15,18.14,18.32,17.88,18.2,18.2,27892
2023-05-16,18.18,18.2,17.4,18.02,18.02,27740
2023-05-17,18.04,18.2,17.72,18.0,18.0,15149
2023-05-18,18.1,18.1,17.84,18.06,18.06,18531
2023-05-19,18.08,18.3,17.88,18.28,18.28,13149
2023-05-22,18.28,18.32,18.16,18.32,18.32,34258
2023-05-23,18.3,18.4,18.2,18.36,18.36,41479
2023-05-24,18.3,18.34,18.08,18.32,18.32,18280
2023-05-25,18.32,18.34,18.16,18.32,18.32,11011
2023-05-26,18.32,18.36,18.22,18.36,18.36,21650
2023-05-29,18.36,18.48,18.3,18.46,18.46,27761
2023-05-30,18.48,18.48,18.32,18.46,18.46,25997
2023-05-31,18.46,18.46,18.1,18.16,18.16,41862
2023-06-01,18.1,18.32,18.0,18.2,18.2,28558
2023-06-02,18.2,18.38,18.16,18.24,18.24,14992
2023-06-05,18.24,18.4,18.14,18.4,18.4,23346
2023-06-06,18.4,18.4,18.2,18.36,18.36,7474
2023-06-07,18.36,18.36,18.22,18.36,18.36,4803
2023-06-09,18.36,18.36,18.22,18.32,18.32,3419
2023-06-12,18.26,18.4,18.16,18.38,18.38,13178
2023-06-13,18.36,18.38,18.3,18.36,18.36,15877
