Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-27,1.55,1.57,1.51,1.53,1.53,193029
2022-12-28,1.51,1.544,1.506,1.51,1.51,180831
2022-12-29,1.506,1.558,1.506,1.554,1.554,56476
2022-12-30,1.55,1.572,1.534,1.568,1.568,19932
2023-01-02,1.57,1.578,1.55,1.576,1.576,42142
2023-01-03,1.58,1.638,1.578,1.636,1.636,146169
2023-01-04,1.65,1.748,1.63,1.7,1.7,169755
2023-01-05,1.698,1.7,1.676,1.69,1.69,42863
2023-01-09,1.68,1.696,1.66,1.69,1.69,26602
2023-01-10,1.692,1.71,1.666,1.696,1.696,80379
2023-01-11,1.71,1.74,1.68,1.72,1.72,152913
2023-01-12,1.72,1.726,1.666,1.688,1.688,47064
2023-01-13,1.69,1.69,1.65,1.688,1.688,30754
2023-01-16,1.688,1.738,1.662,1.724,1.724,215823
2023-01-17,1.726,1.786,1.724,1.75,1.75,300672
2023-01-18,1.75,1.788,1.722,1.758,1.758,156986
2023-01-19,1.758,1.766,1.68,1.71,1.71,58716
2023-01-20,1.71,1.76,1.692,1.746,1.746,32674
2023-01-23,1.746,1.78,1.682,1.72,1.72,159304
2023-01-24,1.7,1.84,1.7,1.758,1.758,189046
2023-01-25,1.758,1.758,1.7,1.716,1.716,72409
2023-01-26,1.716,1.72,1.7,1.714,1.714,21606
2023-01-27,1.7,1.742,1.7,1.724,1.724,16910
2023-01-30,1.728,1.764,1.69,1.7,1.7,130786
2023-01-31,1.71,1.718,1.682,1.7,1.7,17300
2023-02-01,1.714,1.72,1.682,1.698,1.698,19673
2023-02-02,1.698,1.698,1.68,1.696,1.696,24063
2023-02-03,1.696,1.716,1.684,1.706,1.706,10849
2023-02-06,1.688,1.72,1.68,1.72,1.72,66954
2023-02-07,1.7,1.724,1.686,1.694,1.694,44302
2023-02-08,1.694,1.72,1.684,1.704,1.704,37923
2023-02-09,1.702,1.704,1.682,1.694,1.694,18307
2023-02-10,1.68,1.71,1.65,1.71,1.71,36126
2023-02-13,1.7,1.708,1.664,1.69,1.69,10656
2023-02-14,1.686,1.708,1.668,1.698,1.698,5453
2023-02-15,1.672,1.696,1.666,1.696,1.696,6733
2023-02-16,1.678,1.694,1.676,1.692,1.692,2057
2023-02-17,1.68,1.68,1.582,1.666,1.666,127176
2023-02-20,1.642,1.686,1.642,1.686,1.686,12503
2023-02-21,1.68,1.68,1.65,1.67,1.67,9817
2023-02-22,1.678,1.678,1.65,1.656,1.656,7692
2023-02-23,1.67,1.67,1.644,1.644,1.644,7282
2023-02-24,1.674,1.674,1.63,1.674,1.674,31988
2023-02-27,1.65,1.658,1.644,1.65,1.65,14594
2023-02-28,1.66,1.66,1.634,1.648,1.648,10461
2023-03-01,1.636,1.668,1.634,1.666,1.666,10561
2023-03-02,1.64,1.652,1.62,1.638,1.638,13746
2023-03-03,1.63,1.646,1.626,1.64,1.64,12053
2023-03-06,1.65,1.652,1.628,1.634,1.634,23651
2023-03-07,1.63,1.668,1.626,1.658,1.658,49154
2023-03-08,1.658,1.668,1.634,1.65,1.65,13792
2023-03-09,1.658,1.668,1.628,1.628,1.628,31773
2023-03-10,1.628,1.65,1.62,1.65,1.65,14948
2023-03-13,1.65,1.676,1.55,1.628,1.628,75074
2023-03-14,1.6,1.66,1.6,1.63,1.63,25271
2023-03-15,1.64,1.64,1.57,1.57,1.57,17154
2023-03-16,1.544,1.598,1.542,1.584,1.584,33242
2023-03-17,1.562,1.618,1.56,1.584,1.584,7983
2023-03-20,1.582,1.584,1.574,1.578,1.578,1129
2023-03-21,1.582,1.618,1.56,1.56,1.56,26884
2023-03-22,1.608,1.61,1.558,1.58,1.58,19788
2023-03-23,1.57,1.57,1.546,1.546,1.546,42595
2023-03-24,1.55,1.574,1.51,1.564,1.564,22518
2023-03-27,1.538,1.546,1.52,1.538,1.538,5550
2023-03-28,1.522,1.618,1.522,1.578,1.578,36555
2023-03-29,1.55,1.598,1.532,1.598,1.598,6763
2023-03-30,1.598,1.6,1.56,1.59,1.59,9937
2023-03-31,1.59,1.6,1.562,1.6,1.6,5245
2023-04-03,1.6,1.688,1.6,1.682,1.682,31873
2023-04-04,1.69,1.69,1.65,1.69,1.69,108401
2023-04-05,1.688,1.696,1.652,1.678,1.678,22297
2023-04-06,1.656,1.72,1.65,1.72,1.72,122943
2023-04-11,1.72,1.744,1.7,1.732,1.732,56279
2023-04-12,1.732,1.732,1.7,1.728,1.728,27840
2023-04-13,1.73,1.73,1.7,1.72,1.72,8085
2023-04-14,1.722,1.728,1.704,1.724,1.724,27783
2023-04-17,1.728,1.73,1.702,1.722,1.722,29795
2023-04-18,1.722,1.722,1.702,1.718,1.718,22299
2023-04-19,1.7,1.72,1.69,1.69,1.69,32990
2023-04-20,1.69,1.71,1.69,1.71,1.71,10611
2023-04-21,1.705,1.705,1.65,1.7,1.7,31668
2023-04-24,1.71,1.71,1.69,1.695,1.695,23691
2023-04-25,1.665,1.7,1.66,1.695,1.695,12355
2023-04-26,1.685,1.695,1.66,1.695,1.695,27668
2023-04-27,1.69,1.695,1.63,1.67,1.67,23794
2023-04-28,1.635,1.675,1.54,1.66,1.66,44068
