Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-19,95.1,97.46,87.9,88.91,88.91,1637824
2022-09-20,89.8,90.65,87.82,89.29,89.29,544301
2022-09-21,88.42,90.23,86.72,87.92,87.92,403643
2022-09-22,86.7,91.5,86.05,88.49,88.49,940573
2022-09-23,90.0,93.63,88.5,90.49,90.49,1556309
2022-09-26,94.97,104.0,91.11,102.68,102.68,1475812
2022-09-27,102.32,106.98,100.02,104.06,104.06,1638940
2022-09-28,103.0,106.5,100.7,105.76,105.76,837862
2022-09-29,107.0,108.5,97.82,98.62,98.62,906182
2022-09-30,98.62,101.96,97.0,100.2,100.2,701004
2022-10-03,100.0,105.92,96.6,105.34,105.34,1016949
2022-10-04,107.0,109.5,105.72,108.4,108.4,926616
2022-10-05,118.34,123.32,109.52,110.26,110.26,2663295
2022-10-06,112.98,113.0,108.6,111.54,111.54,827347
2022-10-07,111.0,116.22,109.02,116.22,116.22,786409
2022-10-10,114.9,116.14,113.0,114.68,114.68,736061
2022-10-11,114.5,120.8,112.38,120.8,120.8,976532
2022-10-12,120.8,120.8,114.0,114.8,114.8,677536
2022-10-13,114.0,116.9,111.28,112.06,112.06,651177
2022-10-14,115.0,117.22,113.02,113.76,113.76,498209
2022-10-17,114.5,117.98,113.36,117.96,117.96,381471
2022-10-18,119.2,125.88,118.34,121.22,121.22,950593
2022-10-19,122.66,123.34,118.72,118.72,118.72,637334
2022-10-20,120.0,120.48,116.94,118.92,118.92,680867
2022-10-21,117.98,122.3,117.2,118.6,118.6,487838
2022-10-24,120.0,124.86,119.5,121.0,121.0,638906
2022-10-25,120.5,121.08,117.54,118.26,118.26,649381
2022-10-26,118.26,123.4,117.3,122.46,122.46,624191
2022-10-27,122.46,122.46,118.5,120.1,120.1,412610
2022-10-28,119.5,124.7,118.54,124.0,124.0,603435
2022-10-31,124.0,128.6,122.7,127.1,127.1,443323
2022-11-02,127.5,136.5,126.18,136.22,136.22,918443
2022-11-03,133.0,135.48,130.3,134.24,134.24,505825
2022-11-04,135.0,140.0,133.92,139.18,139.18,361603
2022-11-07,139.98,142.42,133.02,136.28,136.28,434480
2022-11-08,136.0,137.14,131.94,136.08,136.08,431525
2022-11-09,135.7,137.06,133.54,136.32,136.32,194133
2022-11-10,135.9,143.0,134.92,140.8,140.8,393953
2022-11-14,141.0,148.98,141.0,145.56,145.56,715801
2022-11-15,149.0,149.6,143.56,147.5,147.5,429611
2022-11-16,145.5,150.22,145.0,145.18,145.18,507270
2022-11-17,147.06,148.88,143.2,146.84,146.84,287222
2022-11-18,147.34,153.5,144.9,145.0,145.0,422211
2022-11-21,144.7,145.9,135.04,139.28,139.28,489773
2022-11-22,140.0,143.84,137.14,137.94,137.94,377089
2022-11-23,138.8,141.98,137.18,138.6,138.6,236652
2022-11-24,140.0,143.38,140.0,141.38,141.38,250569
2022-11-25,141.0,144.6,140.0,140.0,140.0,376523
2022-11-28,140.0,140.96,137.34,138.52,138.52,363614
2022-11-29,142.02,142.62,128.48,131.48,131.48,1280178
2022-11-30,131.48,134.32,128.72,130.98,130.98,755586
2022-12-01,133.0,134.5,123.4,123.58,123.58,990990
2022-12-02,124.0,129.5,121.24,127.32,127.32,601966
2022-12-05,128.68,132.84,127.5,127.8,127.8,461701
2022-12-06,128.0,131.5,125.68,130.76,130.76,389618
2022-12-07,130.76,130.76,128.08,128.5,128.5,289342
2022-12-08,129.0,129.8,125.1,126.48,126.48,267767
2022-12-09,127.5,132.2,126.5,131.38,131.38,265106
2022-12-12,132.0,136.7,130.0,134.52,134.52,250399
2022-12-13,135.48,139.8,133.8,137.02,137.02,309985
2022-12-14,137.1,143.0,136.38,142.6,142.6,407503
2022-12-15,141.0,141.0,129.9,129.9,129.9,914582
2022-12-16,129.3,134.7,126.66,132.64,132.64,886980
2022-12-19,133.0,133.58,128.2,128.74,128.74,286411
2022-12-20,127.2,129.52,126.66,128.0,128.0,199558
2022-12-21,128.0,130.74,127.82,130.1,130.1,214304
2022-12-22,130.0,130.64,126.82,127.1,127.1,191799
2022-12-23,127.2,130.5,125.82,129.3,129.3,188307
2022-12-27,130.0,130.0,126.84,127.04,127.04,145358
2022-12-28,127.0,128.96,125.52,125.68,125.68,241389
2022-12-29,126.0,129.3,126.0,128.86,128.86,156595
2022-12-30,128.0,130.38,128.0,129.64,129.64,156063
2023-01-02,129.0,131.74,128.66,129.34,129.34,154161
2023-01-03,130.0,132.08,128.2,129.0,129.0,442436
2023-01-04,130.6,130.6,126.7,127.5,127.5,448472
2023-01-05,127.2,134.12,127.1,132.56,132.56,553374
2023-01-09,132.6,136.0,131.3,133.74,133.74,506013
2023-01-10,132.26,138.64,131.5,138.16,138.16,340647
2023-01-11,138.34,139.38,134.3,135.76,135.76,460254
2023-01-12,135.7,135.8,128.66,129.94,129.94,845556
2023-01-13,130.2,134.2,130.08,132.14,132.14,289523
2023-01-16,133.0,133.4,128.82,128.82,128.82,280499
2023-01-17,129.0,131.16,127.2,129.4,129.4,246420
2023-01-18,129.22,134.8,129.22,133.28,133.28,327117
2023-01-19,131.18,134.5,130.12,132.5,132.5,299002
2023-01-20,132.9,134.6,131.6,132.52,132.52,191743
2023-01-23,132.54,135.98,132.54,135.7,135.7,258887
2023-01-24,135.7,137.3,132.9,133.92,133.92,225860
2023-01-25,133.0,133.38,131.0,131.52,131.52,131581
2023-01-26,133.36,135.6,132.54,134.66,134.66,142428
2023-01-27,135.0,136.42,133.4,133.9,133.9,123915
2023-01-30,133.5,134.0,131.2,132.8,132.8,321847
2023-01-31,134.24,140.32,133.0,139.32,139.32,674466
2023-02-01,139.5,141.84,137.18,138.28,138.28,353195
2023-02-02,141.5,148.16,140.14,145.78,145.78,574696
2023-02-03,146.98,148.54,144.56,146.8,146.8,471926
2023-02-06,145.6,145.94,141.32,142.56,142.56,263532
2023-02-07,141.98,141.98,136.02,141.28,141.28,324216
2023-02-08,142.56,145.4,141.52,141.7,141.7,185104
2023-02-09,143.0,143.66,141.1,141.48,141.48,143707
2023-02-10,140.68,141.1,136.18,138.64,138.64,795935
2023-02-13,139.6,140.38,137.0,138.9,138.9,334401
2023-02-14,140.5,143.0,133.8,134.24,134.24,286175
2023-02-15,133.7,138.5,133.3,138.4,138.4,126874
2023-02-16,139.16,140.64,136.8,139.52,139.52,145150
2023-02-17,139.0,139.34,135.82,135.82,135.82,201949
2023-02-20,136.24,137.74,135.1,136.34,136.34,91629
2023-02-21,136.0,136.0,131.22,131.22,131.22,352516
2023-02-22,131.2,132.56,129.16,131.94,131.94,187685
2023-02-23,132.06,135.86,132.06,134.5,134.5,180542
2023-02-24,134.14,134.14,129.46,129.52,129.52,170550
2023-02-27,130.0,133.04,129.38,132.12,132.12,133393
2023-02-28,132.12,133.84,130.7,132.4,132.4,207581
2023-03-01,133.86,135.6,131.9,132.26,132.26,203936
2023-03-02,132.0,132.3,129.42,130.8,130.8,201939
2023-03-03,132.0,133.54,129.7,130.66,130.66,235163
2023-03-06,132.0,132.5,130.2,132.2,132.2,177401
2023-03-07,132.5,134.8,131.4,133.46,133.46,169147
2023-03-08,134.68,134.68,131.46,132.26,132.26,174683
2023-03-09,132.0,133.78,131.46,132.18,132.18,134126
2023-03-10,130.9,131.2,127.62,128.7,128.7,187719
2023-03-13,128.72,130.04,120.8,127.08,127.08,412405
2023-03-14,127.04,132.4,127.0,130.0,130.0,412439
2023-03-15,130.0,132.56,128.82,129.36,129.36,257203
2023-03-16,131.5,135.4,130.0,135.4,135.4,365862
2023-03-17,135.2,136.3,130.28,131.0,131.0,530350
2023-03-20,130.0,132.28,128.82,130.72,130.72,192225
2023-03-21,125.5,127.7,114.9,116.46,116.46,1283726
2023-03-22,115.44,116.4,112.32,112.78,112.78,793652
2023-03-23,112.22,113.2,109.22,110.0,110.0,885634
2023-03-24,110.0,113.2,109.52,110.6,110.6,635854
2023-03-27,111.5,114.36,110.52,114.06,114.06,355488
2023-03-28,114.76,114.78,108.9,109.0,109.0,593245
2023-03-29,110.0,110.84,105.52,110.18,110.18,470410
2023-03-30,110.22,114.7,109.74,113.28,113.28,751779
2023-03-31,120.0,124.4,111.22,111.22,111.22,1575543
2023-04-03,110.94,111.0,106.44,108.06,108.06,603616
2023-04-04,109.6,110.1,107.94,108.44,108.44,292127
2023-04-05,109.1,109.1,107.0,107.84,107.84,202352
2023-04-06,107.8,108.66,106.0,106.2,106.2,246748
2023-04-11,107.3,107.88,103.92,105.64,105.64,444063
2023-04-12,105.6,110.28,105.3,108.84,108.84,400404
2023-04-13,108.84,110.18,108.5,110.0,110.0,285617
2023-04-14,110.9,112.82,110.4,110.74,110.74,281607
2023-04-17,111.8,113.2,110.14,110.94,110.94,330665
2023-04-18,111.76,111.94,109.52,109.7,109.7,345370
2023-04-19,109.38,110.0,107.84,109.2,109.2,232674
2023-04-20,109.65,110.6,108.5,109.65,109.65,220145
2023-04-21,109.0,111.9,108.45,110.8,110.8,216507
2023-04-24,111.4,111.75,109.6,110.3,110.3,143665
2023-04-25,110.5,112.25,110.1,111.0,111.0,171653
2023-04-26,111.2,112.8,110.5,111.95,111.95,220623
2023-04-27,111.6,114.5,110.9,114.0,114.0,234982
2023-04-28,114.1,115.2,113.1,113.3,113.3,277618
