Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-23,29.9,31.2,29.9,30.5,30.5,2805
2023-01-24,30.5,31.1,30.5,30.7,30.7,661
2023-01-25,30.5,31.0,30.0,30.8,30.8,1539
2023-01-26,30.2,30.7,29.9,30.4,30.4,1077
2023-01-27,30.4,31.0,30.3,30.3,30.3,925
2023-01-30,30.3,30.5,30.2,30.3,30.3,1389
2023-01-31,30.3,30.7,30.1,30.5,30.5,853
2023-02-01,30.2,30.2,29.7,30.0,30.0,2603
2023-02-02,30.0,31.0,29.5,30.9,30.9,4194
2023-02-03,30.9,30.9,30.0,30.0,30.0,624
2023-02-06,29.7,30.0,28.1,29.1,29.1,2143
2023-02-07,28.9,29.9,28.5,29.2,29.2,1304
2023-02-08,29.7,29.8,29.2,29.2,29.2,2310
2023-02-09,29.6,29.9,29.2,29.4,29.4,432
2023-02-10,29.7,29.9,29.2,29.9,29.9,590
2023-02-13,29.9,30.7,29.9,30.5,30.5,1831
2023-02-14,30.8,31.2,30.5,30.7,30.7,1541
2023-02-15,30.7,30.8,30.7,30.7,30.7,291
2023-02-16,30.8,30.9,29.6,30.6,30.6,1412
2023-02-17,30.5,30.7,30.0,30.6,30.6,317
2023-02-20,30.6,30.7,30.6,30.7,30.7,1565
2023-02-21,30.5,30.7,30.0,30.7,30.7,1346
2023-02-22,30.2,30.2,29.2,30.0,30.0,386
2023-02-23,30.0,30.4,29.6,30.4,30.4,1382
2023-02-24,30.4,30.4,30.0,30.0,30.0,366
2023-02-27,30.0,30.0,29.7,30.0,30.0,728
2023-02-28,30.0,31.0,29.7,31.0,31.0,6659
2023-03-01,30.6,31.0,29.9,30.3,30.3,1159
2023-03-02,30.3,31.0,29.5,30.4,30.4,3526
2023-03-03,30.5,30.7,30.0,30.7,30.7,2051
2023-03-06,30.8,30.8,30.3,30.7,30.7,895
2023-03-07,30.7,30.7,29.7,30.3,30.3,5269
2023-03-08,30.4,30.5,29.9,30.5,30.5,900
2023-03-09,30.3,30.6,30.0,30.5,30.5,498
2023-03-10,30.4,30.5,29.0,29.2,29.2,6292
2023-03-13,29.2,29.4,27.3,28.7,28.7,2648
2023-03-14,28.7,29.6,28.7,29.5,29.5,3413
2023-03-15,29.6,29.6,28.7,28.9,28.9,2750
2023-03-16,29.3,29.4,28.5,28.5,28.5,1155
2023-03-17,29.0,29.1,28.5,28.6,28.6,999
2023-03-20,29.0,29.2,27.9,29.0,29.0,2123
2023-03-21,29.0,29.0,28.5,29.0,29.0,760
2023-03-22,29.0,29.0,28.3,28.9,28.9,935
2023-03-23,28.9,29.0,28.6,29.0,29.0,1988
2023-03-24,28.9,29.0,28.4,28.8,28.8,1752
2023-03-27,28.8,29.0,28.3,28.9,28.9,2617
2023-03-28,29.0,29.0,28.2,28.8,28.8,1389
2023-03-29,29.0,29.0,28.0,28.0,28.0,715
2023-03-30,28.4,29.5,28.4,29.0,29.0,5336
2023-03-31,29.1,29.4,29.0,29.3,29.3,1716
2023-04-03,29.6,32.9,29.3,32.9,32.9,12701
2023-04-04,33.0,34.0,32.1,33.3,33.3,6068
2023-04-05,33.4,33.4,31.8,31.8,31.8,1607
2023-04-06,31.8,33.0,30.4,32.0,32.0,3935
2023-04-11,32.6,36.0,32.6,35.1,35.1,13877
2023-04-12,35.2,37.0,35.0,36.5,36.5,8024
2023-04-13,37.0,37.1,35.9,37.1,37.1,2735
2023-04-14,37.2,37.2,35.2,36.4,36.4,2668
