Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-07,83.02,83.78,82.86,83.54,83.54,287015
2022-12-08,83.5,83.5,81.64,82.48,82.48,337208
2022-12-09,82.5,83.24,81.9,82.64,82.64,521172
2022-12-12,82.66,85.1,81.7,84.54,84.54,413854
2022-12-13,85.1,87.02,84.04,85.64,85.64,868119
2022-12-14,85.5,86.68,84.92,85.76,85.76,576487
2022-12-15,85.96,86.06,83.4,84.12,84.12,701166
2022-12-16,83.52,84.42,82.7,83.88,83.88,1519811
2022-12-19,83.5,84.5,82.86,83.84,83.84,430021
2022-12-20,82.84,85.9,82.78,85.6,85.6,415716
2022-12-21,85.82,86.96,84.6,86.96,86.96,643047
2022-12-22,87.0,87.8,86.04,86.88,86.88,408225
2022-12-23,86.98,86.98,85.3,85.7,85.7,283375
2022-12-27,86.0,86.26,84.44,84.86,84.86,159402
2022-12-28,85.0,85.9,84.24,85.66,85.66,282561
2022-12-29,85.3,87.54,85.08,87.4,87.4,239812
2022-12-30,85.62,87.0,85.6,86.5,86.5,249078
2023-01-02,87.0,87.9,86.52,86.52,86.52,171303
2023-01-03,87.0,91.68,86.6,90.9,90.9,1453464
2023-01-04,90.9,93.66,90.5,93.48,93.48,666643
2023-01-05,93.68,95.66,92.22,94.48,94.48,1794689
2023-01-09,95.84,98.56,95.3,98.46,98.46,1029446
2023-01-10,98.0,100.2,96.5,99.8,99.8,832060
2023-01-11,100.0,101.3,98.18,98.96,98.96,1561937
2023-01-12,99.08,102.45,98.52,101.35,101.35,1300741
2023-01-13,101.8,101.8,98.9,101.0,101.0,785381
2023-01-16,101.0,103.6,99.9,101.8,101.8,1061792
2023-01-17,102.0,102.25,97.64,97.78,97.78,1494688
2023-01-18,97.5,97.7,94.88,95.9,95.9,2188171
2023-01-19,94.48,96.06,94.08,95.2,95.2,1454099
2023-01-20,96.0,96.0,94.22,95.4,95.4,1206169
2023-01-23,96.1,97.0,95.1,96.7,96.7,1757398
2023-01-24,97.5,97.5,95.5,96.4,96.4,545266
2023-01-25,94.94,94.94,90.4,91.9,91.9,2492283
2023-01-26,93.0,93.12,90.7,92.52,92.52,809271
2023-01-27,93.0,93.2,91.48,91.48,91.48,612224
2023-01-30,91.4,91.4,89.58,90.12,90.12,475977
2023-01-31,90.0,92.28,89.38,92.2,92.2,1338887
2023-02-01,92.2,92.36,90.4,90.86,90.86,672088
2023-02-02,92.3,92.62,90.62,92.34,92.34,1303548
2023-02-03,91.9,94.44,91.6,93.4,93.4,1301688
2023-02-06,92.94,93.08,90.28,91.0,91.0,857663
2023-02-07,91.68,92.38,90.48,91.2,91.2,665691
2023-02-08,91.98,93.04,91.4,92.44,92.44,567110
2023-02-09,93.0,95.44,92.64,94.16,94.16,980838
2023-02-10,94.12,94.12,91.7,91.84,91.84,1173521
2023-02-13,92.86,93.26,91.74,92.7,92.7,488595
2023-02-14,93.0,94.18,92.34,93.66,93.66,864170
2023-02-15,92.96,94.36,92.66,93.86,93.86,403570
2023-02-16,94.0,95.2,91.04,95.16,95.16,1240369
2023-02-17,94.5,94.5,92.1,92.1,92.1,691742
2023-02-20,92.06,92.18,89.2,90.14,90.14,957428
2023-02-21,89.9,89.98,86.72,88.34,88.34,858847
2023-02-22,88.34,88.34,85.9,86.42,86.42,920821
2023-02-23,86.38,88.34,86.32,87.34,87.34,828158
2023-02-24,87.88,89.12,87.4,88.14,88.14,787190
2023-02-27,89.14,89.14,87.44,88.22,88.22,401878
2023-02-28,88.5,91.12,87.68,89.68,89.68,924877
2023-03-01,90.36,91.0,89.2,89.7,89.7,968446
2023-03-02,90.2,90.2,87.12,87.36,87.36,864603
2023-03-03,87.9,88.74,86.4,88.68,88.68,1265362
2023-03-06,89.1,91.1,89.1,91.1,91.1,1043074
2023-03-07,91.1,92.1,90.4,90.66,90.66,833915
2023-03-08,91.0,91.3,89.8,91.1,91.1,350865
2023-03-09,91.4,91.4,89.6,89.62,89.62,410769
2023-03-10,88.0,88.0,85.0,85.62,85.62,879770
2023-03-13,87.0,87.2,81.4,82.42,82.42,1344715
2023-03-14,82.42,84.12,81.4,82.72,82.72,700884
2023-03-15,84.38,84.38,78.62,80.22,80.22,1485329
2023-03-16,81.56,82.54,78.04,79.88,79.88,1239312
2023-03-17,80.5,81.9,76.92,77.38,77.38,1782106
2023-03-20,76.48,79.04,73.54,78.88,78.88,1105321
2023-03-21,80.0,83.16,79.88,82.66,82.66,834186
2023-03-22,82.96,84.1,81.2,81.2,81.2,531704
2023-03-23,81.06,81.84,79.5,81.2,81.2,734019
2023-03-24,80.88,80.88,77.8,78.9,78.9,568444
2023-03-27,80.5,81.0,78.9,80.3,80.3,341088
2023-03-28,81.0,83.24,80.8,81.66,81.66,535620
2023-03-29,82.2,83.82,81.9,83.66,83.66,615774
2023-03-30,84.0,85.9,83.82,85.48,85.48,589852
2023-03-31,85.92,86.02,84.78,85.46,85.46,634563
2023-04-03,86.3,88.48,85.86,87.1,87.1,570850
2023-04-04,88.3,89.12,86.62,86.94,86.94,426295
2023-04-05,87.0,87.02,84.6,85.16,85.16,636284
2023-04-06,85.0,86.76,84.2,86.18,86.18,437680
2023-04-11,87.14,88.34,85.74,88.02,88.02,615484
2023-04-12,88.6,91.0,87.64,90.28,90.28,681283
